id,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
31084,Etxarri-Aranatz,2020-11-01,1,128,0.99,51.60,13335.86,1.00
31085,Etxauri,2020-11-01,4,50,0.92,156.32,5695.26,0.97
31086,Valle de Egüés/Eguesibar,2020-11-01,11,426,0.97,835.75,67668.31,0.99
31087,Elgorriaga,2020-11-01,2,12,0.83,99.74,1218.31,0.92
31088,Noáin (Valle de Elorz)/Noain (Elortzibar),2020-11-01,4,195,0.98,1001.88,29652.43,0.97
31089,Enériz/Eneritz,2020-11-01,0,40,1.00,0.00,4278.13,1.00
31090,Eratsun,2020-11-01,0,10,1.00,0.00,1001.46,1.00
31091,Ergoiena,2020-11-01,3,65,0.95,669.76,6575.41,0.90
31092,Erro,2020-11-01,4,160,0.98,1411.81,16333.92,0.91
31093,Ezcároz/Ezkaroze,2020-11-01,0,19,1.00,0.00,1878.96,1.00
31094,Eslava,2020-11-01,5,35,0.86,5645.00,9534.62,0.41
31095,Esparza de Salazar,2020-11-01,0,16,1.00,0.00,2003.65,1.00
31096,Espronceda,2020-11-01,1,26,0.96,29.58,2078.43,0.99
31097,Estella-Lizarra,2020-11-01,28,226,0.88,1905.85,31642.17,0.94
31098,Esteribar,2020-11-01,0,211,1.00,0.00,23144.80,1.00
31099,Etayo,2020-11-01,0,15,1.00,0.00,1775.83,1.00
31100,Eulate,2020-11-01,0,32,1.00,0.00,4357.38,1.00
31101,Ezcabarte,2020-11-01,5,155,0.97,543.57,15873.40,0.97
31102,Ezkurra,2020-11-01,0,19,1.00,0.00,2030.75,1.00
31103,Ezprogui,2020-11-01,0,12,1.00,0.00,1418.08,1.00
31104,Falces,2020-11-01,11,124,0.91,398.65,12118.18,0.97
31105,Fitero,2020-11-01,3,79,0.96,1704.50,11464.64,0.85
31106,Fontellas,2020-11-01,5,40,0.88,460.49,7723.43,0.94
31107,Funes,2020-11-01,14,119,0.88,3539.75,15185.37,0.77
31108,Fustiñana,2020-11-01,6,69,0.91,447.56,15334.91,0.97
31109,Galar,2020-11-01,21,160,0.87,3034.45,21275.31,0.86
31110,Gallipienzo,2020-11-01,4,37,0.89,320.48,4257.57,0.92
31111,Gallués/Galoze,2020-11-01,0,19,1.00,0.00,1885.82,1.00
31112,Garaioa,2020-11-01,2,16,0.88,225.98,2414.29,0.91
31113,Garde,2020-11-01,0,21,1.00,0.00,1739.62,1.00
31114,Garínoain,2020-11-01,1,31,0.97,193.94,4105.48,0.95
31115,Garralda,2020-11-01,2,30,0.93,37.64,3416.49,0.99
31116,Genevilla,2020-11-01,2,15,0.87,95.01,1959.76,0.95
31117,Goizueta,2020-11-01,0,45,1.00,0.00,5644.22,1.00
