id,name,date,incomplete,total,percentage,length_total,length_incomplete,length_percentage
04089,Taberno,2020-11-01,19,108,0.82,9047.03,1093.41,0.88
04090,Tahal,2020-11-01,5,68,0.93,6109.42,132.79,0.98
04091,Terque,2020-11-01,16,59,0.73,5264.54,634.52,0.88
04092,Tíjola,2020-11-01,17,228,0.93,22728.75,1120.35,0.95
04093,Turre,2020-11-01,42,146,0.71,20877.49,4586.13,0.78
04094,Turrillas,2020-11-01,6,41,0.85,2601.19,282.04,0.89
04095,Uleila del Campo,2020-11-01,9,94,0.90,8553.10,626.22,0.93
04096,Urrácal,2020-11-01,3,30,0.90,2461.46,79.76,0.97
04097,Velefique,2020-11-01,6,75,0.92,5646.40,644.57,0.89
04098,Vélez-Blanco,2020-11-01,27,166,0.84,17245.23,2433.82,0.86
04099,Vélez-Rubio,2020-11-01,76,419,0.82,38067.93,7687.19,0.80
04100,Vera,2020-11-01,733,1192,0.39,167800.22,69073.17,0.59
04101,Viator,2020-11-01,19,205,0.91,29802.73,2281.09,0.92
04102,Vícar,2020-11-01,75,515,0.85,84241.73,4891.83,0.94
04103,Zurgena,2020-11-01,86,317,0.73,44623.35,9727.60,0.78
04901,Las Tres Villas,2020-11-01,10,63,0.84,5383.31,1256.43,0.77
04902,El Ejido,2020-11-01,285,2011,0.86,312994.87,19539.14,0.94
04903,La Mojonera,2020-11-01,16,244,0.93,34284.10,1748.17,0.95
04904,Balanegra,2020-11-01,4,67,0.94,11591.41,469.61,0.96
11001,Alcalá de los Gazules,2020-11-01,21,127,0.83,13683.50,2411.01,0.82
11002,Alcalá del Valle,2020-11-01,76,84,0.10,13931.52,12861.29,0.08
11003,Algar,2020-11-01,7,67,0.90,5806.20,220.73,0.96
11004,Algeciras,2020-11-01,1139,1899,0.40,259646.67,129078.00,0.50
11005,Algodonales,2020-11-01,42,108,0.61,17589.91,5729.77,0.67
11006,Arcos de la Frontera,2020-11-01,403,749,0.46,113664.27,61465.94,0.46
11007,Barbate,2020-11-01,368,621,0.41,98779.10,52574.19,0.47
11008,Los Barrios,2020-11-01,323,547,0.41,83948.18,49966.13,0.40
11009,Benaocaz,2020-11-01,19,76,0.75,6118.35,1527.15,0.75
11010,Bornos,2020-11-01,27,214,0.87,27099.10,2154.59,0.92
11011,El Bosque,2020-11-01,40,97,0.59,13781.65,4772.61,0.65
11012,Cádiz,2020-11-01,199,1003,0.80,102169.82,12477.08,0.88
11013,Castellar de la Frontera,2020-11-01,35,131,0.73,17916.44,4561.99,0.75
11014,Conil de la Frontera,2020-11-01,413,875,0.53,155398.26,81646.27,0.47
11015,Chiclana de la Frontera,2020-11-01,1207,2642,0.54,499221.93,213690.37,0.57
11016,Chipiona,2020-11-01,272,606,0.55,103394.30,42143.34,0.59
11017,Espera,2020-11-01,79,87,0.09,15600.53,14626.72,0.06
11018,El Gastor,2020-11-01,25,64,0.61,11415.33,7080.55,0.38
11019,Grazalema,2020-11-01,44,106,0.58,13101.24,3465.64,0.74
11020,Jerez de la Frontera,2020-11-01,643,3725,0.83,525460.85,84190.52,0.84
11021,Jimena de la Frontera,2020-11-01,38,145,0.74,23190.40,5560.21,0.76
11022,La Línea de la Concepción,2020-11-01,512,950,0.46,133647.22,69172.45,0.48
11023,Medina Sidonia,2020-11-01,164,308,0.47,48498.81,23784.40,0.51
11024,Olvera,2020-11-01,31,219,0.86,25909.55,2306.53,0.91
11025,Paterna de Rivera,2020-11-01,24,232,0.90,24891.80,1184.41,0.95
11026,Prado del Rey,2020-11-01,34,159,0.79,21144.15,2472.47,0.88
11027,El Puerto de Santa María,2020-11-01,662,1800,0.63,368613.39,126341.51,0.66
11028,Puerto Real,2020-11-01,460,898,0.49,146901.90,56066.05,0.62
11029,Puerto Serrano,2020-11-01,9,220,0.96,29912.04,518.07,0.98
11030,Rota,2020-11-01,330,807,0.59,113448.49,40354.63,0.64
11031,San Fernando,2020-11-01,448,938,0.52,126600.77,45099.95,0.64
11032,Sanlúcar de Barrameda,2020-11-01,725,1160,0.38,224359.37,129845.62,0.42
11033,San Roque,2020-11-01,440,985,0.55,183301.39,78996.71,0.57
11034,Setenil de las Bodegas,2020-11-01,36,101,0.64,13472.63,3695.45,0.73
11035,Tarifa,2020-11-01,514,801,0.36,126780.04,87134.02,0.31
11036,Torre Alháquime,2020-11-01,27,27,0.00,4367.45,4367.45,0.00
11037,Trebujena,2020-11-01,109,173,0.37,27478.97,16454.24,0.40
11038,Ubrique,2020-11-01,149,375,0.60,39643.62,17846.50,0.55
11039,Vejer de la Frontera,2020-11-01,308,420,0.27,75642.22,54656.30,0.28
11040,Villaluenga del Rosario,2020-11-01,36,36,0.00,4207.24,4207.24,0.00
11041,Villamartín,2020-11-01,82,295,0.72,51991.74,11357.22,0.78
11042,Zahara,2020-11-01,19,63,0.70,7678.18,2297.19,0.70
11901,Benalup-Casas Viejas,2020-11-01,84,191,0.56,30598.97,11121.31,0.64
11902,San José del Valle,2020-11-01,24,138,0.83,20182.92,4294.18,0.79
14001,Adamuz,2020-11-01,15,134,0.89,17592.78,1018.79,0.94
14002,Aguilar de la Frontera,2020-11-01,66,126,0.48,28156.08,13371.04,0.53
14003,Alcaracejos,2020-11-01,9,73,0.88,11096.93,1972.44,0.82
14004,Almedinilla,2020-11-01,14,81,0.83,10548.08,1153.45,0.89
14005,Almodóvar del Río,2020-11-01,74,238,0.69,48433.03,28622.32,0.41
14006,Añora,2020-11-01,10,51,0.80,10171.67,1300.51,0.87
14007,Baena,2020-11-01,93,330,0.72,47879.74,15593.57,0.67
14008,Belalcázar,2020-11-01,22,110,0.80,20813.73,3779.70,0.82
14009,Belmez,2020-11-01,36,78,0.54,17219.68,7259.87,0.58
14010,Benamejí,2020-11-01,11,94,0.88,16648.80,1263.31,0.92
14011,Los Blázquez,2020-11-01,2,34,0.94,4574.52,91.40,0.98
14012,Bujalance,2020-11-01,46,226,0.80,27546.10,6568.89,0.76
14013,Cabra,2020-11-01,136,362,0.62,52905.23,14702.67,0.72
14014,Cañete de las Torres,2020-11-01,16,96,0.83,13038.50,1942.55,0.85
14015,Carcabuey,2020-11-01,19,78,0.76,10560.83,1821.67,0.83
14016,Cardeña,2020-11-01,23,63,0.63,9564.34,3673.43,0.62
14017,La Carlota,2020-11-01,145,435,0.67,85173.11,36054.69,0.58
14018,El Carpio,2020-11-01,28,170,0.84,22156.02,2139.81,0.90
14019,Castro del Río,2020-11-01,17,180,0.91,24485.74,2169.65,0.91
14020,Conquista,2020-11-01,7,22,0.68,3406.06,1157.37,0.66
14021,Córdoba,2020-11-01,1887,4637,0.59,866730.29,354952.83,0.59
14022,Doña Mencía,2020-11-01,17,159,0.89,17610.37,1556.42,0.91
14023,Dos Torres,2020-11-01,28,109,0.74,18432.87,4770.34,0.74
14024,Encinas Reales,2020-11-01,8,81,0.90,11754.82,559.27,0.95
14025,Espejo,2020-11-01,26,129,0.80,16739.32,1635.53,0.90
14026,Espiel,2020-11-01,26,104,0.75,14838.29,5981.66,0.60
14027,Fernán-Núñez,2020-11-01,23,196,0.88,33522.66,3875.07,0.88
