id,ES-SO,ES-CL,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
42068,ES-SO,ES-CL,Coscurita,2020-11-01,17,24,0.29,2100.87,2692.56,0.22
42069,ES-SO,ES-CL,Covaleda,2020-11-01,28,98,0.71,2287.72,12822.36,0.82
42070,ES-SO,ES-CL,Cubilla,2020-11-01,0,16,1.00,0.00,1030.61,1.00
42071,ES-SO,ES-CL,Cubo de la Solana,2020-11-01,43,83,0.48,2861.87,6229.34,0.54
42073,ES-SO,ES-CL,Cueva de Ágreda,2020-11-01,0,19,1.00,0.00,1045.90,1.00
42075,ES-SO,ES-CL,Dévanos,2020-11-01,12,12,0.00,1592.88,1592.88,0.00
42076,ES-SO,ES-CL,Deza,2020-11-01,29,54,0.46,3710.67,5727.83,0.35
42078,ES-SO,ES-CL,Duruelo de la Sierra,2020-11-01,5,98,0.95,509.74,9107.73,0.94
42079,ES-SO,ES-CL,Escobosa de Almazán,2020-11-01,5,5,0.00,690.90,690.90,0.00
42080,ES-SO,ES-CL,Espeja de San Marcelino,2020-11-01,54,118,0.54,3096.12,7918.23,0.61
42081,ES-SO,ES-CL,Espejón,2020-11-01,0,29,1.00,0.00,2045.42,1.00
42082,ES-SO,ES-CL,Estepa de San Juan,2020-11-01,5,5,0.00,453.31,453.31,0.00
42083,ES-SO,ES-CL,Frechilla de Almazán,2020-11-01,21,21,0.00,1857.11,1857.11,0.00
42084,ES-SO,ES-CL,Fresno de Caracena,2020-11-01,9,9,0.00,972.07,972.07,0.00
42085,ES-SO,ES-CL,Fuentearmegil,2020-11-01,1,78,0.99,77.14,5955.20,0.99
42086,ES-SO,ES-CL,Fuentecambrón,2020-11-01,0,19,1.00,0.00,1073.07,1.00
42087,ES-SO,ES-CL,Fuentecantos,2020-11-01,8,8,0.00,1403.82,1403.82,0.00
42088,ES-SO,ES-CL,Fuentelmonge,2020-11-01,8,8,0.00,1207.19,1207.19,0.00
42089,ES-SO,ES-CL,Fuentelsaz de Soria,2020-11-01,18,18,0.00,2507.66,2507.66,0.00
42090,ES-SO,ES-CL,Fuentepinilla,2020-11-01,33,33,0.00,3079.25,3079.25,0.00
42092,ES-SO,ES-CL,Fuentes de Magaña,2020-11-01,9,9,0.00,2092.34,2092.34,0.00
42093,ES-SO,ES-CL,Fuentestrún,2020-11-01,13,13,0.00,1928.71,1928.71,0.00
42094,ES-SO,ES-CL,Garray,2020-11-01,0,131,1.00,0.00,15572.72,1.00
42095,ES-SO,ES-CL,Golmayo,2020-11-01,55,248,0.78,5816.67,27086.78,0.79
42096,ES-SO,ES-CL,Gómara,2020-11-01,26,55,0.53,1916.02,4710.92,0.59
42097,ES-SO,ES-CL,Gormaz,2020-11-01,0,16,1.00,0.00,881.40,1.00
42098,ES-SO,ES-CL,Herrera de Soria,2020-11-01,19,19,0.00,1086.81,1086.81,0.00
42100,ES-SO,ES-CL,Hinojosa del Campo,2020-11-01,8,8,0.00,2398.84,2398.84,0.00
42103,ES-SO,ES-CL,Langa de Duero,2020-11-01,0,152,1.00,0.00,14806.37,1.00
42105,ES-SO,ES-CL,Liceras,2020-11-01,13,16,0.19,1716.46,1997.42,0.14
42106,ES-SO,ES-CL,La Losilla,2020-11-01,0,6,1.00,0.00,710.77,1.00
42107,ES-SO,ES-CL,Magaña,2020-11-01,28,37,0.24,2382.86,3676.82,0.35
42108,ES-SO,ES-CL,Maján,2020-11-01,13,13,0.00,1533.70,1533.70,0.00
42110,ES-SO,ES-CL,Matalebreras,2020-11-01,15,34,0.56,1124.26,2562.91,0.56
42111,ES-SO,ES-CL,Matamala de Almazán,2020-11-01,0,54,1.00,0.00,5045.64,1.00
42113,ES-SO,ES-CL,Medinaceli,2020-11-01,24,243,0.90,1800.46,15619.18,0.88
42115,ES-SO,ES-CL,Miño de Medinaceli,2020-11-01,35,41,0.15,2345.31,2786.96,0.16
42116,ES-SO,ES-CL,Miño de San Esteban,2020-11-01,0,25,1.00,0.00,1749.20,1.00
42117,ES-SO,ES-CL,Molinos de Duero,2020-11-01,0,58,1.00,0.00,4031.24,1.00
42118,ES-SO,ES-CL,Momblona,2020-11-01,11,11,0.00,1144.79,1144.79,0.00
42119,ES-SO,ES-CL,Monteagudo de las Vicarías,2020-11-01,21,37,0.43,2440.58,4829.03,0.49
42120,ES-SO,ES-CL,Montejo de Tiermes,2020-11-01,63,81,0.22,6379.41,7724.90,0.17
42121,ES-SO,ES-CL,Montenegro de Cameros,2020-11-01,12,12,0.00,1821.65,1821.65,0.00
42123,ES-SO,ES-CL,Morón de Almazán,2020-11-01,7,48,0.85,220.03,4362.75,0.95
42124,ES-SO,ES-CL,Muriel de la Fuente,2020-11-01,0,10,1.00,0.00,1235.48,1.00
42125,ES-SO,ES-CL,Muriel Viejo,2020-11-01,0,21,1.00,0.00,1159.65,1.00
42127,ES-SO,ES-CL,Nafría de Ucero,2020-11-01,27,45,0.40,1642.36,2785.93,0.41
42128,ES-SO,ES-CL,Narros,2020-11-01,0,23,1.00,0.00,1796.08,1.00
42129,ES-SO,ES-CL,Navaleno,2020-11-01,35,95,0.63,1588.16,9832.16,0.84
42130,ES-SO,ES-CL,Nepas,2020-11-01,12,12,0.00,1361.74,1361.74,0.00
42131,ES-SO,ES-CL,Nolay,2020-11-01,8,8,0.00,1085.46,1085.46,0.00
42132,ES-SO,ES-CL,Noviercas,2020-11-01,8,59,0.86,1353.68,7719.54,0.82
42134,ES-SO,ES-CL,Ólvega,2020-11-01,29,208,0.86,7283.92,32090.84,0.77
42135,ES-SO,ES-CL,Oncala,2020-11-01,9,9,0.00,1399.55,1399.55,0.00
42139,ES-SO,ES-CL,Pinilla del Campo,2020-11-01,10,10,0.00,987.94,987.94,0.00
42140,ES-SO,ES-CL,Portillo de Soria,2020-11-01,4,4,0.00,339.30,339.30,0.00
42141,ES-SO,ES-CL,La Póveda de Soria,2020-11-01,26,27,0.04,2779.13,2843.52,0.02
42142,ES-SO,ES-CL,Pozalmuro,2020-11-01,17,17,0.00,2873.07,2873.07,0.00
42144,ES-SO,ES-CL,Quintana Redonda,2020-11-01,35,86,0.59,2841.25,8030.98,0.65
42145,ES-SO,ES-CL,Quintanas de Gormáz,2020-11-01,0,23,1.00,0.00,2326.65,1.00
42148,ES-SO,ES-CL,Quiñonería,2020-11-01,5,7,0.29,358.28,568.55,0.37
42149,ES-SO,ES-CL,Los Rábanos,2020-11-01,49,157,0.69,5255.71,13878.89,0.62
42151,ES-SO,ES-CL,Rebollar,2020-11-01,14,14,0.00,1240.54,1240.54,0.00
42152,ES-SO,ES-CL,Recuerda,2020-11-01,4,27,0.85,431.89,2334.63,0.82
42153,ES-SO,ES-CL,Rello,2020-11-01,15,20,0.25,1310.60,1948.81,0.33
42154,ES-SO,ES-CL,Renieblas,2020-11-01,24,25,0.04,3560.39,3628.99,0.02
42155,ES-SO,ES-CL,Retortillo de Soria,2020-11-01,29,67,0.57,3087.96,6249.14,0.51
42156,ES-SO,ES-CL,Reznos,2020-11-01,2,2,0.00,731.57,731.57,0.00
42157,ES-SO,ES-CL,La Riba de Escalote,2020-11-01,5,5,0.00,1016.34,1016.34,0.00
42158,ES-SO,ES-CL,Rioseco de Soria,2020-11-01,0,24,1.00,0.00,2186.17,1.00
42159,ES-SO,ES-CL,Rollamienta,2020-11-01,12,12,0.00,1225.22,1225.22,0.00
42160,ES-SO,ES-CL,El Royo,2020-11-01,38,56,0.32,4486.97,7441.76,0.40
