id,name,date,incomplete,total,percentage,length_total,length_incomplete,length_percentage
08083,Folgueroles,2020-11-01,2,81,0.98,10449.12,115.88,0.99
08084,Fonollosa,2020-11-01,2,98,0.98,16820.16,187.12,0.99
08085,Font-rubí,2020-11-01,0,47,1.00,8350.73,0.00,1.00
08086,les Franqueses del Vallès,2020-11-01,31,343,0.91,62901.95,1719.17,0.97
08087,Gallifa,2020-11-01,5,22,0.77,4138.07,305.34,0.93
08088,la Garriga,2020-11-01,76,362,0.79,62146.14,3399.55,0.95
08089,Gavà,2020-11-01,17,460,0.96,75917.65,541.69,0.99
08090,Gaià,2020-11-01,0,5,1.00,562.01,0.00,1.00
08091,Gelida,2020-11-01,0,192,1.00,31897.23,0.00,1.00
08092,Gironella,2020-11-01,10,144,0.93,18430.74,559.58,0.97
08093,Gisclareny,2020-11-01,0,1,1.00,82.86,0.00,1.00
08094,la Granada,2020-11-01,1,78,0.99,10992.35,29.50,1.00
08095,Granera,2020-11-01,0,11,1.00,1464.66,0.00,1.00
08096,Granollers,2020-11-01,70,680,0.90,101734.64,5836.44,0.94
08097,Gualba,2020-11-01,1,54,0.98,9603.99,54.56,0.99
08098,Sant Salvador de Guardiola,2020-11-01,4,128,0.97,43963.62,126.09,1.00
08099,Guardiola de Berguedà,2020-11-01,0,26,1.00,3088.61,0.00,1.00
08100,Gurb,2020-11-01,7,137,0.95,26493.58,430.44,0.98
08101,l'Hospitalet de Llobregat,2020-11-01,15,1117,0.99,148498.35,517.72,1.00
08103,Jorba,2020-11-01,1,53,0.98,7813.48,24.30,1.00
08104,la Llacuna,2020-11-01,0,107,1.00,12579.98,0.00,1.00
08105,la Llagosta,2020-11-01,6,110,0.95,17493.13,577.16,0.97
08106,Llinars del Vallès,2020-11-01,40,297,0.87,63636.10,3915.21,0.94
08107,Lliçà d'Amunt,2020-11-01,25,341,0.93,95828.33,2293.02,0.98
08108,Lliçà de Vall,2020-11-01,48,224,0.79,61564.82,4523.21,0.93
08109,Lluçà,2020-11-01,1,12,0.92,1351.82,42.80,0.97
08110,Malgrat de Mar,2020-11-01,25,279,0.91,44219.97,1506.97,0.97
08111,Malla,2020-11-01,0,1,1.00,313.94,0.00,1.00
08112,Manlleu,2020-11-01,16,401,0.96,53868.63,894.12,0.98
08113,Manresa,2020-11-01,83,1246,0.93,122027.14,2932.84,0.98
08114,Martorell,2020-11-01,32,354,0.91,49293.03,3042.34,0.94
08115,Martorelles,2020-11-01,40,183,0.78,24821.98,1639.09,0.93
08116,les Masies de Roda,2020-11-01,0,29,1.00,3474.27,0.00,1.00
08117,les Masies de Voltregà,2020-11-01,1,128,0.99,18391.32,40.98,1.00
08118,el Masnou,2020-11-01,8,388,0.98,47635.12,277.97,0.99
08119,Masquefa,2020-11-01,8,272,0.97,52813.86,402.57,0.99
08120,Matadepera,2020-11-01,15,399,0.96,89253.90,464.45,0.99
08121,Mataró,2020-11-01,59,1101,0.95,170788.38,5632.79,0.97
08122,Mediona,2020-11-01,0,126,1.00,36462.14,0.00,1.00
08123,Molins de Rei,2020-11-01,13,419,0.97,47061.13,551.41,0.99
08124,Mollet del Vallès,2020-11-01,53,489,0.89,72085.90,3651.14,0.95
08125,Montcada i Reixac,2020-11-01,17,567,0.97,69994.90,622.32,0.99
08126,Montgat,2020-11-01,6,177,0.97,23455.65,206.96,0.99
08127,Monistrol de Montserrat,2020-11-01,20,115,0.83,13191.40,649.12,0.95
08128,Monistrol de Calders,2020-11-01,4,79,0.95,16088.57,75.66,1.00
08129,Muntanyola,2020-11-01,0,25,1.00,10984.73,0.00,1.00
08130,Montclar,2020-11-01,0,0,0,0.00,0.00,0
08131,Montesquiu,2020-11-01,0,30,1.00,4426.05,0.00,1.00
08132,Montmajor,2020-11-01,1,18,0.94,2450.69,82.08,0.97
08133,Montmaneu,2020-11-01,0,19,1.00,2623.13,0.00,1.00
08134,Figaró-Montmany,2020-11-01,2,33,0.94,5703.32,548.58,0.90
08135,Montmeló,2020-11-01,26,129,0.80,25593.82,2903.80,0.89
08136,Montornès del Vallès,2020-11-01,24,325,0.93,50772.52,1489.67,0.97
08137,Montseny,2020-11-01,0,9,1.00,1372.64,0.00,1.00
08138,Moià,2020-11-01,15,212,0.93,37083.29,2663.63,0.93
08139,Mura,2020-11-01,7,55,0.87,4157.47,180.53,0.96
08140,Navarcles,2020-11-01,4,169,0.98,26477.47,158.03,0.99
08141,Navàs,2020-11-01,0,116,1.00,22058.03,0.00,1.00
08142,la Nou de Berguedà,2020-11-01,1,15,0.93,1460.34,66.12,0.95
