id,prov,ccaa,name
50001,ES-Z,ES-AR,Abanto
50002,ES-Z,ES-AR,Acered
50003,ES-Z,ES-AR,Agón
50004,ES-Z,ES-AR,Aguarón
50005,ES-Z,ES-AR,Aguilón
50006,ES-Z,ES-AR,Ainzón
50007,ES-Z,ES-AR,Aladrén
50008,ES-Z,ES-AR,Alagón
50009,ES-Z,ES-AR,Alarba
50010,ES-Z,ES-AR,Alberite de San Juan
50011,ES-Z,ES-AR,Albeta
50012,ES-Z,ES-AR,Alborge
50013,ES-Z,ES-AR,Alcalá de Ebro
50014,ES-Z,ES-AR,Alcalá de Moncayo
50015,ES-Z,ES-AR,Alconchel de Ariza
50016,ES-Z,ES-AR,Aldehuela de Liestos
50017,ES-Z,ES-AR,Alfajarín
50018,ES-Z,ES-AR,Alfamén
50019,ES-Z,ES-AR,Alforque
50020,ES-Z,ES-AR,Alhama de Aragón
50021,ES-Z,ES-AR,Almochuel
50022,ES-Z,ES-AR,La Almolda
50023,ES-Z,ES-AR,Almonacid de la Cuba
50024,ES-Z,ES-AR,Almonacid de la Sierra
50025,ES-Z,ES-AR,La Almunia de Doña Godina
50026,ES-Z,ES-AR,Alpartir
50027,ES-Z,ES-AR,Ambel
50028,ES-Z,ES-AR,Anento
50029,ES-Z,ES-AR,Aniñón
50030,ES-Z,ES-AR,Añón de Moncayo
50031,ES-Z,ES-AR,Aranda de Moncayo
50032,ES-Z,ES-AR,Arándiga
50033,ES-Z,ES-AR,Ardisa
50034,ES-Z,ES-AR,Ariza
50035,ES-Z,ES-AR,Artieda
50036,ES-Z,ES-AR,Asín
50037,ES-Z,ES-AR,Atea
50038,ES-Z,ES-AR,Ateca
50039,ES-Z,ES-AR,Azuara
50040,ES-Z,ES-AR,Badules
50041,ES-Z,ES-AR,Bagüés
50042,ES-Z,ES-AR,Balconchán
50043,ES-Z,ES-AR,Bárboles
50044,ES-Z,ES-AR,Bardallur
50045,ES-Z,ES-AR,Belchite
50046,ES-Z,ES-AR,Belmonte de Gracián
50047,ES-Z,ES-AR,Berdejo
50048,ES-Z,ES-AR,Berrueco
50050,ES-Z,ES-AR,Bijuesca
50051,ES-Z,ES-AR,Biota
50052,ES-Z,ES-AR,Bisimbre
50053,ES-Z,ES-AR,Boquiñeni
50054,ES-Z,ES-AR,Bordalba
50055,ES-Z,ES-AR,Borja
50056,ES-Z,ES-AR,Botorrita
50057,ES-Z,ES-AR,Brea de Aragón
50058,ES-Z,ES-AR,Bubierca
50059,ES-Z,ES-AR,Bujaraloz
50060,ES-Z,ES-AR,Bulbuente
50061,ES-Z,ES-AR,Bureta
50062,ES-Z,ES-AR,El Burgo de Ebro
50063,ES-Z,ES-AR,El Buste
50064,ES-Z,ES-AR,Cabañas de Ebro
50065,ES-Z,ES-AR,Cabolafuente
50066,ES-Z,ES-AR,Cadrete
50067,ES-Z,ES-AR,Calatayud
50068,ES-Z,ES-AR,Calatorao
50069,ES-Z,ES-AR,Calcena
50070,ES-Z,ES-AR,Calmarza
50071,ES-Z,ES-AR,Campillo de Aragón
50072,ES-Z,ES-AR,Carenas
50073,ES-Z,ES-AR,Cariñena
50074,ES-Z,ES-AR,Caspe
50075,ES-Z,ES-AR,Castejón de Alarba
50076,ES-Z,ES-AR,Castejón de las Armas
50077,ES-Z,ES-AR,Castejón de Valdejasa
50078,ES-Z,ES-AR,Castiliscar
50079,ES-Z,ES-AR,Cervera de la Cañada
50080,ES-Z,ES-AR,Cerveruela
50081,ES-Z,ES-AR,Cetina
50082,ES-Z,ES-AR,Cimballa
50083,ES-Z,ES-AR,Cinco Olivas
50084,ES-Z,ES-AR,Clarés de Ribota
50085,ES-Z,ES-AR,Codo
50086,ES-Z,ES-AR,Codos
50087,ES-Z,ES-AR,Contamina
50088,ES-Z,ES-AR,Cosuenda
50089,ES-Z,ES-AR,Cuarte de Huerva
50090,ES-Z,ES-AR,Cubel
50091,ES-Z,ES-AR,Las Cuerlas
50092,ES-Z,ES-AR,Chiprana
