id,name,date,incomplete,total,percentage,length_total,length_incomplete,length_percentage
15086,Trazo,2021-01-01,61,63,0.03,9758.48,8930.15,0.08
15087,Valdoviño,2021-01-01,84,114,0.26,38851.58,27451.38,0.29
15088,Val do Dubra,2021-01-01,88,106,0.17,23440.87,20317.36,0.13
15089,Vedra,2021-01-01,135,140,0.04,37899.35,35466.60,0.06
15090,Vilasantar,2021-01-01,120,122,0.02,12575.42,11769.43,0.06
15091,Vilarmaior,2021-01-01,12,12,0.00,1452.87,1452.87,0.00
15092,Vimianzo,2021-01-01,431,456,0.05,69338.16,64190.68,0.07
15093,Zas,2021-01-01,205,216,0.05,23246.23,21574.69,0.07
15901,Cariño,2021-01-01,88,184,0.52,27532.09,10798.85,0.61
15902,Oza-Cesuras,2021-01-01,92,107,0.14,16699.47,13683.26,0.18
27001,Abadín,2021-01-01,32,49,0.35,10564.18,6658.23,0.37
27002,Alfoz,2021-01-01,0,38,1.00,6807.85,0.00,1.00
27003,Antas de Ulla,2021-01-01,227,244,0.07,38934.19,34964.16,0.10
27004,Baleira,2021-01-01,242,251,0.04,31785.01,30579.67,0.04
27005,Barreiros,2021-01-01,38,79,0.52,17071.88,5462.00,0.68
27006,Becerreá,2021-01-01,297,344,0.14,49123.99,39671.41,0.19
27007,Begonte,2021-01-01,0,99,1.00,14707.22,0.00,1.00
27008,Bóveda,2021-01-01,143,160,0.11,21965.71,19288.15,0.12
27009,Carballedo,2021-01-01,411,413,0.00,48823.77,48666.66,0.00
27010,Castro de Rei,2021-01-01,323,459,0.30,56675.60,38889.74,0.31
27011,Castroverde,2021-01-01,378,410,0.08,54598.60,49722.89,0.09
27012,Cervantes,2021-01-01,364,375,0.03,44402.04,42988.84,0.03
27013,Cervo,2021-01-01,1,137,0.99,17755.40,29.02,1.00
27014,O Corgo,2021-01-01,432,467,0.07,61116.22,55136.03,0.10
27015,Cospeito,2021-01-01,71,116,0.39,27180.96,16801.26,0.38
27016,Chantada,2021-01-01,650,723,0.10,86641.71,75510.71,0.13
27017,Folgoso do Courel,2021-01-01,281,372,0.24,32740.65,21520.73,0.34
27018,A Fonsagrada,2021-01-01,471,517,0.09,64451.23,57104.01,0.11
27019,Foz,2021-01-01,20,166,0.88,31192.84,2109.62,0.93
27020,Friol,2021-01-01,3,109,0.97,16610.24,321.00,0.98
27021,Xermade,2021-01-01,3,49,0.94,6505.41,410.25,0.94
27022,Guitiriz,2021-01-01,0,494,1.00,62841.54,0.00,1.00
27023,Guntín,2021-01-01,93,102,0.09,30303.55,28498.67,0.06
27024,O Incio,2021-01-01,265,349,0.24,43660.50,33999.62,0.22
27025,Xove,2021-01-01,0,39,1.00,7174.58,0.00,1.00
27026,Láncara,2021-01-01,347,366,0.05,45261.24,40425.97,0.11
27027,Lourenzá,2021-01-01,52,164,0.68,20443.99,4159.33,0.80
27028,Lugo,2021-01-01,28,2457,0.99,343076.06,1240.76,1.00
27029,Meira,2021-01-01,146,165,0.12,20692.48,17213.42,0.17
27030,Mondoñedo,2021-01-01,33,301,0.89,32744.38,2342.32,0.93
27031,Monforte de Lemos,2021-01-01,505,639,0.21,99010.72,62455.98,0.37
27032,Monterroso,2021-01-01,302,389,0.22,51721.46,39252.83,0.24
27033,Muras,2021-01-01,0,12,1.00,2274.48,0.00,1.00
27034,Navia de Suarna,2021-01-01,364,422,0.14,48045.46,41943.13,0.13
27035,Negueira de Muñiz,2021-01-01,0,36,1.00,4468.84,0.00,1.00
27037,As Nogais,2021-01-01,131,184,0.29,24879.59,15569.74,0.37
27038,Ourol,2021-01-01,0,10,1.00,1460.13,0.00,1.00
27039,Outeiro de Rei,2021-01-01,0,180,1.00,37740.06,0.00,1.00
27040,Palas de Rei,2021-01-01,297,387,0.23,51179.93,36931.57,0.28
27041,Pantón,2021-01-01,212,248,0.15,41975.50,36435.45,0.13
27042,Paradela,2021-01-01,232,255,0.09,33702.74,30451.24,0.10
27043,O Páramo,2021-01-01,146,146,0.00,20083.71,20083.71,0.00
27044,A Pastoriza,2021-01-01,636,677,0.06,75494.39,69423.38,0.08
27045,Pedrafita do Cebreiro,2021-01-01,149,201,0.26,25183.54,16294.96,0.35
27046,Pol,2021-01-01,261,279,0.06,41781.60,39874.24,0.05
27047,A Pobra do Brollón,2021-01-01,329,350,0.06,34108.17,32453.86,0.05
27048,A Pontenova,2021-01-01,289,316,0.09,46535.50,39677.34,0.15
27049,Portomarín,2021-01-01,171,199,0.14,25292.76,21090.42,0.17
27050,Quiroga,2021-01-01,237,464,0.49,51208.83,25367.77,0.50
27051,Ribadeo,2021-01-01,247,437,0.43,57804.06,27143.75,0.53
27052,Ribas de Sil,2021-01-01,65,149,0.56,17384.48,6908.52,0.60
27053,Ribeira de Piquín,2021-01-01,93,149,0.38,18634.30,10656.61,0.43
27054,Riotorto,2021-01-01,134,156,0.14,25415.78,21669.81,0.15
27055,Samos,2021-01-01,229,242,0.05,22824.96,21809.28,0.04
27056,Rábade,2021-01-01,0,65,1.00,12265.43,0.00,1.00
27057,Sarria,2021-01-01,695,898,0.23,96330.51,65341.96,0.32
27058,O Saviñao,2021-01-01,423,475,0.11,67827.93,60491.56,0.11
27059,Sober,2021-01-01,562,579,0.03,51757.70,49340.95,0.05
27060,Taboada,2021-01-01,63,109,0.42,17675.51,10609.70,0.40
27061,Trabada,2021-01-01,88,153,0.42,15796.64,7585.03,0.52
27062,Triacastela,2021-01-01,45,105,0.57,13956.95,5188.61,0.63
27063,O Valadouro,2021-01-01,1,54,0.98,9687.72,86.71,0.99
27064,O Vicedo,2021-01-01,0,24,1.00,3552.73,0.00,1.00
27065,Vilalba,2021-01-01,851,1016,0.16,115128.71,91369.81,0.21
27066,Viveiro,2021-01-01,5,201,0.98,20709.72,178.05,0.99
27901,Baralla,2021-01-01,339,374,0.09,49967.34,44278.01,0.11
27902,Burela,2021-01-01,26,212,0.88,37764.03,2081.58,0.94
32001,Allariz,2021-01-01,197,350,0.44,37447.47,19288.53,0.48
32002,Amoeiro,2021-01-01,179,179,0.00,36290.50,36290.50,0.00
