id,name,date,incomplete,total,percentage
20072,Urnieta,2021-01-31,33,801,0.96
20073,Usurbil,2021-01-31,124,874,0.86
20074,Bergara,2021-01-31,60,2026,0.97
20075,Villabona-Amasa,2021-01-31,14,649,0.98
20076,Ordizia,2021-01-31,19,441,0.96
20077,Urretxu,2021-01-31,38,666,0.94
20078,Zaldibia,2021-01-31,0,587,1.00
20079,Zarautz,2021-01-31,93,1714,0.95
20080,Zumarraga,2021-01-31,68,1121,0.94
20081,Zumaia,2021-01-31,36,764,0.95
20901,Mendaro,2021-01-31,29,325,0.91
20902,Lasarte-Oria,2021-01-31,86,598,0.86
20903,Astigarraga,2021-01-31,54,610,0.91
20904,Baliarrain,2021-01-31,2,66,0.97
20905,Orendain,2021-01-31,4,113,0.96
20906,Altzaga,2021-01-31,0,134,1.00
20907,Gaztelu,2021-01-31,0,119,1.00
48001,Abadiño,2021-01-31,104,1037,0.90
48002,Abanto y Ciérvana-Abanto Zierbena,2021-01-31,37,924,0.96
48003,Amorebieta-Etxano,2021-01-31,163,1624,0.90
48004,Amoroto,2021-01-31,9,141,0.94
48005,Arakaldo,2021-01-31,0,84,1.00
48006,Arantzazu,2021-01-31,6,97,0.94
48007,Munitibar-Arbatzegi Gerrikaitz,2021-01-31,9,307,0.97
48008,Artzentales,2021-01-31,2,234,0.99
48009,Arrankudiaga,2021-01-31,48,357,0.87
48010,Arrieta,2021-01-31,21,562,0.96
48011,Arrigorriaga,2021-01-31,50,692,0.93
48012,Bakio,2021-01-31,48,773,0.94
48013,Barakaldo,2021-01-31,113,4527,0.98
48014,Barrika,2021-01-31,19,260,0.93
48015,Basauri,2021-01-31,128,1035,0.88
48016,Berango,2021-01-31,35,467,0.93
48017,Bermeo,2021-01-31,53,1843,0.97
48018,Berriatua,2021-01-31,8,227,0.96
48019,Berriz,2021-01-31,103,642,0.84
48020,Bilbao,2021-01-31,320,10050,0.97
48021,Busturia,2021-01-31,58,953,0.94
48022,Karrantza Harana / Valle de Carranza,2021-01-31,6,944,0.99
48023,Artea,2021-01-31,6,200,0.97
48024,Zeanuri,2021-01-31,25,936,0.97
48025,Zeberio,2021-01-31,12,631,0.98
48026,Dima,2021-01-31,46,1032,0.96
48027,Durango,2021-01-31,159,733,0.78
48028,Ea,2021-01-31,21,391,0.95
48029,Etxebarri,2021-01-31,72,747,0.90
48030,Etxebarria,2021-01-31,26,195,0.87
48031,Elantxobe,2021-01-31,2,69,0.97
48032,Elorrio,2021-01-31,79,905,0.91
48033,Ereño,2021-01-31,2,226,0.99
48034,Ermua,2021-01-31,62,349,0.82
48035,Fruiz,2021-01-31,10,240,0.96
48036,Galdakao,2021-01-31,229,1737,0.87
48037,Galdames,2021-01-31,0,412,1.00
48038,Gamiz-Fika,2021-01-31,19,582,0.97
48039,Garai,2021-01-31,7,141,0.95
48040,Gatika,2021-01-31,6,526,0.99
48041,Gautegiz Arteaga,2021-01-31,36,483,0.93
48042,Gordexola,2021-01-31,8,327,0.98
48043,Gorliz,2021-01-31,43,497,0.91
48044,Getxo,2021-01-31,124,1888,0.93
48045,Güeñes,2021-01-31,19,804,0.98
48046,Gernika-Lumo,2021-01-31,141,893,0.84
48047,Gizaburuaga,2021-01-31,1,62,0.98
48048,Ibarrangelu,2021-01-31,8,460,0.98
48049,Ispaster,2021-01-31,22,284,0.92
48050,Izurtza,2021-01-31,6,85,0.93
48051,Lanestosa,2021-01-31,5,73,0.93
48052,Larrabetzu,2021-01-31,33,650,0.95
48053,Laukiz,2021-01-31,11,207,0.95
48054,Leioa,2021-01-31,178,1949,0.91
48055,Lemoa,2021-01-31,68,391,0.83
48056,Lemoiz,2021-01-31,43,479,0.91
48057,Lekeitio,2021-01-31,73,441,0.83
48058,Mallabia,2021-01-31,36,280,0.87
48059,Mañaria,2021-01-31,10,268,0.96
48060,Markina-Xemein,2021-01-31,42,644,0.93
48061,Maruri-Jatabe,2021-01-31,7,457,0.98
48062,Mendata,2021-01-31,9,393,0.98
48063,Mendexa,2021-01-31,3,138,0.98
48064,Meñaka,2021-01-31,5,367,0.99
48065,Ugao-Miraballes,2021-01-31,26,197,0.87
48066,Morga,2021-01-31,12,435,0.97
48067,Muxika,2021-01-31,35,1161,0.97
48068,Mundaka,2021-01-31,29,456,0.94
48069,Mungia,2021-01-31,217,2273,0.90
48070,Aulesti,2021-01-31,11,277,0.96
48071,Muskiz,2021-01-31,73,1229,0.94
