id,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
06001,Acedera,2021-01-01,8,59,0.86,645.95,10497.87,0.94
06002,Aceuchal,2021-01-01,29,149,0.81,6007.27,28077.42,0.79
06003,Ahillones,2021-01-01,9,49,0.82,1006.27,7784.00,0.87
06004,Alange,2021-01-01,33,92,0.64,3400.69,13851.68,0.75
06005,La Albuera,2021-01-01,18,78,0.77,1901.75,13758.21,0.86
06006,Alburquerque,2021-01-01,35,214,0.84,2629.09,23718.36,0.89
06007,Alconchel,2021-01-01,32,109,0.71,2247.25,13234.07,0.83
06008,Alconera,2021-01-01,8,41,0.80,1085.34,5468.85,0.80
06009,Aljucén,2021-01-01,8,29,0.72,458.53,2694.26,0.83
06010,Almendral,2021-01-01,18,76,0.76,1362.78,9096.32,0.85
06011,Almendralejo,2021-01-01,65,655,0.90,14858.96,121144.87,0.88
06012,Arroyo de San Serván,2021-01-01,20,106,0.81,2434.68,21530.10,0.89
06013,Atalaya,2021-01-01,4,32,0.88,335.76,3119.42,0.89
06014,Azuaga,2021-01-01,46,257,0.82,2957.04,38477.95,0.92
06015,Badajoz,2021-01-01,238,2679,0.91,53993.41,453424.13,0.88
06016,Barcarrota,2021-01-01,21,67,0.69,2527.76,13229.92,0.81
06017,Baterno,2021-01-01,2,24,0.92,275.83,2169.94,0.87
06018,Benquerencia de la Serena,2021-01-01,36,51,0.29,6848.49,11134.58,0.38
06019,Berlanga,2021-01-01,40,90,0.56,4673.51,16484.49,0.72
06020,Bienvenida,2021-01-01,5,79,0.94,211.45,11765.18,0.98
06021,Bodonal de la Sierra,2021-01-01,5,48,0.90,324.96,7164.62,0.95
06022,Burguillos del Cerro,2021-01-01,31,161,0.81,2435.68,21484.85,0.89
06023,Cabeza del Buey,2021-01-01,77,150,0.49,12008.38,29862.74,0.60
06024,Cabeza la Vaca,2021-01-01,6,78,0.92,704.50,9823.24,0.93
06025,Calamonte,2021-01-01,24,145,0.83,1172.45,22914.39,0.95
06026,Calera de León,2021-01-01,7,49,0.86,499.95,4610.82,0.89
06027,Calzadilla de los Barros,2021-01-01,10,74,0.86,689.82,8044.58,0.91
06028,Campanario,2021-01-01,39,258,0.85,3801.68,33489.17,0.89
06029,Campillo de Llerena,2021-01-01,17,41,0.59,2236.59,7811.76,0.71
06030,Capilla,2021-01-01,11,29,0.62,1002.03,3936.74,0.75
06031,Carmonita,2021-01-01,11,38,0.71,672.86,3689.47,0.82
06032,El Carrascalejo,2021-01-01,7,16,0.56,467.76,1470.71,0.68
06033,Casas de Don Pedro,2021-01-01,59,107,0.45,9766.78,18386.24,0.47
06034,Casas de Reina,2021-01-01,1,34,0.97,20.22,3394.28,0.99
