id,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
15070,As Pontes de García Rodríguez,2021-01-01,110,346,0.68,9826.36,45789.16,0.79
15071,Porto do Son,2021-01-01,162,251,0.35,27505.14,37560.87,0.27
15072,Rianxo,2021-01-01,304,457,0.33,60325.57,77469.07,0.22
15073,Ribeira,2021-01-01,224,569,0.61,26719.45,80923.26,0.67
15074,Rois,2021-01-01,161,162,0.01,27503.90,27565.57,0.00
15075,Sada,2021-01-01,153,367,0.58,32035.49,74692.84,0.57
15076,San Sadurniño,2021-01-01,15,16,0.06,2923.00,3792.15,0.23
15077,Santa Comba,2021-01-01,281,316,0.11,41414.76,48473.76,0.15
15078,Santiago de Compostela,2021-01-01,94,2123,0.96,3957.53,286168.65,0.99
15079,Santiso,2021-01-01,29,29,0.00,4617.95,4617.95,0.00
15080,Sobrado,2021-01-01,169,169,0.00,18140.67,18140.67,0.00
15081,As Somozas,2021-01-01,23,25,0.08,2750.58,3500.39,0.21
15082,Teo,2021-01-01,148,217,0.32,23311.00,37076.14,0.37
15083,Toques,2021-01-01,10,10,0.00,1070.54,1070.54,0.00
15084,Tordoia,2021-01-01,42,42,0.00,8785.63,8785.63,0.00
15085,Touro,2021-01-01,83,89,0.07,16869.45,17890.26,0.06
15086,Trazo,2021-01-01,61,63,0.03,8930.15,9758.48,0.08
15087,Valdoviño,2021-01-01,84,114,0.26,27451.38,38851.58,0.29
15088,Val do Dubra,2021-01-01,88,106,0.17,20317.36,23440.87,0.13
15089,Vedra,2021-01-01,135,140,0.04,35466.60,37899.35,0.06
15090,Vilasantar,2021-01-01,120,122,0.02,11769.43,12575.42,0.06
15091,Vilarmaior,2021-01-01,12,12,0.00,1452.87,1452.87,0.00
15092,Vimianzo,2021-01-01,431,456,0.05,64190.68,69338.16,0.07
15093,Zas,2021-01-01,205,216,0.05,21574.69,23246.23,0.07
15901,Cariño,2021-01-01,88,184,0.52,10798.85,27532.09,0.61
15902,Oza-Cesuras,2021-01-01,92,107,0.14,13683.26,16699.47,0.18
27001,Abadín,2021-01-01,32,49,0.35,6658.23,10564.18,0.37
27002,Alfoz,2021-01-01,0,38,1.00,0.00,6807.85,1.00
27003,Antas de Ulla,2021-01-01,227,244,0.07,34964.16,38934.19,0.10
27004,Baleira,2021-01-01,242,251,0.04,30579.67,31785.01,0.04
27005,Barreiros,2021-01-01,38,79,0.52,5462.00,17071.88,0.68
27006,Becerreá,2021-01-01,297,344,0.14,39671.41,49123.99,0.19
27007,Begonte,2021-01-01,0,99,1.00,0.00,14707.22,1.00
27008,Bóveda,2021-01-01,143,160,0.11,19288.15,21965.71,0.12
27009,Carballedo,2021-01-01,411,413,0.00,48666.66,48823.77,0.00
27010,Castro de Rei,2021-01-01,323,459,0.30,38889.74,56675.60,0.31
