id,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
28080,Majadahonda,2021-01-01,27,1032,0.97,1601.14,153496.22,0.99
28082,Manzanares el Real,2021-01-01,13,406,0.97,854.90,61793.85,0.99
28083,Meco,2021-01-01,68,398,0.83,4848.92,64549.21,0.92
28084,Mejorada del Campo,2021-01-01,40,333,0.88,5438.05,64969.82,0.92
28085,Miraflores de la Sierra,2021-01-01,39,403,0.90,4673.13,54376.54,0.91
28086,El Molar,2021-01-01,46,185,0.75,5312.50,30124.23,0.82
28087,Los Molinos,2021-01-01,59,295,0.80,5946.10,49553.13,0.88
28088,Montejo de la Sierra,2021-01-01,9,23,0.61,663.79,2377.81,0.72
28089,Moraleja de Enmedio,2021-01-01,7,115,0.94,368.86,19367.03,0.98
28090,Moralzarzal,2021-01-01,31,511,0.94,3232.87,76176.17,0.96
28091,Morata de Tajuña,2021-01-01,24,224,0.89,2755.24,27681.32,0.90
28092,Móstoles,2021-01-01,214,1190,0.82,19195.22,196090.01,0.90
28093,Navacerrada,2021-01-01,30,176,0.83,3064.39,24035.26,0.87
28094,Navalafuente,2021-01-01,20,91,0.78,1803.33,16653.67,0.89
28095,Navalagamella,2021-01-01,16,129,0.88,1441.29,12727.51,0.89
28096,Navalcarnero,2021-01-01,129,524,0.75,14986.19,97678.27,0.85
28097,Navarredonda y San Mamés,2021-01-01,12,46,0.74,828.30,3392.59,0.76
28099,Navas del Rey,2021-01-01,53,193,0.73,8603.09,25823.37,0.67
28100,Nuevo Baztán,2021-01-01,30,260,0.88,1686.04,82938.92,0.98
28101,Olmeda de las Fuentes,2021-01-01,3,34,0.91,248.08,4870.15,0.95
28102,Orusco de Tajuña,2021-01-01,18,79,0.77,2552.43,9890.42,0.74
28104,Paracuellos de Jarama,2021-01-01,53,478,0.89,6120.40,107733.04,0.94
28106,Parla,2021-01-01,141,805,0.82,11268.06,134841.13,0.92
28107,Patones,2021-01-01,7,55,0.87,488.55,5228.60,0.91
28108,Pedrezuela,2021-01-01,60,224,0.73,4945.50,37130.59,0.87
28109,Pelayos de la Presa,2021-01-01,15,267,0.94,668.87,34555.40,0.98
28110,Perales de Tajuña,2021-01-01,18,83,0.78,1505.52,9885.36,0.85
28111,Pezuela de las Torres,2021-01-01,2,60,0.97,198.49,9134.51,0.98
28112,Pinilla del Valle,2021-01-01,10,47,0.79,439.34,4490.82,0.90
28113,Pinto,2021-01-01,145,484,0.70,18281.44,73248.31,0.75
28114,Piñuécar-Gandullas,2021-01-01,13,39,0.67,1534.90,6186.53,0.75
28115,Pozuelo de Alarcón,2021-01-01,111,1513,0.93,7993.76,265517.44,0.97
28116,Pozuelo del Rey,2021-01-01,7,59,0.88,388.25,7690.22,0.95
28117,Prádena del Rincón,2021-01-01,3,36,0.92,437.16,2906.06,0.85
28118,Puebla de la Sierra,2021-01-01,0,30,1.00,0.00,2670.39,1.00
28119,Quijorna,2021-01-01,30,150,0.80,2240.41,23788.25,0.91
28120,Rascafría,2021-01-01,3,186,0.98,77.31,19499.20,1.00
28121,Redueña,2021-01-01,3,27,0.89,159.09,3129.92,0.95
28122,Ribatejada,2021-01-01,14,64,0.78,1758.83,12786.02,0.86
28123,Rivas-Vaciamadrid,2021-01-01,130,861,0.85,12489.01,166277.05,0.92
28124,Robledillo de la Jara,2021-01-01,7,43,0.84,405.75,3453.63,0.88
28125,Robledo de Chavela,2021-01-01,27,307,0.91,3378.73,66872.60,0.95
28126,Robregordo,2021-01-01,5,22,0.77,506.84,3734.36,0.86
28127,Las Rozas de Madrid,2021-01-01,114,1413,0.92,6466.68,262012.09,0.98
28128,Rozas de Puerto Real,2021-01-01,1,68,0.99,10.42,8982.51,1.00
28129,San Agustín del Guadalix,2021-01-01,34,241,0.86,3602.78,41229.19,0.91
28130,San Fernando de Henares,2021-01-01,32,523,0.94,4555.02,71763.45,0.94
28131,San Lorenzo de El Escorial,2021-01-01,35,385,0.91,4021.03,60868.94,0.93
28132,San Martín de la Vega,2021-01-01,106,478,0.78,10677.27,84860.59,0.87
28133,San Martín de Valdeiglesias,2021-01-01,14,400,0.97,1708.22,66162.35,0.97
28134,San Sebastián de los Reyes,2021-01-01,252,960,0.74,22529.60,163664.71,0.86
28135,Santa María de la Alameda,2021-01-01,36,246,0.85,2319.59,33183.38,0.93
28136,Santorcaz,2021-01-01,8,101,0.92,455.75,12181.52,0.96
28137,Los Santos de la Humosa,2021-01-01,12,114,0.89,448.78,16675.54,0.97
28138,La Serna del Monte,2021-01-01,0,19,1.00,0.00,1653.96,1.00
28140,Serranillos del Valle,2021-01-01,3,108,0.97,242.67,25007.43,0.99
28141,Sevilla la Nueva,2021-01-01,11,202,0.95,446.50,38319.60,0.99
28143,Somosierra,2021-01-01,3,21,0.86,83.34,2382.32,0.97
28144,Soto del Real,2021-01-01,64,379,0.83,4428.90,67717.72,0.93
28145,Talamanca de Jarama,2021-01-01,14,136,0.90,1718.45,22501.31,0.92
28146,Tielmes,2021-01-01,2,98,0.98,90.30,11174.20,0.99
28147,Titulcia,2021-01-01,41,56,0.27,5457.92,8209.73,0.34
28148,Torrejón de Ardoz,2021-01-01,138,1093,0.87,10483.85,141305.98,0.93
28149,Torrejón de la Calzada,2021-01-01,57,179,0.68,7017.41,34100.49,0.79
28150,Torrejón de Velasco,2021-01-01,7,110,0.94,516.21,16701.05,0.97
28151,Torrelaguna,2021-01-01,17,201,0.92,990.16,26838.41,0.96
28152,Torrelodones,2021-01-01,7,682,0.99,264.44,118030.98,1.00
28153,Torremocha de Jarama,2021-01-01,17,70,0.76,807.08,9662.60,0.92
28154,Torres de la Alameda,2021-01-01,19,198,0.90,2642.89,39170.17,0.93
28155,Valdaracete,2021-01-01,0,51,1.00,0.00,7421.25,1.00
28156,Valdeavero,2021-01-01,6,77,0.92,279.34,17058.96,0.98
28157,Valdelaguna,2021-01-01,0,70,1.00,0.00,11809.55,1.00
28158,Valdemanco,2021-01-01,21,69,0.70,1473.83,9591.08,0.85
28159,Valdemaqueda,2021-01-01,0,115,1.00,0.00,15972.42,1.00
28160,Valdemorillo,2021-01-01,60,594,0.90,7961.88,120183.36,0.93
28161,Valdemoro,2021-01-01,243,920,0.74,31454.72,157335.38,0.80
28162,Valdeolmos-Alalpardo,2021-01-01,17,91,0.81,1745.41,17829.66,0.90
28163,Valdepiélagos,2021-01-01,1,29,0.97,80.45,5782.97,0.99
28164,Valdetorres de Jarama,2021-01-01,39,152,0.74,8167.73,45621.82,0.82
28165,Valdilecha,2021-01-01,7,77,0.91,365.85,10426.92,0.96
28166,Valverde de Alcalá,2021-01-01,0,37,1.00,0.00,4598.26,1.00
28167,Velilla de San Antonio,2021-01-01,43,237,0.82,1405.16,30679.79,0.95
28168,El Vellón,2021-01-01,14,83,0.83,1369.46,10822.31,0.87
28169,Venturada,2021-01-01,25,194,0.87,1399.99,31083.90,0.95
28170,Villaconejos,2021-01-01,17,98,0.83,2311.27,17588.04,0.87
28171,Villa del Prado,2021-01-01,99,327,0.70,14703.81,70821.98,0.79
28172,Villalbilla,2021-01-01,50,575,0.91,2297.51,107718.83,0.98
28173,Villamanrique de Tajo,2021-01-01,10,69,0.86,964.50,11025.99,0.91
28174,Villamanta,2021-01-01,1,101,0.99,14.88,16387.73,1.00
28175,Villamantilla,2021-01-01,21,91,0.77,1314.84,13233.35,0.90
28176,Villanueva de la Cañada,2021-01-01,22,429,0.95,2294.75,93913.38,0.98
28177,Villanueva del Pardillo,2021-01-01,40,309,0.87,2943.36,51334.80,0.94
28178,Villanueva de Perales,2021-01-01,5,49,0.90,793.00,7897.83,0.90
28179,Villar del Olmo,2021-01-01,5,69,0.93,299.58,16122.07,0.98
28180,Villarejo de Salvanés,2021-01-01,14,227,0.94,6561.97,35424.08,0.81
28181,Villaviciosa de Odón,2021-01-01,73,783,0.91,7593.15,137311.39,0.94
28182,Villavieja del Lozoya,2021-01-01,14,59,0.76,2521.26,6571.39,0.62
28183,Zarzalejo,2021-01-01,22,180,0.88,1292.59,16311.34,0.92
28901,Lozoyuela-Navas-Sieteiglesias,2021-01-01,47,146,0.68,3193.03,15957.15,0.80
28902,Puentes Viejas,2021-01-01,61,138,0.56,6220.31,15315.69,0.59
28903,Tres Cantos,2021-01-01,70,824,0.92,6366.80,145217.01,0.96
-10973818,El Redegüelo,2021-01-01,0,0,1,0.00,0.00,1
-10973818,Los Baldíos,2021-01-01,0,9,1.00,0.00,1961.27,1.00
