id,name,date,incomplete,total,percentage,length_total,length_incomplete,length_percentage
28095,Navalagamella,2021-01-01,16,129,0.88,12727.51,1441.29,0.89
28096,Navalcarnero,2021-01-01,129,524,0.75,97678.27,14986.19,0.85
28097,Navarredonda y San Mamés,2021-01-01,12,46,0.74,3392.59,828.30,0.76
28099,Navas del Rey,2021-01-01,53,193,0.73,25823.37,8603.09,0.67
28100,Nuevo Baztán,2021-01-01,30,260,0.88,82938.92,1686.04,0.98
28101,Olmeda de las Fuentes,2021-01-01,3,34,0.91,4870.15,248.08,0.95
28102,Orusco de Tajuña,2021-01-01,18,79,0.77,9890.42,2552.43,0.74
28104,Paracuellos de Jarama,2021-01-01,53,478,0.89,107733.04,6120.40,0.94
28106,Parla,2021-01-01,141,805,0.82,134841.13,11268.06,0.92
28107,Patones,2021-01-01,7,55,0.87,5228.60,488.55,0.91
28108,Pedrezuela,2021-01-01,60,224,0.73,37130.59,4945.50,0.87
28109,Pelayos de la Presa,2021-01-01,15,267,0.94,34555.40,668.87,0.98
28110,Perales de Tajuña,2021-01-01,18,83,0.78,9885.36,1505.52,0.85
28111,Pezuela de las Torres,2021-01-01,2,60,0.97,9134.51,198.49,0.98
28112,Pinilla del Valle,2021-01-01,10,47,0.79,4490.82,439.34,0.90
28113,Pinto,2021-01-01,145,484,0.70,73248.31,18281.44,0.75
28114,Piñuécar-Gandullas,2021-01-01,13,39,0.67,6186.53,1534.90,0.75
28115,Pozuelo de Alarcón,2021-01-01,111,1513,0.93,265517.44,7993.76,0.97
28116,Pozuelo del Rey,2021-01-01,7,59,0.88,7690.22,388.25,0.95
28117,Prádena del Rincón,2021-01-01,3,36,0.92,2906.06,437.16,0.85
28118,Puebla de la Sierra,2021-01-01,0,30,1.00,2670.39,0.00,1.00
28119,Quijorna,2021-01-01,30,150,0.80,23788.25,2240.41,0.91
28120,Rascafría,2021-01-01,3,186,0.98,19499.20,77.31,1.00
28121,Redueña,2021-01-01,3,27,0.89,3129.92,159.09,0.95
28122,Ribatejada,2021-01-01,14,64,0.78,12786.02,1758.83,0.86
28123,Rivas-Vaciamadrid,2021-01-01,130,861,0.85,166277.05,12489.01,0.92
28124,Robledillo de la Jara,2021-01-01,7,43,0.84,3453.63,405.75,0.88
28125,Robledo de Chavela,2021-01-01,27,307,0.91,66872.60,3378.73,0.95
28126,Robregordo,2021-01-01,5,22,0.77,3734.36,506.84,0.86
28127,Las Rozas de Madrid,2021-01-01,114,1413,0.92,262012.09,6466.68,0.98
28128,Rozas de Puerto Real,2021-01-01,1,68,0.99,8982.51,10.42,1.00
28129,San Agustín del Guadalix,2021-01-01,34,241,0.86,41229.19,3602.78,0.91
28130,San Fernando de Henares,2021-01-01,32,523,0.94,71763.45,4555.02,0.94
28131,San Lorenzo de El Escorial,2021-01-01,35,385,0.91,60868.94,4021.03,0.93
28132,San Martín de la Vega,2021-01-01,106,478,0.78,84860.59,10677.27,0.87
28133,San Martín de Valdeiglesias,2021-01-01,14,400,0.97,66162.35,1708.22,0.97
28134,San Sebastián de los Reyes,2021-01-01,252,960,0.74,163664.71,22529.60,0.86
28135,Santa María de la Alameda,2021-01-01,36,246,0.85,33183.38,2319.59,0.93
28136,Santorcaz,2021-01-01,8,101,0.92,12181.52,455.75,0.96
28137,Los Santos de la Humosa,2021-01-01,12,114,0.89,16675.54,448.78,0.97
28138,La Serna del Monte,2021-01-01,0,19,1.00,1653.96,0.00,1.00
28140,Serranillos del Valle,2021-01-01,3,108,0.97,25007.43,242.67,0.99
28141,Sevilla la Nueva,2021-01-01,11,202,0.95,38319.60,446.50,0.99
28143,Somosierra,2021-01-01,3,21,0.86,2382.32,83.34,0.97
28144,Soto del Real,2021-01-01,64,379,0.83,67717.72,4428.90,0.93
28145,Talamanca de Jarama,2021-01-01,14,136,0.90,22501.31,1718.45,0.92
28146,Tielmes,2021-01-01,2,98,0.98,11174.20,90.30,0.99
28147,Titulcia,2021-01-01,41,56,0.27,8209.73,5457.92,0.34
28148,Torrejón de Ardoz,2021-01-01,138,1093,0.87,141305.98,10483.85,0.93
28149,Torrejón de la Calzada,2021-01-01,57,179,0.68,34100.49,7017.41,0.79
28150,Torrejón de Velasco,2021-01-01,7,110,0.94,16701.05,516.21,0.97
28151,Torrelaguna,2021-01-01,17,201,0.92,26838.41,990.16,0.96
28152,Torrelodones,2021-01-01,7,682,0.99,118030.98,264.44,1.00
28153,Torremocha de Jarama,2021-01-01,17,70,0.76,9662.60,807.08,0.92
28154,Torres de la Alameda,2021-01-01,19,198,0.90,39170.17,2642.89,0.93
28155,Valdaracete,2021-01-01,0,51,1.00,7421.25,0.00,1.00
28156,Valdeavero,2021-01-01,6,77,0.92,17058.96,279.34,0.98
28157,Valdelaguna,2021-01-01,0,70,1.00,11809.55,0.00,1.00
28158,Valdemanco,2021-01-01,21,69,0.70,9591.08,1473.83,0.85
28159,Valdemaqueda,2021-01-01,0,115,1.00,15972.42,0.00,1.00
28160,Valdemorillo,2021-01-01,60,594,0.90,120183.36,7961.88,0.93
28161,Valdemoro,2021-01-01,243,920,0.74,157335.38,31454.72,0.80
28162,Valdeolmos-Alalpardo,2021-01-01,17,91,0.81,17829.66,1745.41,0.90
28163,Valdepiélagos,2021-01-01,1,29,0.97,5782.97,80.45,0.99
28164,Valdetorres de Jarama,2021-01-01,39,152,0.74,45621.82,8167.73,0.82
28165,Valdilecha,2021-01-01,7,77,0.91,10426.92,365.85,0.96
28166,Valverde de Alcalá,2021-01-01,0,37,1.00,4598.26,0.00,1.00
