id,name,date,incomplete,total,percentage
22187,La Puebla de Castro,2021-01-31,10,181,0.94
22188,Puente de Montañana,2021-01-31,5,74,0.93
22189,Puértolas,2021-01-31,28,209,0.87
22190,El Pueyo de Araguás,2021-01-31,1,263,1.00
22193,Pueyo de Santa Cruz,2021-01-31,12,32,0.63
22195,Quicena,2021-01-31,0,258,1.00
22197,Robres,2021-01-31,10,186,0.95
22199,Sabiñánigo,2021-01-31,184,4089,0.96
22200,Sahún,2021-01-31,20,368,0.95
22201,Salas Altas,2021-01-31,2,45,0.96
22202,Salas Bajas,2021-01-31,6,46,0.87
22203,Salillas,2021-01-31,0,78,1.00
22204,Sallent de Gállego,2021-01-31,100,1571,0.94
22205,San Esteban de Litera,2021-01-31,25,106,0.76
22206,Sangarrén,2021-01-31,1,236,1.00
22207,San Juan de Plan,2021-01-31,9,139,0.94
22208,Santa Cilia,2021-01-31,7,168,0.96
22209,Santa Cruz de la Serós,2021-01-31,16,165,0.90
22212,Santaliestra y San Quílez,2021-01-31,8,46,0.83
22213,Sariñena,2021-01-31,38,649,0.94
22214,Secastilla,2021-01-31,13,95,0.86
22215,Seira,2021-01-31,6,184,0.97
22217,Sena,2021-01-31,11,176,0.94
22218,Senés de Alcubierre,2021-01-31,0,138,1.00
22220,Sesa,2021-01-31,0,179,1.00
22221,Sesué,2021-01-31,19,97,0.80
22222,Siétamo,2021-01-31,17,508,0.97
22223,Sopeira,2021-01-31,13,151,0.91
22225,Tamarite de Litera,2021-01-31,72,562,0.87
22226,Tardienta,2021-01-31,27,463,0.94
22227,Tella-Sin,2021-01-31,12,248,0.95
22228,Tierz,2021-01-31,0,167,1.00
22229,Tolva,2021-01-31,18,99,0.82
22230,Torla-Ordesa,2021-01-31,14,876,0.98
22232,Torralba de Aragón,2021-01-31,6,148,0.96
22233,Torre la Ribera,2021-01-31,3,122,0.98
22234,Torrente de Cinca,2021-01-31,22,147,0.85
22235,Torres de Alcanadre,2021-01-31,9,34,0.74
22236,Torres de Barbués,2021-01-31,8,86,0.91
22239,Tramaced,2021-01-31,0,73,1.00
22242,Valfarta,2021-01-31,6,41,0.85
22243,Valle de Bardají,2021-01-31,7,60,0.88
22244,Valle de Lierp,2021-01-31,4,148,0.97
22245,Velilla de Cinca,2021-01-31,11,53,0.79
22246,Beranuy,2021-01-31,6,165,0.96
22247,Viacamp y Litera,2021-01-31,4,195,0.98
22248,Vicién,2021-01-31,5,134,0.96
22249,Villanova,2021-01-31,5,71,0.93
22250,Villanúa,2021-01-31,27,390,0.93
22251,Villanueva de Sigena,2021-01-31,16,174,0.91
22252,Yebra de Basa,2021-01-31,4,421,0.99
22253,Yésero,2021-01-31,2,159,0.99
22254,Zaidín,2021-01-31,19,170,0.89
22901,Valle de Hecho,2021-01-31,17,637,0.97
22902,Puente la Reina de Jaca,2021-01-31,6,163,0.96
22903,San Miguel del Cinca,2021-01-31,31,168,0.82
22904,La Sotonera,2021-01-31,56,983,0.94
22905,Lupiñén-Ortilla,2021-01-31,19,355,0.95
22906,Santa María de Dulcis,2021-01-31,15,55,0.73
22907,Aínsa-Sobrarbe,2021-01-31,58,1157,0.95
22908,Hoz y Costeán,2021-01-31,6,49,0.88
22909,Vencillón,2021-01-31,22,54,0.59
44001,Ababuj,2021-01-31,3,29,0.90
