id,name,date,incomplete,total,percentage
31126,Imotz,2021-01-31,2,431,1.00
31127,Irañeta,2021-01-31,0,125,1.00
31128,Isaba/Izaba,2021-01-31,0,407,1.00
31129,Ituren,2021-01-31,0,636,1.00
31130,Iturmendi,2021-01-31,0,133,1.00
31131,Iza,2021-01-31,22,702,0.97
31132,Izagaondoa,2021-01-31,0,308,1.00
31133,Izalzu/Itzaltzu,2021-01-31,0,34,1.00
31134,Jaurrieta,2021-01-31,1,144,0.99
31135,Javier,2021-01-31,0,220,1.00
31136,Juslapeña,2021-01-31,0,376,1.00
31137,Beintza-Labaien,2021-01-31,0,545,1.00
31138,Lakuntza,2021-01-31,0,148,1.00
31139,Lana,2021-01-31,3,253,0.99
31140,Lantz,2021-01-31,0,130,1.00
31141,Lapoblación,2021-01-31,0,122,1.00
31142,Larraga,2021-01-31,10,262,0.96
31143,Larraona,2021-01-31,0,50,1.00
31144,Larraun,2021-01-31,0,1118,1.00
31145,Lazagurría,2021-01-31,0,52,1.00
31146,Leatxe/Leache,2021-01-31,0,24,1.00
31147,Legarda,2021-01-31,0,114,1.00
31148,Legaria,2021-01-31,5,50,0.90
31149,Leitza,2021-01-31,0,1337,1.00
31150,Leoz,2021-01-31,14,398,0.96
31151,Lerga,2021-01-31,0,72,1.00
31152,Lerín,2021-01-31,5,235,0.98
31153,Lesaka,2021-01-31,1,1370,1.00
31154,Lezaun,2021-01-31,1,132,0.99
31155,Liédena,2021-01-31,0,195,1.00
31156,Lizoáin-Arriasgoiti,2021-01-31,0,321,1.00
31157,Lodosa,2021-01-31,11,550,0.98
31158,Lónguida/Longida,2021-01-31,0,291,1.00
31159,Lumbier,2021-01-31,0,412,1.00
31160,Luquin,2021-01-31,1,75,0.99
31161,Mañeru,2021-01-31,3,127,0.98
31162,Marañón,2021-01-31,6,38,0.84
31163,Marcilla,2021-01-31,12,316,0.96
31164,Mélida,2021-01-31,21,136,0.85
31165,Mendavia,2021-01-31,15,391,0.96
31166,Mendaza,2021-01-31,0,180,1.00
31167,Mendigorria,2021-01-31,2,161,0.99
31168,Metauten,2021-01-31,2,244,0.99
31169,Milagro,2021-01-31,6,309,0.98
31170,Mirafuentes,2021-01-31,0,20,1.00
31171,Miranda de Arga,2021-01-31,1,172,0.99
31172,Monreal,2021-01-31,1,184,0.99
31173,Monteagudo,2021-01-31,5,74,0.93
31174,Morentin,2021-01-31,2,63,0.97
31175,Mues,2021-01-31,1,76,0.99
31176,Murchante,2021-01-31,21,198,0.89
31177,Murieta,2021-01-31,3,64,0.95
31178,Murillo el Cuende,2021-01-31,13,199,0.93
31179,Murillo el Fruto,2021-01-31,1,113,0.99
31180,Muruzábal,2021-01-31,0,89,1.00
31181,Navascués / Nabaskoze,2021-01-31,0,230,1.00
31182,Nazar,2021-01-31,0,46,1.00
31183,Obanos,2021-01-31,0,278,1.00
31184,Oco,2021-01-31,2,38,0.95
31185,Ochagavía/Otsagabia,2021-01-31,0,480,1.00
31186,Odieta,2021-01-31,1,240,1.00
31187,Oitz,2021-01-31,0,113,1.00
31188,Olaibar,2021-01-31,4,221,0.98
31189,Olazti / Olazagutía,2021-01-31,0,249,1.00
31190,Olejua,2021-01-31,0,22,1.00
31191,Olite/Erriberri,2021-01-31,16,471,0.97
31192,Olóriz,2021-01-31,6,232,0.97
31193,Olza,2021-01-31,13,770,0.98
31194,Valle de Ollo/Ollaran,2021-01-31,3,376,0.99
31195,Orbaizeta,2021-01-31,0,423,1.00
31196,Orbara,2021-01-31,0,71,1.00
31197,Orísoain,2021-01-31,6,57,0.89
31198,Oronz,2021-01-31,0,28,1.00
31199,Oroz-Betelu / Orotz-Betelu,2021-01-31,1,112,0.99
31200,Oteiza,2021-01-31,4,134,0.97
31201,Pamplona/Iruña,2021-01-31,43,7989,0.99
31202,Peralta,2021-01-31,34,640,0.95
31203,Petilla de Aragón,2021-01-31,0,75,1.00
31204,Piedramillera,2021-01-31,1,54,0.98
31205,Pitillas,2021-01-31,0,149,1.00
31206,Puente la Reina/Gares,2021-01-31,0,367,1.00
31207,Pueyo / Puiu,2021-01-31,0,155,1.00
31208,Ribaforada,2021-01-31,26,386,0.93
31209,Romanzado,2021-01-31,0,290,1.00
31210,Roncal/Erronkari,2021-01-31,0,58,1.00
31211,Orreaga/Roncesvalles,2021-01-31,0,130,1.00
31212,Sada,2021-01-31,0,65,1.00
31213,Saldias,2021-01-31,0,269,1.00
31214,Salinas de Oro,2021-01-31,5,114,0.96
31215,San Adrián,2021-01-31,8,375,0.98
31216,Sangüesa/Zangoza,2021-01-31,0,702,1.00
31217,San Martín de Unx,2021-01-31,3,235,0.99
31219,Sansol,2021-01-31,1,74,0.99
31220,Santacara,2021-01-31,4,123,0.97
31221,Doneztebe/Santesteban,2021-01-31,0,273,1.00
31222,Sarriés/Sartze,2021-01-31,0,56,1.00
31223,Sartaguda,2021-01-31,15,217,0.93
31224,Sesma,2021-01-31,3,160,0.98
31225,Sorlada,2021-01-31,3,49,0.94
31226,Sunbilla,2021-01-31,2,494,1.00
31227,Tafalla,2021-01-31,11,773,0.99
31228,Tiebas-Muruarte de Reta,2021-01-31,0,242,1.00
31229,Tirapu,2021-01-31,0,36,1.00
31230,Torralba del Río,2021-01-31,4,112,0.96
31231,Torres del Río,2021-01-31,1,75,0.99
31232,Tudela,2021-01-31,107,2176,0.95
31233,Tulebras,2021-01-31,0,30,1.00
31234,Ucar,2021-01-31,0,87,1.00
31235,Ujué / Uxue,2021-01-31,8,236,0.97
31236,Ultzama,2021-01-31,4,1023,1.00
31237,Unciti,2021-01-31,0,293,1.00
31238,Unzué,2021-01-31,1,95,0.99
31239,Urdazubi/Urdax,2021-01-31,0,460,1.00
31240,Urdiain,2021-01-31,0,154,1.00
31241,Urraul Alto,2021-01-31,0,311,1.00
31242,Urraul Bajo,2021-01-31,1,230,1.00
31243,Urroz,2021-01-31,0,119,1.00
31244,Urrotz,2021-01-31,0,204,1.00
31245,Urzainqui,2021-01-31,0,34,1.00
31246,Uterga,2021-01-31,0,68,1.00
31247,Uztárroz/Uztarroze,2021-01-31,0,113,1.00
31248,Luzaide/Valcarlos,2021-01-31,0,176,1.00
31249,Valtierra,2021-01-31,6,545,0.99
31250,Bera,2021-01-31,0,1077,1.00
31251,Viana,2021-01-31,4,862,1.00
31252,Vidángoz/Bidankoze,2021-01-31,0,147,1.00
31253,Bidaurreta,2021-01-31,0,73,1.00
31254,Villafranca,2021-01-31,6,306,0.98
31255,Villamayor de Monjardín,2021-01-31,2,122,0.98
31256,Hiriberri/Villanueva de Aezkoa,2021-01-31,0,109,1.00
31257,Villatuerta,2021-01-31,4,393,0.99
31258,Villava/Atarrabia,2021-01-31,0,636,1.00
31259,Igantzi,2021-01-31,0,536,1.00
31260,Valle de Yerri / Deierri,2021-01-31,11,863,0.99
31261,Yesa,2021-01-31,0,234,1.00
31262,Zabalza,2021-01-31,0,138,1.00
31263,Zubieta,2021-01-31,0,673,1.00
31264,Zugarramurdi,2021-01-31,1,217,1.00
31265,Zúñiga,2021-01-31,3,136,0.98
31901,Barañáin/Barañain,2021-01-31,0,910,1.00
31902,Berrioplano,2021-01-31,4,934,1.00
31903,Berriozar,2021-01-31,0,218,1.00
31904,Irurtzun,2021-01-31,0,148,1.00
31905,Beriáin,2021-01-31,0,251,1.00
31906,Orcoyen,2021-01-31,0,306,1.00
31907,Zizur Mayor/Zizur Nagusia,2021-01-31,0,1001,1.00
31908,Lekunberri,2021-01-31,0,355,1.00
,Andia,2021-01-31,0,128,1.00
,Aralar mendilerroa / Sierra de Aralar,2021-01-31,0,338,1.00
,Bardenas Reales de Navarra,2021-01-31,0,955,1.00
,Facería 104,2021-01-31,0,5,1.00
,Facería 18,2021-01-31,0,10,1.00
,Facería 21,2021-01-31,0,1,1.00
,Facería 22,2021-01-31,0,28,1.00
,Facería 24,2021-01-31,0,15,1.00
,Facería 26,2021-01-31,0,12,1.00
,Facería 28,2021-01-31,0,1,1.00
,Facería 29,2021-01-31,0,8,1.00
,Facería 30,2021-01-31,0,2,1.00
,Facería 31,2021-01-31,0,1,1.00
,Facería 37,2021-01-31,0,1,1.00
,Facería 39,2021-01-31,0,2,1.00
,Facería 40,2021-01-31,0,6,1.00
,Facería 43,2021-01-31,0,1,1.00
,Facería 45,2021-01-31,0,1,1.00
,Facería 49,2021-01-31,0,8,1.00
,Facería 55,2021-01-31,0,6,1.00
,Facería 56,2021-01-31,0,4,1.00
,Facería 62,2021-01-31,0,2,1.00
,Facería 67,2021-01-31,0,2,1.00
,Facería 76,2021-01-31,0,1,1.00
,Facería 79,2021-01-31,0,3,1.00
,Facería 81,2021-01-31,0,1,1.00
,Facería 82,2021-01-31,0,3,1.00
,Facería 83,2021-01-31,0,4,1.00
,Facería 85,2021-01-31,0,6,1.00
,Facería 87,2021-01-31,0,108,1.00
,Facería 88,2021-01-31,0,2,1.00
,Facería 9,2021-01-31,0,25,1.00
,Facería 91,2021-01-31,0,11,1.00
,Lokiz mendilerroa / Sierra de Lóquiz,2021-01-31,0,144,1.00
,Monte Común de las Améscoas/Ameskoa mendiak,2021-01-31,0,146,1.00
,Urbasa,2021-01-31,0,412,1.00
