id,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
39076,Santillana del Mar,2021-01-01,165,241,0.32,27146.71,34877.20,0.22
39077,Santiurde de Reinosa,2021-01-01,24,58,0.59,2336.26,7539.43,0.69
39078,Santiurde de Toranzo,2021-01-01,83,125,0.34,13367.67,19792.55,0.32
39079,Santoña,2021-01-01,0,200,1.00,0.00,28271.80,1.00
39080,San Vicente de la Barquera,2021-01-01,21,186,0.89,2563.41,20915.54,0.88
39081,Saro,2021-01-01,0,41,1.00,0.00,3397.07,1.00
39082,Selaya,2021-01-01,7,105,0.93,1102.77,9898.33,0.89
39083,Soba,2021-01-01,22,274,0.92,2694.44,26499.68,0.90
39084,Solórzano,2021-01-01,4,70,0.94,448.95,9105.95,0.95
39085,Suances,2021-01-01,120,389,0.69,14281.03,63959.80,0.78
39086,Los Tojos,2021-01-01,42,53,0.21,2978.37,3772.41,0.21
39087,Torrelavega,2021-01-01,1,1552,1.00,4.65,136269.51,1.00
39088,Tresviso,2021-01-01,0,11,1.00,0.00,1108.99,1.00
39089,Tudanca,2021-01-01,52,53,0.02,4958.53,5308.68,0.07
39090,Udías,2021-01-01,17,41,0.59,2560.09,5670.20,0.55
39091,Valdáliga,2021-01-01,184,233,0.21,21164.71,29029.56,0.27
39092,Valdeolea,2021-01-01,46,165,0.72,5330.62,18740.40,0.72
39093,Valdeprado del Río,2021-01-01,52,85,0.39,4302.33,7963.24,0.46
39094,Valderredible,2021-01-01,0,468,1.00,0.00,39555.95,1.00
39095,Val de San Vicente,2021-01-01,125,237,0.47,14217.72,28910.62,0.51
39096,Vega de Liébana,2021-01-01,44,217,0.80,4661.51,18825.90,0.75
39097,Vega de Pas,2021-01-01,0,33,1.00,0.00,4534.36,1.00
39098,Villacarriedo,2021-01-01,0,151,1.00,0.00,19746.24,1.00
39099,Villaescusa,2021-01-01,144,203,0.29,20949.04,31058.31,0.33
39100,Villafufre,2021-01-01,36,79,0.54,7558.15,15840.63,0.52
39101,Valle de Villaverde,2021-01-01,23,29,0.21,4224.95,5890.89,0.28
39102,Voto,2021-01-01,62,125,0.50,12282.44,22671.08,0.46
-340042,Campoo-Cabuérniga,2021-01-01,0,0,0,0.00,0.00,0
