id,name,date,incomplete,total,percentage
08126,Montgat,2021-01-31,7,454,0.98
08127,Monistrol de Montserrat,2021-01-31,20,652,0.97
08128,Monistrol de Calders,2021-01-31,4,435,0.99
08129,Muntanyola,2021-01-31,0,202,1.00
08130,Montclar,2021-01-31,0,173,1.00
08131,Montesquiu,2021-01-31,0,160,1.00
08132,Montmajor,2021-01-31,1,674,1.00
08133,Montmaneu,2021-01-31,0,178,1.00
08134,Figaró-Montmany,2021-01-31,2,210,0.99
08135,Montmeló,2021-01-31,26,380,0.93
08136,Montornès del Vallès,2021-01-31,24,840,0.97
08137,Montseny,2021-01-31,0,236,1.00
08138,Moià,2021-01-31,15,933,0.98
08139,Mura,2021-01-31,7,1251,0.99
08140,Navarcles,2021-01-31,4,422,0.99
08141,Navàs,2021-01-31,0,1044,1.00
08142,la Nou de Berguedà,2021-01-31,1,428,1.00
08143,Òdena,2021-01-31,1,820,1.00
08144,Olvan,2021-01-31,0,507,1.00
08145,Olèrdola,2021-01-31,4,935,1.00
08146,Olesa de Bonesvalls,2021-01-31,1,492,1.00
08147,Olesa de Montserrat,2021-01-31,25,797,0.97
08148,Olivella,2021-01-31,0,703,1.00
08149,Olost,2021-01-31,4,276,0.99
08150,Orís,2021-01-31,1,331,1.00
08151,Oristà,2021-01-31,0,585,1.00
08152,Orpí,2021-01-31,4,182,0.98
08153,Òrrius,2021-01-31,7,244,0.97
08154,Pacs del Penedès,2021-01-31,1,168,0.99
08155,Palafolls,2021-01-31,3,670,1.00
08156,Palau-solità i Plegamans,2021-01-31,14,803,0.98
08157,Pallejà,2021-01-31,37,829,0.96
08158,el Papiol,2021-01-31,1,616,1.00
08159,Parets del Vallès,2021-01-31,27,732,0.96
08160,Perafita,2021-01-31,0,132,1.00
08161,Piera,2021-01-31,8,1298,0.99
08162,els Hostalets de Pierola,2021-01-31,5,389,0.99
08163,Pineda de Mar,2021-01-31,29,1053,0.97
08164,el Pla del Penedès,2021-01-31,0,167,1.00
08165,la Pobla de Claramunt,2021-01-31,0,460,1.00
08166,la Pobla de Lillet,2021-01-31,7,643,0.99
08167,Polinyà,2021-01-31,18,298,0.94
08168,Pontons,2021-01-31,0,416,1.00
08169,el Prat de Llobregat,2021-01-31,7,4484,1.00
08170,els Prats de Rei,2021-01-31,0,268,1.00
08171,Prats de Lluçanès,2021-01-31,8,311,0.97
08172,Premià de Mar,2021-01-31,10,521,0.98
08174,Puigdàlber,2021-01-31,2,35,0.94
08175,Puig-reig,2021-01-31,19,1193,0.98
08176,Pujalt,2021-01-31,3,241,0.99
08177,la Quar,2021-01-31,0,423,1.00
08178,Rajadell,2021-01-31,3,775,1.00
08179,Rellinars,2021-01-31,5,513,0.99
08180,Ripollet,2021-01-31,36,1019,0.96
08181,la Roca del Vallès,2021-01-31,19,1534,0.99
08182,el Pont de Vilomara i Rocafort,2021-01-31,3,621,1.00
08183,Roda de Ter,2021-01-31,7,237,0.97
08184,Rubí,2021-01-31,44,3260,0.99
08185,Rubió,2021-01-31,3,300,0.99
