id,ES-TF,ES-CN,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
38049,ES-TF,ES-CN,Valle Gran Rey,2021-01-01,25,135,0.81,2695.59,18577.17,0.85
38017,ES-TF,ES-CN,Granadilla de Abona,2021-01-01,325,1067,0.70,41077.52,159891.01,0.74
38030,ES-TF,ES-CN,Puntallana,2021-01-01,56,85,0.34,7277.76,12995.65,0.44
38014,ES-TF,ES-CN,Fuencaliente de la Palma,2021-01-01,66,121,0.45,6144.23,15160.79,0.59
38046,ES-TF,ES-CN,Tegueste,2021-01-01,63,278,0.77,4803.85,43188.33,0.89
38051,ES-TF,ES-CN,La Victoria de Acentejo,2021-01-01,18,101,0.82,1656.34,25075.66,0.93
38053,ES-TF,ES-CN,Villa de Mazo,2021-01-01,109,139,0.22,21804.09,28652.39,0.24
38031,ES-TF,ES-CN,Los Realejos,2021-01-01,198,675,0.71,27746.68,100256.43,0.72
38001,ES-TF,ES-CN,Adeje,2021-01-01,473,1159,0.59,44422.97,155050.01,0.71
38045,ES-TF,ES-CN,Tazacorte,2021-01-01,40,105,0.62,3027.23,9485.19,0.68
38036,ES-TF,ES-CN,San Sebastián de la Gomera,2021-01-01,119,206,0.42,19180.82,32346.71,0.41
38035,ES-TF,ES-CN,San Miguel de Abona,2021-01-01,238,485,0.51,36839.19,91963.68,0.60
38028,ES-TF,ES-CN,Puerto de la Cruz,2021-01-01,110,678,0.84,7150.41,73601.28,0.90
38034,ES-TF,ES-CN,San Juan de la Rambla,2021-01-01,50,149,0.66,7440.92,22131.02,0.66
38003,ES-TF,ES-CN,Alajeró,2021-01-01,107,132,0.19,11389.89,15546.49,0.27
38050,ES-TF,ES-CN,Vallehermoso,2021-01-01,74,87,0.15,15148.27,19577.85,0.23
38009,ES-TF,ES-CN,Breña Baja,2021-01-01,56,157,0.64,8124.20,30771.98,0.74
38011,ES-TF,ES-CN,Candelaria,2021-01-01,155,522,0.70,18103.29,72400.92,0.75
38008,ES-TF,ES-CN,Breña Alta,2021-01-01,113,252,0.55,15142.09,41578.51,0.64
38023,ES-TF,ES-CN,San Cristóbal de La Laguna,2021-01-01,637,2977,0.79,57908.03,403202.02,0.86
38006,ES-TF,ES-CN,Arona,2021-01-01,497,1687,0.71,54548.99,226136.25,0.76
38004,ES-TF,ES-CN,Arafo,2021-01-01,55,209,0.74,5496.61,28351.14,0.81
