id,name,date,incomplete,total,percentage
47094,Moral de la Reina,2021-01-31,1,107,0.99
47095,Moraleja de las Panaderas,2021-01-31,6,54,0.89
47096,Morales de Campos,2021-01-31,0,66,1.00
47097,Mota del Marqués,2021-01-31,3,190,0.98
47098,Mucientes,2021-01-31,2,273,0.99
47099,La Mudarra,2021-01-31,0,124,1.00
47100,Muriel,2021-01-31,3,85,0.96
47101,Nava del Rey,2021-01-31,14,396,0.96
47102,Nueva Villa de las Torres,2021-01-31,1,52,0.98
47103,Olivares de Duero,2021-01-31,10,156,0.94
47104,Olmedo,2021-01-31,37,625,0.94
47105,Olmos de Esgueva,2021-01-31,1,80,0.99
47106,Olmos de Peñafiel,2021-01-31,6,50,0.88
47109,Palazuelo de Vedija,2021-01-31,0,81,1.00
47110,La Parrilla,2021-01-31,5,130,0.96
47111,La Pedraja de Portillo,2021-01-31,20,379,0.95
47112,Pedrajas de San Esteban,2021-01-31,3,206,0.99
47113,Pedrosa del Rey,2021-01-31,0,164,1.00
47114,Peñafiel,2021-01-31,58,820,0.93
47115,Peñaflor de Hornija,2021-01-31,0,242,1.00
47116,Pesquera de Duero,2021-01-31,17,304,0.94
47117,Piña de Esgueva,2021-01-31,4,166,0.98
47118,Piñel de Abajo,2021-01-31,1,183,0.99
47119,Piñel de Arriba,2021-01-31,6,111,0.95
47121,Pollos,2021-01-31,8,176,0.95
47122,Portillo,2021-01-31,6,1038,0.99
47123,Pozal de Gallinas,2021-01-31,28,166,0.83
47124,Pozaldez,2021-01-31,11,123,0.91
47125,Pozuelo de la Orden,2021-01-31,0,46,1.00
47126,Puras,2021-01-31,0,21,1.00
47127,Quintanilla de Arriba,2021-01-31,7,118,0.94
47128,Quintanilla del Molar,2021-01-31,0,36,1.00
47129,Quintanilla de Onésimo,2021-01-31,22,266,0.92
47130,Quintanilla de Trigueros,2021-01-31,0,44,1.00
47131,Rábano,2021-01-31,6,110,0.95
47132,Ramiro,2021-01-31,3,35,0.91
47133,Renedo de Esgueva,2021-01-31,21,231,0.91
47134,Roales de Campos,2021-01-31,0,62,1.00
47135,Robladillo,2021-01-31,0,28,1.00
47137,Roturas,2021-01-31,0,47,1.00
47138,Rubí de Bracamonte,2021-01-31,1,51,0.98
47139,Rueda,2021-01-31,62,444,0.86
47140,Saelices de Mayorga,2021-01-31,0,52,1.00
47141,Salvador de Zapardiel,2021-01-31,12,90,0.87
47142,San Cebrián de Mazote,2021-01-31,0,86,1.00
47143,San Llorente,2021-01-31,5,92,0.95
47144,San Martín de Valvení,2021-01-31,9,133,0.93
47145,San Miguel del Arroyo,2021-01-31,20,289,0.93
47146,San Miguel del Pino,2021-01-31,0,75,1.00
47147,San Pablo de la Moraleja,2021-01-31,6,108,0.94
47148,San Pedro de Latarce,2021-01-31,0,110,1.00
47149,San Pelayo,2021-01-31,0,34,1.00
47150,San Román de Hornija,2021-01-31,0,135,1.00
47151,San Salvador,2021-01-31,0,33,1.00
47152,Santa Eufemia del Arroyo,2021-01-31,0,78,1.00
47153,Santervás de Campos,2021-01-31,0,183,1.00
47154,Santibáñez de Valcorba,2021-01-31,5,79,0.94
47155,Santovenia de Pisuerga,2021-01-31,29,353,0.92
47156,San Vicente del Palacio,2021-01-31,8,126,0.94
47157,Sardón de Duero,2021-01-31,28,157,0.82
47158,La Seca,2021-01-31,23,211,0.89
47159,Serrada,2021-01-31,11,155,0.93
47160,Siete Iglesias de Trabancos,2021-01-31,5,246,0.98
47161,Simancas,2021-01-31,43,749,0.94
47162,Tamariz de Campos,2021-01-31,0,108,1.00
47163,Tiedra,2021-01-31,1,192,0.99
47164,Tordehumos,2021-01-31,1,81,0.99
47165,Tordesillas,2021-01-31,6,1299,1.00
47166,Torrecilla de la Abadesa,2021-01-31,0,103,1.00
47167,Torrecilla de la Orden,2021-01-31,25,113,0.78
47168,Torrecilla de la Torre,2021-01-31,0,15,1.00
47169,Torre de Esgueva,2021-01-31,14,142,0.90
47170,Torre de Peñafiel,2021-01-31,7,77,0.91
47171,Torrelobatón,2021-01-31,0,145,1.00
47172,Torrescárcela,2021-01-31,2,46,0.96
47173,Traspinedo,2021-01-31,45,225,0.80
47174,Trigueros del Valle,2021-01-31,0,158,1.00
47175,Tudela de Duero,2021-01-31,85,780,0.89
47176,La Unión de Campos,2021-01-31,0,64,1.00
47177,Urones de Castroponce,2021-01-31,0,40,1.00
47178,Urueña,2021-01-31,0,141,1.00
47179,Valbuena de Duero,2021-01-31,19,282,0.93
47180,Valdearcos de la Vega,2021-01-31,2,39,0.95
47181,Valdenebro de los Valles,2021-01-31,0,116,1.00
47182,Valdestillas,2021-01-31,24,277,0.91
47183,Valdunquillo,2021-01-31,0,95,1.00
47184,Valoria la Buena,2021-01-31,0,265,1.00
47185,Valverde de Campos,2021-01-31,0,72,1.00
47186,Valladolid,2021-01-31,358,11790,0.97
47187,Vega de Ruiponce,2021-01-31,0,49,1.00
47188,Vega de Valdetronco,2021-01-31,0,82,1.00
47189,Velascálvaro,2021-01-31,1,31,0.97
47190,Velilla,2021-01-31,0,115,1.00
47191,Velliza,2021-01-31,0,110,1.00
47192,Ventosa de la Cuesta,2021-01-31,11,62,0.82
47193,Viana de Cega,2021-01-31,32,320,0.90
47194,Viloria,2021-01-31,6,91,0.93
47195,Villabáñez,2021-01-31,9,141,0.94
47196,Villabaruz de Campos,2021-01-31,0,37,1.00
47197,Villabrágima,2021-01-31,0,139,1.00
47198,Villacarralón,2021-01-31,0,68,1.00
47199,Villacid de Campos,2021-01-31,0,56,1.00
47200,Villaco,2021-01-31,19,91,0.79
47203,Villafrades de Campos,2021-01-31,0,52,1.00
47204,Villafranca de Duero,2021-01-31,8,97,0.92
47205,Villafrechós,2021-01-31,0,116,1.00
47206,Villafuerte,2021-01-31,18,97,0.81
47207,Villagarcía de Campos,2021-01-31,0,113,1.00
47208,Villagómez la Nueva,2021-01-31,0,63,1.00
47209,Villalán de Campos,2021-01-31,0,39,1.00
47210,Villalar de los Comuneros,2021-01-31,0,117,1.00
47211,Villalba de la Loma,2021-01-31,0,42,1.00
47212,Villalba de los Alcores,2021-01-31,0,252,1.00
47213,Villalbarba,2021-01-31,0,57,1.00
47214,Villalón de Campos,2021-01-31,0,245,1.00
47215,Villamuriel de Campos,2021-01-31,0,45,1.00
47216,Villán de Tordesillas,2021-01-31,0,60,1.00
47217,Villanubla,2021-01-31,0,391,1.00
47218,Villanueva de Duero,2021-01-31,35,266,0.87
47219,Villanueva de la Condesa,2021-01-31,0,31,1.00
47220,Villanueva de los Caballeros,2021-01-31,0,125,1.00
47221,Villanueva de los Infantes,2021-01-31,1,74,0.99
47222,Villanueva de San Mancio,2021-01-31,0,47,1.00
47223,Villardefrades,2021-01-31,0,220,1.00
47224,Villarmentero de Esgueva,2021-01-31,2,38,0.95
47225,Villasexmir,2021-01-31,0,39,1.00
47226,Villavaquerín,2021-01-31,2,96,0.98
47227,Villavellid,2021-01-31,0,69,1.00
47228,Villaverde de Medina,2021-01-31,9,161,0.94
47229,Villavicencio de los Caballeros,2021-01-31,0,94,1.00
47230,Wamba,2021-01-31,2,93,0.98
47231,Zaratán,2021-01-31,3,476,0.99
47232,La Zarza,2021-01-31,13,60,0.78
