id,name,date,incomplete,total,percentage,length_total,length_incomplete,length_percentage
08083,Folgueroles,2021-02-03,2,83,0.98,10554.59,115.88,0.99
08084,Fonollosa,2021-02-03,2,98,0.98,16820.16,187.12,0.99
08085,Font-rubí,2021-02-03,0,47,1.00,8349.94,0.00,1.00
08086,les Franqueses del Vallès,2021-02-03,31,343,0.91,62901.81,1719.17,0.97
08087,Gallifa,2021-02-03,5,22,0.77,4138.07,305.34,0.93
08088,la Garriga,2021-02-03,76,362,0.79,62146.14,3399.55,0.95
08089,Gavà,2021-02-03,17,459,0.96,75678.80,541.69,0.99
08090,Gaià,2021-02-03,0,5,1.00,562.01,0.00,1.00
08091,Gelida,2021-02-03,0,192,1.00,31897.23,0.00,1.00
08092,Gironella,2021-02-03,10,144,0.93,18430.74,559.58,0.97
08093,Gisclareny,2021-02-03,0,1,1.00,82.86,0.00,1.00
08094,la Granada,2021-02-03,1,82,0.99,10992.35,29.50,1.00
08095,Granera,2021-02-03,0,11,1.00,1464.66,0.00,1.00
08096,Granollers,2021-02-03,67,677,0.90,101539.38,5686.59,0.94
08097,Gualba,2021-02-03,1,54,0.98,9617.73,54.56,0.99
08098,Sant Salvador de Guardiola,2021-02-03,4,128,0.97,43963.62,126.09,1.00
08099,Guardiola de Berguedà,2021-02-03,0,26,1.00,3088.61,0.00,1.00
08100,Gurb,2021-02-03,7,137,0.95,26493.58,430.44,0.98
08101,l'Hospitalet de Llobregat,2021-02-03,6,940,0.99,118152.08,292.51,1.00
08103,Jorba,2021-02-03,1,53,0.98,7814.45,20.29,1.00
08104,la Llacuna,2021-02-03,0,109,1.00,12579.98,0.00,1.00
08105,la Llagosta,2021-02-03,6,110,0.95,17493.13,577.16,0.97
08106,Llinars del Vallès,2021-02-03,41,297,0.86,63325.63,3980.92,0.94
08107,Lliçà d'Amunt,2021-02-03,24,341,0.93,95824.52,2279.61,0.98
08108,Lliçà de Vall,2021-02-03,48,224,0.79,61564.82,4523.21,0.93
