id,name,date,incomplete,total,percentage,length_total,length_incomplete,length_percentage
04089,Taberno,2021-02-03,20,115,0.83,9065.90,1112.28,0.88
04090,Tahal,2021-02-03,4,81,0.95,6202.17,108.25,0.98
04091,Terque,2021-02-03,17,61,0.72,5264.54,634.52,0.88
04092,Tíjola,2021-02-03,17,228,0.93,22728.75,1120.35,0.95
04093,Turre,2021-02-03,40,150,0.73,20905.69,4014.99,0.81
04094,Turrillas,2021-02-03,6,47,0.87,2601.19,282.04,0.89
04095,Uleila del Campo,2021-02-03,11,100,0.89,8587.88,661.00,0.92
04096,Urrácal,2021-02-03,9,43,0.79,3000.10,399.06,0.87
04097,Velefique,2021-02-03,7,77,0.91,5646.40,644.57,0.89
04098,Vélez-Blanco,2021-02-03,27,166,0.84,17239.87,2433.82,0.86
04099,Vélez-Rubio,2021-02-03,56,420,0.87,37666.72,2516.25,0.93
04100,Vera,2021-02-03,648,1177,0.45,164347.93,58358.08,0.64
04101,Viator,2021-02-03,18,205,0.91,29802.73,2261.98,0.92
04102,Vícar,2021-02-03,69,515,0.87,84241.73,4502.47,0.95
04103,Zurgena,2021-02-03,78,316,0.75,43920.50,8268.37,0.81
04901,Las Tres Villas,2021-02-03,10,65,0.85,5424.05,1293.93,0.76
04902,El Ejido,2021-02-03,241,2013,0.88,313123.52,16971.84,0.95
04903,La Mojonera,2021-02-03,14,244,0.94,34284.10,1606.89,0.95
04904,Balanegra,2021-02-03,2,68,0.97,11607.23,410.48,0.96
11001,Alcalá de los Gazules,2021-02-03,21,127,0.83,13683.50,2411.01,0.82
11002,Alcalá del Valle,2021-02-03,76,84,0.10,13931.65,12861.42,0.08
11003,Algar,2021-02-03,7,67,0.90,5806.20,220.73,0.96
11004,Algeciras,2021-02-03,1030,1929,0.47,259558.21,105341.76,0.59
11005,Algodonales,2021-02-03,42,108,0.61,17589.91,5729.77,0.67
11006,Arcos de la Frontera,2021-02-03,403,749,0.46,113664.27,61465.94,0.46
11007,Barbate,2021-02-03,368,621,0.41,98823.77,52618.87,0.47
11008,Los Barrios,2021-02-03,323,547,0.41,83950.15,49966.22,0.40
11009,Benaocaz,2021-02-03,19,76,0.75,6118.35,1527.15,0.75
11010,Bornos,2021-02-03,27,214,0.87,27099.10,2154.59,0.92
11011,El Bosque,2021-02-03,40,97,0.59,13781.65,4772.61,0.65
11012,Cádiz,2021-02-03,201,1006,0.80,102132.37,12493.21,0.88
11013,Castellar de la Frontera,2021-02-03,35,131,0.73,17916.44,4561.99,0.75
11014,Conil de la Frontera,2021-02-03,413,875,0.53,155397.91,81646.27,0.47
11015,Chiclana de la Frontera,2021-02-03,1207,2642,0.54,499221.93,213690.37,0.57
11016,Chipiona,2021-02-03,272,606,0.55,103393.33,42149.92,0.59
11017,Espera,2021-02-03,79,87,0.09,15600.53,14626.72,0.06
11018,El Gastor,2021-02-03,25,64,0.61,11415.33,7080.55,0.38
11019,Grazalema,2021-02-03,44,106,0.58,13101.24,3465.64,0.74
11020,Jerez de la Frontera,2021-02-03,634,3732,0.83,526027.28,82980.32,0.84
11021,Jimena de la Frontera,2021-02-03,44,151,0.71,24474.17,6356.09,0.74
11022,La Línea de la Concepción,2021-02-03,513,951,0.46,133650.08,69205.21,0.48
11023,Medina Sidonia,2021-02-03,164,308,0.47,48498.81,23784.40,0.51
11024,Olvera,2021-02-03,31,219,0.86,25909.55,2306.53,0.91
11025,Paterna de Rivera,2021-02-03,24,232,0.90,24891.80,1184.41,0.95
11026,Prado del Rey,2021-02-03,34,159,0.79,21144.15,2472.47,0.88
11027,El Puerto de Santa María,2021-02-03,665,1807,0.63,368621.75,126349.88,0.66
11028,Puerto Real,2021-02-03,466,909,0.49,146899.00,56011.15,0.62
11029,Puerto Serrano,2021-02-03,9,220,0.96,29912.04,518.07,0.98
11030,Rota,2021-02-03,330,807,0.59,113452.32,40354.22,0.64
11031,San Fernando,2021-02-03,448,939,0.52,126709.80,45099.97,0.64
11032,Sanlúcar de Barrameda,2021-02-03,619,1224,0.49,228400.47,110164.30,0.52
11033,San Roque,2021-02-03,439,988,0.56,183432.06,76341.93,0.58
11034,Setenil de las Bodegas,2021-02-03,36,103,0.65,13488.66,3695.45,0.73
11035,Tarifa,2021-02-03,513,802,0.36,126780.04,86808.09,0.32
11036,Torre Alháquime,2021-02-03,33,33,0.00,4735.70,4735.70,0.00
11037,Trebujena,2021-02-03,109,173,0.37,27478.97,16454.24,0.40
11038,Ubrique,2021-02-03,149,375,0.60,39643.62,17846.50,0.55
11039,Vejer de la Frontera,2021-02-03,288,427,0.33,75608.94,50641.05,0.33
11040,Villaluenga del Rosario,2021-02-03,36,36,0.00,4207.24,4207.24,0.00
11041,Villamartín,2021-02-03,82,295,0.72,51991.74,11357.22,0.78
11042,Zahara,2021-02-03,19,63,0.70,7678.18,2297.19,0.70
11901,Benalup-Casas Viejas,2021-02-03,84,191,0.56,30598.97,11121.31,0.64
11902,San José del Valle,2021-02-03,24,138,0.83,20182.92,4294.18,0.79
14001,Adamuz,2021-02-03,15,134,0.89,17592.78,1018.79,0.94
