id,ES-M,ES-MD,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
28062,ES-M,ES-MD,Garganta de los Montes,2021-02-13,39,92,0.58,3628.73,9812.94,0.63
28063,ES-M,ES-MD,Gargantilla del Lozoya y Pinilla de Buitrago,2021-02-13,30,83,0.64,3925.71,11837.44,0.67
28064,ES-M,ES-MD,Gascones,2021-02-13,10,27,0.63,702.72,2671.27,0.74
28065,ES-M,ES-MD,Getafe,2021-02-13,428,2002,0.79,36021.63,291998.81,0.88
28066,ES-M,ES-MD,Griñón,2021-02-13,11,339,0.97,812.08,56455.85,0.99
28067,ES-M,ES-MD,Guadalix de la Sierra,2021-02-13,42,216,0.81,2655.92,37132.56,0.93
28068,ES-M,ES-MD,Guadarrama,2021-02-13,66,559,0.88,4022.61,87364.75,0.95
28069,ES-M,ES-MD,La Hiruela,2021-02-13,6,16,0.63,264.97,1525.37,0.83
28070,ES-M,ES-MD,Horcajo de la Sierra-Aoslos,2021-02-13,7,27,0.74,277.63,1904.81,0.85
28071,ES-M,ES-MD,Horcajuelo de la Sierra,2021-02-13,10,19,0.47,671.15,1941.28,0.65
28072,ES-M,ES-MD,Hoyo de Manzanares,2021-02-13,0,332,1.00,0.00,52962.49,1.00
28073,ES-M,ES-MD,Humanes de Madrid,2021-02-13,29,213,0.86,1807.54,29440.27,0.94
28074,ES-M,ES-MD,Leganés,2021-02-13,268,1636,0.84,16550.20,219334.43,0.92
28075,ES-M,ES-MD,Loeches,2021-02-13,66,314,0.79,6341.12,42566.74,0.85
28076,ES-M,ES-MD,Lozoya,2021-02-13,18,58,0.69,1203.57,7858.27,0.85
28078,ES-M,ES-MD,Madarcos,2021-02-13,6,19,0.68,306.41,1773.83,0.83
28079,ES-M,ES-MD,Madrid,2021-02-13,603,19907,0.97,52414.51,2843339.40,0.98
28080,ES-M,ES-MD,Majadahonda,2021-02-13,27,1032,0.97,1601.14,153495.88,0.99
28082,ES-M,ES-MD,Manzanares el Real,2021-02-13,13,406,0.97,854.90,61793.85,0.99
28083,ES-M,ES-MD,Meco,2021-02-13,68,398,0.83,4848.92,64549.21,0.92
28084,ES-M,ES-MD,Mejorada del Campo,2021-02-13,40,333,0.88,5438.05,64969.82,0.92
28085,ES-M,ES-MD,Miraflores de la Sierra,2021-02-13,39,403,0.90,4673.13,54376.54,0.91
28086,ES-M,ES-MD,El Molar,2021-02-13,46,185,0.75,5314.57,30101.40,0.82
28087,ES-M,ES-MD,Los Molinos,2021-02-13,59,295,0.80,5946.10,49553.13,0.88
28088,ES-M,ES-MD,Montejo de la Sierra,2021-02-13,9,23,0.61,663.79,2377.81,0.72
28089,ES-M,ES-MD,Moraleja de Enmedio,2021-02-13,7,115,0.94,368.86,19367.03,0.98
28090,ES-M,ES-MD,Moralzarzal,2021-02-13,31,511,0.94,3232.87,76176.17,0.96
28091,ES-M,ES-MD,Morata de Tajuña,2021-02-13,31,231,0.87,2870.79,27759.21,0.90
28092,ES-M,ES-MD,Móstoles,2021-02-13,226,1205,0.81,19220.90,196134.45,0.90
28093,ES-M,ES-MD,Navacerrada,2021-02-13,32,183,0.83,2900.95,23987.98,0.88
28094,ES-M,ES-MD,Navalafuente,2021-02-13,20,91,0.78,1803.33,16653.67,0.89
28095,ES-M,ES-MD,Navalagamella,2021-02-13,16,129,0.88,1441.29,12727.51,0.89
28096,ES-M,ES-MD,Navalcarnero,2021-02-13,129,524,0.75,14986.19,97678.27,0.85
28097,ES-M,ES-MD,Navarredonda y San Mamés,2021-02-13,12,46,0.74,828.30,3392.59,0.76
28099,ES-M,ES-MD,Navas del Rey,2021-02-13,53,193,0.73,8603.09,25823.37,0.67
28100,ES-M,ES-MD,Nuevo Baztán,2021-02-13,30,260,0.88,1686.04,82938.92,0.98
28101,ES-M,ES-MD,Olmeda de las Fuentes,2021-02-13,3,34,0.91,248.08,4870.15,0.95
28102,ES-M,ES-MD,Orusco de Tajuña,2021-02-13,18,79,0.77,2552.43,9890.42,0.74
28104,ES-M,ES-MD,Paracuellos de Jarama,2021-02-13,53,482,0.89,6120.40,107733.04,0.94
28106,ES-M,ES-MD,Parla,2021-02-13,145,813,0.82,11209.99,134780.09,0.92
28107,ES-M,ES-MD,Patones,2021-02-13,7,55,0.87,488.55,5228.58,0.91
28108,ES-M,ES-MD,Pedrezuela,2021-02-13,60,224,0.73,4945.50,37130.59,0.87
28109,ES-M,ES-MD,Pelayos de la Presa,2021-02-13,15,267,0.94,668.87,34658.54,0.98
28110,ES-M,ES-MD,Perales de Tajuña,2021-02-13,18,83,0.78,1505.52,9885.36,0.85
28111,ES-M,ES-MD,Pezuela de las Torres,2021-02-13,2,60,0.97,198.49,9134.51,0.98
28112,ES-M,ES-MD,Pinilla del Valle,2021-02-13,10,47,0.79,439.34,4490.82,0.90
28113,ES-M,ES-MD,Pinto,2021-02-13,149,495,0.70,18323.98,73288.36,0.75
28114,ES-M,ES-MD,Piñuécar-Gandullas,2021-02-13,13,39,0.67,1534.90,6188.53,0.75
28115,ES-M,ES-MD,Pozuelo de Alarcón,2021-02-13,112,1505,0.93,8083.96,264295.47,0.97
28116,ES-M,ES-MD,Pozuelo del Rey,2021-02-13,7,59,0.88,388.25,7690.22,0.95
28117,ES-M,ES-MD,Prádena del Rincón,2021-02-13,3,36,0.92,437.16,2906.06,0.85
28118,ES-M,ES-MD,Puebla de la Sierra,2021-02-13,0,30,1.00,0.00,2670.39,1.00
28119,ES-M,ES-MD,Quijorna,2021-02-13,30,150,0.80,2240.41,23788.25,0.91
28120,ES-M,ES-MD,Rascafría,2021-02-13,3,186,0.98,77.31,19499.20,1.00
28121,ES-M,ES-MD,Redueña,2021-02-13,3,27,0.89,159.09,3129.92,0.95
28122,ES-M,ES-MD,Ribatejada,2021-02-13,14,64,0.78,1758.83,12786.02,0.86
28123,ES-M,ES-MD,Rivas-Vaciamadrid,2021-02-13,137,899,0.85,12484.74,166295.52,0.92
