id,ES-LU,ES-GA,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
27001,ES-LU,ES-GA,Abadín,2021-02-13,32,49,0.35,6658.23,10564.18,0.37
27002,ES-LU,ES-GA,Alfoz,2021-02-13,0,38,1.00,0.00,6807.85,1.00
27003,ES-LU,ES-GA,Antas de Ulla,2021-02-13,227,244,0.07,34964.16,38934.19,0.10
27004,ES-LU,ES-GA,Baleira,2021-02-13,242,251,0.04,30579.67,31785.01,0.04
27005,ES-LU,ES-GA,Barreiros,2021-02-13,38,79,0.52,5462.00,17071.88,0.68
27006,ES-LU,ES-GA,Becerreá,2021-02-13,297,344,0.14,39671.41,49123.99,0.19
27007,ES-LU,ES-GA,Begonte,2021-02-13,0,99,1.00,0.00,14707.22,1.00
27008,ES-LU,ES-GA,Bóveda,2021-02-13,143,160,0.11,19288.15,21965.71,0.12
27009,ES-LU,ES-GA,Carballedo,2021-02-13,405,413,0.02,47590.89,48845.60,0.03
27010,ES-LU,ES-GA,Castro de Rei,2021-02-13,323,459,0.30,38889.74,56675.60,0.31
27011,ES-LU,ES-GA,Castroverde,2021-02-13,378,410,0.08,49722.89,54598.60,0.09
27012,ES-LU,ES-GA,Cervantes,2021-02-13,333,373,0.11,39921.04,44335.01,0.10
27013,ES-LU,ES-GA,Cervo,2021-02-13,4,145,0.97,139.36,17933.22,0.99
27014,ES-LU,ES-GA,O Corgo,2021-02-13,432,467,0.07,55136.03,61116.22,0.10
27015,ES-LU,ES-GA,Cospeito,2021-02-13,71,116,0.39,16801.26,27180.96,0.38
27016,ES-LU,ES-GA,Chantada,2021-02-13,650,723,0.10,75510.71,86642.31,0.13
27017,ES-LU,ES-GA,Folgoso do Courel,2021-02-13,281,372,0.24,21520.73,32740.65,0.34
27018,ES-LU,ES-GA,A Fonsagrada,2021-02-13,471,517,0.09,57104.01,64451.23,0.11
27019,ES-LU,ES-GA,Foz,2021-02-13,4,161,0.98,451.10,30930.32,0.99
27020,ES-LU,ES-GA,Friol,2021-02-13,6,118,0.95,1466.79,19170.99,0.92
27021,ES-LU,ES-GA,Xermade,2021-02-13,0,45,1.00,0.00,6442.61,1.00
27022,ES-LU,ES-GA,Guitiriz,2021-02-13,0,494,1.00,0.00,62841.54,1.00
27023,ES-LU,ES-GA,Guntín,2021-02-13,91,102,0.11,27964.91,30134.44,0.07
27024,ES-LU,ES-GA,O Incio,2021-02-13,265,349,0.24,33999.62,43660.50,0.22
27025,ES-LU,ES-GA,Xove,2021-02-13,0,38,1.00,0.00,7174.50,1.00
27026,ES-LU,ES-GA,Láncara,2021-02-13,347,366,0.05,40425.97,45261.24,0.11
27027,ES-LU,ES-GA,Lourenzá,2021-02-13,52,164,0.68,4159.33,20443.99,0.80
27028,ES-LU,ES-GA,Lugo,2021-02-13,28,2472,0.99,1240.76,345429.62,1.00
