id,name,date,incomplete,total,percentage,length_total,length_incomplete,length_percentage
02082,Villatoya,2021-02-13,31,61,0.49,4715.17,2483.52,0.47
02083,Villavaliente,2021-02-13,9,33,0.73,3803.74,465.02,0.88
02084,Villaverde de Guadalimar,2021-02-13,25,106,0.76,5778.59,925.38,0.84
02085,Viveros,2021-02-13,4,40,0.90,4699.17,176.01,0.96
02086,Yeste,2021-02-13,787,941,0.16,60008.51,46538.85,0.22
02901,Pozo Cañada,2021-02-13,14,101,0.86,13237.64,980.58,0.93
13001,Abenójar,2021-02-13,4,73,0.95,12478.47,364.64,0.97
13002,Agudo,2021-02-13,15,104,0.86,18309.20,2409.93,0.87
13003,Alamillo,2021-02-13,7,39,0.82,6938.75,1728.51,0.75
13004,Albaladejo,2021-02-13,7,74,0.91,10831.06,811.97,0.93
13005,Alcázar de San Juan,2021-02-13,115,796,0.86,137459.84,11731.24,0.91
13006,Alcoba,2021-02-13,6,62,0.90,8467.86,352.10,0.96
13007,Alcolea de Calatrava,2021-02-13,5,82,0.94,11670.89,323.67,0.97
13008,Alcubillas,2021-02-13,8,60,0.87,9889.35,792.89,0.92
13009,Aldea del Rey,2021-02-13,4,67,0.94,14142.03,467.66,0.97
13010,Alhambra,2021-02-13,12,88,0.86,11758.84,1814.22,0.85
13011,Almadén,2021-02-13,37,182,0.80,32406.87,10098.82,0.69
13012,Almadenejos,2021-02-13,8,49,0.84,6164.20,563.89,0.91
13013,Almagro,2021-02-13,62,291,0.79,47449.17,6174.59,0.87
13014,Almedina,2021-02-13,3,48,0.94,6894.88,208.29,0.97
13015,Almodóvar del Campo,2021-02-13,56,350,0.84,46779.65,4521.91,0.90
13016,Almuradiel,2021-02-13,12,35,0.66,6815.65,1297.13,0.81
13017,Anchuras,2021-02-13,9,74,0.88,7077.38,539.34,0.92
13018,Arenas de San Juan,2021-02-13,14,74,0.81,11978.57,1605.92,0.87
13019,Argamasilla de Alba,2021-02-13,69,220,0.69,51782.37,7509.26,0.85
13020,Argamasilla de Calatrava,2021-02-13,34,188,0.82,39621.24,6699.46,0.83
13021,Arroba de los Montes,2021-02-13,4,27,0.85,3461.91,376.29,0.89
13022,Ballesteros de Calatrava,2021-02-13,1,27,0.96,4472.96,114.51,0.97
13023,Bolaños de Calatrava,2021-02-13,38,269,0.86,68161.42,8027.74,0.88
13024,Brazatortas,2021-02-13,7,57,0.88,8307.21,1351.88,0.84
13025,Cabezarados,2021-02-13,3,13,0.77,2291.77,466.40,0.80
13026,Cabezarrubias del Puerto,2021-02-13,5,42,0.88,6195.92,417.50,0.93
13027,Calzada de Calatrava,2021-02-13,14,97,0.86,19923.26,1731.17,0.91
13028,Campo de Criptana,2021-02-13,30,462,0.94,70162.73,1874.10,0.97
13029,Cañada de Calatrava,2021-02-13,3,18,0.83,2526.09,520.75,0.79
13030,Caracuel de Calatrava,2021-02-13,2,11,0.82,1459.72,70.40,0.95
13031,Carrión de Calatrava,2021-02-13,14,104,0.87,17758.61,2217.72,0.88
13032,Carrizosa,2021-02-13,25,91,0.73,13128.42,2812.72,0.79
13033,Castellar de Santiago,2021-02-13,8,65,0.88,17206.67,2261.62,0.87
13034,Ciudad Real,2021-02-13,215,995,0.78,169160.96,25437.51,0.85
13035,Corral de Calatrava,2021-02-13,1,52,0.98,9651.01,207.56,0.98
13036,Los Cortijos,2021-02-13,3,48,0.94,9722.66,490.03,0.95
13037,Cózar,2021-02-13,14,47,0.70,9607.33,1871.42,0.81
13038,Chillón,2021-02-13,13,71,0.82,11872.64,1033.84,0.91
13039,Daimiel,2021-02-13,55,429,0.87,76929.76,6895.29,0.91
13040,Fernán Caballero,2021-02-13,38,75,0.49,13977.59,7852.66,0.44
13041,Fontanarejo,2021-02-13,0,21,1.00,2153.86,0.00,1.00
13042,Fuencaliente,2021-02-13,2,49,0.96,7393.92,678.41,0.91
13043,Fuenllana,2021-02-13,6,27,0.78,5078.26,702.67,0.86
13044,Fuente el Fresno,2021-02-13,7,97,0.93,21706.36,803.80,0.96
13045,Granátula de Calatrava,2021-02-13,3,55,0.95,9527.25,181.26,0.98
13046,Guadalmez,2021-02-13,0,34,1.00,7217.94,0.00,1.00
13047,Herencia,2021-02-13,38,206,0.82,40450.87,4820.34,0.88
13048,Hinojosas de Calatrava,2021-02-13,8,71,0.89,8989.68,531.10,0.94
13049,Horcajo de los Montes,2021-02-13,28,106,0.74,12622.07,1932.08,0.85
13050,Las Labores,2021-02-13,15,36,0.58,6391.34,1941.94,0.70
13051,Luciana,2021-02-13,1,29,0.97,5246.98,94.24,0.98
13052,Malagón,2021-02-13,40,343,0.88,68218.66,5231.80,0.92
13053,Manzanares,2021-02-13,68,369,0.82,82019.41,11938.58,0.85
