id,ES-CU,ES-CM,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
16001,ES-CU,ES-CM,Abia de la Obispalía,2021-02-13,1,24,0.96,69.81,2472.81,0.97
16002,ES-CU,ES-CM,El Acebrón,2021-02-13,6,46,0.87,1171.04,5529.12,0.79
16003,ES-CU,ES-CM,Alarcón,2021-02-13,4,27,0.85,190.57,2056.29,0.91
16004,ES-CU,ES-CM,Albaladejo del Cuende,2021-02-13,9,38,0.76,614.97,4783.20,0.87
16005,ES-CU,ES-CM,Albalate de las Nogueras,2021-02-13,1,14,0.93,57.56,2067.38,0.97
16006,ES-CU,ES-CM,Albendea,2021-02-13,16,51,0.69,657.44,3867.60,0.83
16007,ES-CU,ES-CM,La Alberca de Záncara,2021-02-13,23,134,0.83,3672.94,24552.73,0.85
16008,ES-CU,ES-CM,Alcalá de la Vega,2021-02-13,14,87,0.84,854.65,6237.76,0.86
16009,ES-CU,ES-CM,Alcantud,2021-02-13,4,36,0.89,74.93,3202.04,0.98
16010,ES-CU,ES-CM,Alcázar del Rey,2021-02-13,2,58,0.97,1132.67,6366.41,0.82
16011,ES-CU,ES-CM,Alcohujate,2021-02-13,0,32,1.00,0.00,2798.97,1.00
16012,ES-CU,ES-CM,Alconchel de la Estrella,2021-02-13,6,29,0.79,570.75,3692.62,0.85
16013,ES-CU,ES-CM,Algarra,2021-02-13,0,9,1.00,0.00,890.42,1.00
16014,ES-CU,ES-CM,Aliaguilla,2021-02-13,3,125,0.98,163.88,12273.33,0.99
16015,ES-CU,ES-CM,La Almarcha,2021-02-13,6,72,0.92,827.67,10538.35,0.92
16016,ES-CU,ES-CM,Almendros,2021-02-13,3,42,0.93,273.45,4779.83,0.94
16017,ES-CU,ES-CM,Almodóvar del Pinar,2021-02-13,4,41,0.90,278.24,5143.32,0.95
16018,ES-CU,ES-CM,Almonacid del Marquesado,2021-02-13,1,33,0.97,114.43,4543.47,0.97
16019,ES-CU,ES-CM,Altarejos,2021-02-13,9,77,0.88,361.33,8085.51,0.96
16020,ES-CU,ES-CM,Arandilla del Arroyo,2021-02-13,0,16,1.00,0.00,852.35,1.00
16022,ES-CU,ES-CM,Arcos de la Sierra,2021-02-13,1,29,0.97,29.99,2532.60,0.99
16023,ES-CU,ES-CM,Chillarón de Cuenca,2021-02-13,30,67,0.55,2491.30,7589.07,0.67
16024,ES-CU,ES-CM,Arguisuelas,2021-02-13,12,64,0.81,567.10,5659.92,0.90
16025,ES-CU,ES-CM,Arrancacepas,2021-02-13,7,13,0.46,491.37,1258.43,0.61
16026,ES-CU,ES-CM,Atalaya del Cañavate,2021-02-13,0,30,1.00,0.00,5097.59,1.00
16027,ES-CU,ES-CM,Barajas de Melo,2021-02-13,5,158,0.97,272.78,30000.32,0.99
16029,ES-CU,ES-CM,Barchín del Hoyo,2021-02-13,2,36,0.94,302.36,4497.61,0.93
16030,ES-CU,ES-CM,Bascuñana de San Pedro,2021-02-13,1,18,0.94,12.38,1426.15,0.99
16031,ES-CU,ES-CM,Beamud,2021-02-13,45,64,0.30,1318.78,3188.43,0.59
16032,ES-CU,ES-CM,Belinchón,2021-02-13,7,48,0.85,666.08,5844.53,0.89
16033,ES-CU,ES-CM,Belmonte,2021-02-13,18,162,0.89,1685.26,23003.25,0.93
16034,ES-CU,ES-CM,Belmontejo,2021-02-13,8,43,0.81,710.74,4115.08,0.83
16035,ES-CU,ES-CM,Beteta,2021-02-13,5,49,0.90,231.96,3744.33,0.94
16036,ES-CU,ES-CM,Boniches,2021-02-13,1,20,0.95,745.22,3557.64,0.79
16038,ES-CU,ES-CM,Buciegas,2021-02-13,0,18,1.00,0.00,1469.16,1.00
16039,ES-CU,ES-CM,Buenache de Alarcón,2021-02-13,7,47,0.85,559.77,7017.77,0.92
16040,ES-CU,ES-CM,Buenache de la Sierra,2021-02-13,1,22,0.95,113.02,1707.52,0.93
16041,ES-CU,ES-CM,Buendía,2021-02-13,8,93,0.91,526.15,8656.87,0.94
16042,ES-CU,ES-CM,Campillo de Altobuey,2021-02-13,18,115,0.84,1982.43,19445.23,0.90
16043,ES-CU,ES-CM,Campillos-Paravientos,2021-02-13,3,20,0.85,283.31,2942.52,0.90
16044,ES-CU,ES-CM,Campillos-Sierra,2021-02-13,1,31,0.97,490.52,2439.69,0.80
16045,ES-CU,ES-CM,Canalejas del Arroyo,2021-02-13,1,51,0.98,19.49,8343.13,1.00
16046,ES-CU,ES-CM,Cañada del Hoyo,2021-02-13,2,43,0.95,273.13,3701.96,0.93
16047,ES-CU,ES-CM,Cañada Juncosa,2021-02-13,7,37,0.81,587.27,4544.78,0.87
16048,ES-CU,ES-CM,Cañamares,2021-02-13,12,63,0.81,464.43,7815.79,0.94
16049,ES-CU,ES-CM,El Cañavate,2021-02-13,7,28,0.75,491.70,3867.49,0.87
16050,ES-CU,ES-CM,Cañaveras,2021-02-13,22,42,0.48,2338.87,7034.80,0.67
16051,ES-CU,ES-CM,Cañaveruelas,2021-02-13,0,31,1.00,0.00,2947.04,1.00
16052,ES-CU,ES-CM,Cañete,2021-02-13,12,61,0.80,1023.13,9119.61,0.89
16053,ES-CU,ES-CM,Cañizares,2021-02-13,25,46,0.46,2787.60,6432.35,0.57
16055,ES-CU,ES-CM,Carboneras de Guadazaón,2021-02-13,38,89,0.57,2938.50,10819.49,0.73
16056,ES-CU,ES-CM,Cardenete,2021-02-13,8,59,0.86,526.49,9104.15,0.94
16057,ES-CU,ES-CM,Carrascosa,2021-02-13,3,12,0.75,855.58,2609.23,0.67
16058,ES-CU,ES-CM,Carrascosa de Haro,2021-02-13,0,32,1.00,0.00,2658.54,1.00
16060,ES-CU,ES-CM,Casas de Benítez,2021-02-13,19,55,0.65,1846.66,8458.89,0.78
16061,ES-CU,ES-CM,Casas de Fernando Alonso,2021-02-13,12,89,0.87,1095.61,18974.97,0.94
16062,ES-CU,ES-CM,Casas de Garcimolina,2021-02-13,0,21,1.00,0.00,1730.58,1.00
16063,ES-CU,ES-CM,Casas de Guijarro,2021-02-13,6,23,0.74,333.26,3035.19,0.89
16064,ES-CU,ES-CM,Casas de Haro,2021-02-13,21,82,0.74,1229.81,13816.22,0.91
16065,ES-CU,ES-CM,Casas de los Pinos,2021-02-13,6,54,0.89,420.19,6184.27,0.93
16066,ES-CU,ES-CM,Casasimarro,2021-02-13,17,160,0.89,8664.99,35632.54,0.76
16067,ES-CU,ES-CM,Castejón,2021-02-13,2,42,0.95,62.61,4594.37,0.99
16068,ES-CU,ES-CM,Castillejo de Iniesta,2021-02-13,11,26,0.58,807.69,3998.28,0.80
16070,ES-CU,ES-CM,Castillejo-Sierra,2021-02-13,0,33,1.00,0.00,2047.32,1.00
16071,ES-CU,ES-CM,Castillo-Albaráñez,2021-02-13,3,13,0.77,241.53,1476.92,0.84
16072,ES-CU,ES-CM,Castillo de Garcimuñoz,2021-02-13,16,27,0.41,1637.19,4198.60,0.61
16073,ES-CU,ES-CM,Cervera del Llano,2021-02-13,7,35,0.80,786.92,5235.67,0.85
16074,ES-CU,ES-CM,La Cierva,2021-02-13,0,32,1.00,0.00,1885.01,1.00
16078,ES-CU,ES-CM,Cuenca,2021-02-13,361,1299,0.72,37396.74,149485.55,0.75
16079,ES-CU,ES-CM,Cueva del Hierro,2021-02-13,0,19,1.00,0.00,1487.50,1.00
16081,ES-CU,ES-CM,Chumillas,2021-02-13,7,24,0.71,363.66,2188.92,0.83
16082,ES-CU,ES-CM,Enguídanos,2021-02-13,4,50,0.92,184.78,5425.80,0.97
16083,ES-CU,ES-CM,Fresneda de Altarejos,2021-02-13,0,20,1.00,0.00,2045.45,1.00
16084,ES-CU,ES-CM,Fresneda de la Sierra,2021-02-13,0,21,1.00,0.00,1667.53,1.00
16085,ES-CU,ES-CM,La Frontera,2021-02-13,0,48,1.00,0.00,4829.25,1.00
16086,ES-CU,ES-CM,Fuente de Pedro Naharro,2021-02-13,18,89,0.80,2903.75,17125.73,0.83
16087,ES-CU,ES-CM,Fuentelespino de Haro,2021-02-13,1,33,0.97,89.20,3894.56,0.98
16088,ES-CU,ES-CM,Fuentelespino de Moya,2021-02-13,1,21,0.95,304.87,2602.84,0.88
16089,ES-CU,ES-CM,Fuentes,2021-02-13,16,70,0.77,383.08,5086.10,0.92
16091,ES-CU,ES-CM,Fuertescusa,2021-02-13,12,31,0.61,653.95,2597.13,0.75
16092,ES-CU,ES-CM,Gabaldón,2021-02-13,4,28,0.86,379.05,2521.46,0.85
16093,ES-CU,ES-CM,Garaballa,2021-02-13,0,18,1.00,0.00,2563.10,1.00
16094,ES-CU,ES-CM,Gascueña,2021-02-13,0,37,1.00,0.00,4646.25,1.00
