id,ES-TE,ES-AR,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
44067,ES-TE,ES-AR,Castelnou,2021-02-13,4,13,0.69,1200.29,2069.77,0.42
44068,ES-TE,ES-AR,Castelserás,2021-02-13,0,72,1.00,0.00,8322.11,1.00
44070,ES-TE,ES-AR,El Castellar,2021-02-13,5,21,0.76,687.10,2280.18,0.70
44071,ES-TE,ES-AR,Castellote,2021-02-13,33,157,0.79,4067.44,13024.90,0.69
44074,ES-TE,ES-AR,Cedrillas,2021-02-13,29,55,0.47,4741.79,8726.61,0.46
44075,ES-TE,ES-AR,Celadas,2021-02-13,8,34,0.76,860.16,3738.56,0.77
44076,ES-TE,ES-AR,Cella,2021-02-13,30,109,0.72,5610.21,19642.14,0.71
44077,ES-TE,ES-AR,La Cerollera,2021-02-13,0,1,1.00,0.00,237.57,1.00
44080,ES-TE,ES-AR,La Codoñera / la Codonyera,2021-02-13,0,43,1.00,0.00,4310.97,1.00
44082,ES-TE,ES-AR,Corbalán,2021-02-13,5,28,0.82,1070.99,3620.02,0.70
44084,ES-TE,ES-AR,Cortes de Aragón,2021-02-13,9,24,0.63,1603.51,3087.48,0.48
44085,ES-TE,ES-AR,Cosa,2021-02-13,1,15,0.93,8.04,2158.28,1.00
44086,ES-TE,ES-AR,Cretas / Queretes,2021-02-13,6,49,0.88,506.91,4295.66,0.88
44087,ES-TE,ES-AR,Crivillén,2021-02-13,1,12,0.92,76.95,576.32,0.87
44088,ES-TE,ES-AR,La Cuba,2021-02-13,4,9,0.56,127.25,918.34,0.86
44089,ES-TE,ES-AR,Cubla,2021-02-13,9,31,0.71,745.86,2869.77,0.74
44090,ES-TE,ES-AR,Cucalón,2021-02-13,0,17,1.00,0.00,1983.41,1.00
44092,ES-TE,ES-AR,El Cuervo,2021-02-13,2,14,0.86,78.22,2328.79,0.97
44093,ES-TE,ES-AR,Cuevas de Almudén,2021-02-13,8,19,0.58,382.18,1941.85,0.80
44094,ES-TE,ES-AR,Cuevas Labradas,2021-02-13,2,23,0.91,95.68,1726.73,0.94
44096,ES-TE,ES-AR,Ejulve,2021-02-13,9,26,0.65,491.29,2353.71,0.79
44097,ES-TE,ES-AR,Escorihuela,2021-02-13,7,13,0.46,1649.86,3426.83,0.52
44099,ES-TE,ES-AR,Escucha,2021-02-13,25,80,0.69,3721.48,10857.10,0.66
44100,ES-TE,ES-AR,Estercuel,2021-02-13,17,36,0.53,1877.68,4085.32,0.54
44101,ES-TE,ES-AR,Ferreruela de Huerva,2021-02-13,2,15,0.87,222.87,1749.86,0.87
44102,ES-TE,ES-AR,Fonfría,2021-02-13,1,11,0.91,36.42,1167.37,0.97
44103,ES-TE,ES-AR,Formiche Alto,2021-02-13,1,24,0.96,205.36,2078.95,0.90
44105,ES-TE,ES-AR,Fórnoles / Fórnols,2021-02-13,10,22,0.55,1169.57,2062.90,0.43
44106,ES-TE,ES-AR,Fortanete,2021-02-13,3,20,0.85,158.29,1973.03,0.92
44107,ES-TE,ES-AR,Foz-Calanda,2021-02-13,3,25,0.88,95.66,2440.58,0.96
44108,ES-TE,ES-AR,La Fresneda / la Freixneda,2021-02-13,13,47,0.72,1314.12,4413.50,0.70
44109,ES-TE,ES-AR,Frías de Albarracín,2021-02-13,0,2,1.00,0.00,181.51,1.00
44110,ES-TE,ES-AR,Fuenferrada,2021-02-13,7,13,0.46,349.29,1350.69,0.74
44111,ES-TE,ES-AR,Fuentes Calientes,2021-02-13,21,63,0.67,939.49,3034.54,0.69
44112,ES-TE,ES-AR,Fuentes Claras,2021-02-13,6,42,0.86,683.23,5692.29,0.88
44113,ES-TE,ES-AR,Fuentes de Rubielos,2021-02-13,9,14,0.36,696.93,1851.97,0.62
44114,ES-TE,ES-AR,Fuentespalda / Fontdespatla,2021-02-13,2,36,0.94,558.66,4662.94,0.88
44115,ES-TE,ES-AR,Galve,2021-02-13,17,34,0.50,834.11,2858.80,0.71
44116,ES-TE,ES-AR,Gargallo,2021-02-13,11,37,0.70,1122.58,3520.37,0.68
44117,ES-TE,ES-AR,Gea de Albarracín,2021-02-13,4,27,0.85,420.69,4197.35,0.90
