id,name,date,incomplete,total,percentage,length_total,length_incomplete,length_percentage
05094,Herreros de Suso,2021-02-13,1,46,0.98,5800.15,92.15,0.98
05095,Higuera de las Dueñas,2021-02-13,23,23,0.00,4847.23,4847.23,0.00
05096,La Hija de Dios,2021-02-13,15,48,0.69,4914.96,479.71,0.90
05097,La Horcajada,2021-02-13,0,78,1.00,10261.42,0.00,1.00
05099,Horcajo de las Torres,2021-02-13,24,66,0.64,6836.06,1373.23,0.80
05100,El Hornillo,2021-02-13,2,45,0.96,3807.77,113.13,0.97
05101,Hoyocasero,2021-02-13,1,78,0.99,8518.04,29.73,1.00
05102,El Hoyo de Pinares,2021-02-13,21,271,0.92,24642.03,755.15,0.97
05103,Hoyorredondo,2021-02-13,2,32,0.94,3250.25,89.27,0.97
05104,Hoyos del Collado,2021-02-13,3,7,0.57,1113.72,300.47,0.73
05105,Hoyos del Espino,2021-02-13,0,80,1.00,10991.10,0.00,1.00
05106,Hoyos de Miguel Muñoz,2021-02-13,0,17,1.00,1676.72,0.00,1.00
05107,Hurtumpascual,2021-02-13,20,34,0.41,3619.89,1814.13,0.50
05108,Junciana,2021-02-13,0,22,1.00,2205.94,0.00,1.00
05109,Langa,2021-02-13,4,47,0.91,5954.50,398.64,0.93
05110,Lanzahíta,2021-02-13,10,117,0.91,15593.11,2128.28,0.86
05112,El Losar del Barco,2021-02-13,3,41,0.93,4373.73,189.55,0.96
05113,Los Llanos de Tormes,2021-02-13,5,22,0.77,2658.84,251.64,0.91
05114,Madrigal de las Altas Torres,2021-02-13,2,99,0.98,14840.76,49.63,1.00
05115,Maello,2021-02-13,12,230,0.95,51162.23,1039.11,0.98
05116,Malpartida de Corneja,2021-02-13,31,31,0.00,3641.55,3641.55,0.00
05117,Mamblas,2021-02-13,0,30,1.00,4338.82,0.00,1.00
05118,Mancera de Arriba,2021-02-13,0,29,1.00,3681.23,0.00,1.00
05119,Manjabálago,2021-02-13,7,23,0.70,2440.38,1025.12,0.58
05120,Marlín,2021-02-13,3,22,0.86,2256.63,87.69,0.96
05121,Martiherrero,2021-02-13,0,37,1.00,4620.00,0.00,1.00
05122,Martínez,2021-02-13,1,32,0.97,3478.46,93.83,0.97
05123,Mediana de Voltoya,2021-02-13,11,37,0.70,3392.45,401.53,0.88
05124,Medinilla,2021-02-13,3,39,0.92,4492.88,257.90,0.94
05125,Mengamuñoz,2021-02-13,7,17,0.59,1956.82,542.29,0.72
05126,Mesegar de Corneja,2021-02-13,0,30,1.00,3217.33,0.00,1.00
05127,Mijares,2021-02-13,35,65,0.46,6051.69,3392.00,0.44
05128,Mingorría,2021-02-13,12,75,0.84,6960.14,801.09,0.88
05129,El Mirón,2021-02-13,8,43,0.81,5018.56,521.96,0.90
05130,Mironcillo,2021-02-13,0,38,1.00,3761.91,0.00,1.00
05131,Mirueña de los Infanzones,2021-02-13,21,21,0.00,3701.04,3701.04,0.00
05132,Mombeltrán,2021-02-13,0,137,1.00,12170.26,0.00,1.00
05133,Monsalupe,2021-02-13,0,21,1.00,2433.25,0.00,1.00
05134,Moraleja de Matacabras,2021-02-13,0,10,1.00,1748.19,0.00,1.00
05135,Muñana,2021-02-13,0,100,1.00,12409.81,0.00,1.00
05136,Muñico,2021-02-13,7,41,0.83,4513.93,314.59,0.93
