id,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
07001,Alaró,2021-02-13,7,106,0.93,894.61,16566.14,0.95
07002,Alaior,2021-02-13,43,396,0.89,2167.66,51051.25,0.96
07003,Alcúdia,2021-02-13,133,686,0.81,16458.83,105278.61,0.84
07004,Algaida,2021-02-13,30,126,0.76,2543.05,18934.31,0.87
07005,Andratx,2021-02-13,82,480,0.83,7252.73,88281.56,0.92
07006,Artà,2021-02-13,40,314,0.87,3565.16,49103.86,0.93
07007,Banyalbufar,2021-02-13,0,44,1.00,0.00,5688.59,1.00
07008,Binissalem,2021-02-13,13,141,0.91,1098.23,22948.54,0.95
07009,Búger,2021-02-13,4,50,0.92,216.69,4968.56,0.96
07010,Bunyola,2021-02-13,23,162,0.86,2742.53,40786.47,0.93
07011,Calvià,2021-02-13,295,1365,0.78,19164.76,289345.20,0.93
07012,Campanet,2021-02-13,13,54,0.76,1640.55,9615.30,0.83
07013,Campos,2021-02-13,50,294,0.83,6626.57,69789.50,0.91
07014,Capdepera,2021-02-13,74,525,0.86,8191.18,102291.13,0.92
07015,Ciutadella,2021-02-13,112,872,0.87,17575.52,137156.45,0.87
07016,Consell,2021-02-13,19,76,0.75,1307.80,10856.23,0.88
07017,Costitx,2021-02-13,13,54,0.76,1456.34,5200.30,0.72
07018,Deià,2021-02-13,8,39,0.79,1036.68,6199.81,0.83
07019,Escorca,2021-02-13,18,23,0.22,3968.75,5850.59,0.32
07020,Esporles,2021-02-13,34,159,0.79,8352.51,36244.04,0.77
07021,Estellencs,2021-02-13,23,37,0.38,2513.44,4890.75,0.49
07022,Felanitx,2021-02-13,125,510,0.75,20231.76,92381.01,0.78
07023,Ferreries,2021-02-13,25,155,0.84,4225.99,17171.83,0.75
07024,Formentera,2021-02-13,108,198,0.45,32562.39,53668.32,0.39
07025,Fornalutx,2021-02-13,7,30,0.77,405.53,2165.07,0.81
07026,Eivissa,2021-02-13,167,535,0.69,16230.15,78923.33,0.79
07027,Inca,2021-02-13,91,476,0.81,6715.54,65411.93,0.90
07028,Lloret de Vistalegre,2021-02-13,3,33,0.91,611.96,4344.98,0.86
07029,Lloseta,2021-02-13,24,109,0.78,2086.80,14933.17,0.86
07030,Llubí,2021-02-13,17,61,0.72,5794.36,14326.52,0.60
07031,Llucmajor,2021-02-13,145,734,0.80,12805.93,161114.02,0.92
07032,Maó,2021-02-13,90,670,0.87,15911.65,96746.58,0.84
07033,Manacor,2021-02-13,197,1070,0.82,32509.06,204180.49,0.84
07034,Mancor de la Vall,2021-02-13,9,46,0.80,698.07,6069.45,0.88
07035,Maria de la Salut,2021-02-13,16,85,0.81,1485.92,13270.52,0.89
07036,Marratxí,2021-02-13,265,925,0.71,26714.64,195365.95,0.86
07037,es Mercadal,2021-02-13,76,362,0.79,8014.21,63727.65,0.87
07038,Montuïri,2021-02-13,33,92,0.64,3723.05,12040.62,0.69
07039,Muro,2021-02-13,43,299,0.86,3161.63,41174.43,0.92
07040,Palma,2021-02-13,677,4041,0.83,70355.09,712632.39,0.90
07041,Petra,2021-02-13,16,113,0.86,2538.28,17166.87,0.85
07042,Pollença,2021-02-13,141,534,0.74,18140.30,86133.76,0.79
07043,Porreres,2021-02-13,19,105,0.82,2522.32,16219.46,0.84
07044,sa Pobla,2021-02-13,30,219,0.86,7362.83,53498.90,0.86
07045,Puigpunyent,2021-02-13,18,64,0.72,2771.91,14883.01,0.81
07046,Sant Antoni de Portmany,2021-02-13,329,588,0.44,119110.25,173535.47,0.31
07047,Sencelles,2021-02-13,9,50,0.82,555.90,7159.68,0.92
07048,Sant Josep de sa Talaia,2021-02-13,388,754,0.49,121178.59,235354.70,0.49
07049,Sant Joan,2021-02-13,12,66,0.82,2361.75,11987.23,0.80
07050,Sant Joan de Labritja,2021-02-13,75,104,0.28,26092.66,37876.44,0.31
07051,Sant Llorenç des Cardassar,2021-02-13,100,420,0.76,8851.40,66201.98,0.87
07052,Sant Lluís,2021-02-13,53,480,0.89,3707.84,73195.02,0.95
07053,Santa Eugènia,2021-02-13,12,40,0.70,1469.41,6485.55,0.77
07054,Santa Eulària des Riu,2021-02-13,537,1167,0.54,186687.23,341020.94,0.45
07055,Santa Margalida,2021-02-13,84,421,0.80,6185.20,78518.68,0.92
07056,Santa María del Camí,2021-02-13,1,135,0.99,69.79,17950.60,1.00
07057,Santanyí,2021-02-13,205,782,0.74,24392.19,133257.00,0.82
07058,Selva,2021-02-13,23,125,0.82,1801.13,14708.72,0.88
07059,ses Salines,2021-02-13,21,179,0.88,1729.08,34436.62,0.95
07060,Sineu,2021-02-13,46,176,0.74,4593.12,19955.12,0.77
07061,Sóller,2021-02-13,44,323,0.86,3307.91,46385.06,0.93
07062,Son Servera,2021-02-13,79,295,0.73,7220.63,49978.18,0.86
07063,Valldemossa,2021-02-13,35,123,0.72,10008.79,20723.15,0.52
07064,es Castell,2021-02-13,4,203,0.98,174.44,30374.01,0.99
07065,Vilafranca de Bonany,2021-02-13,10,63,0.84,948.39,16505.26,0.94
07901,Ariany,2021-02-13,6,49,0.88,377.66,8469.51,0.96
07902,es Migjorn Gran,2021-02-13,19,73,0.74,2495.97,10316.88,0.76
