id,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
28001,La Acebeda,2020-01-01,6,13,0.54,240.00,896.41,0.73
28002,Ajalvir,2020-01-01,5,127,0.96,637.88,16672.31,0.96
28003,Alameda del Valle,2020-01-01,7,41,0.83,479.40,5242.64,0.91
28004,El Álamo,2020-01-01,53,271,0.80,3959.73,54184.97,0.93
28005,Alcalá de Henares,2020-01-01,349,2256,0.85,29482.32,312137.07,0.91
28006,Alcobendas,2020-01-01,557,1544,0.64,36546.20,188297.06,0.81
28007,Alcorcón,2020-01-01,115,1132,0.90,6394.95,180517.63,0.96
28008,Aldea del Fresno,2020-01-01,43,157,0.73,10308.23,31455.79,0.67
28009,Algete,2020-01-01,93,296,0.69,10368.38,69971.84,0.85
28010,Alpedrete,2020-01-01,78,400,0.81,5460.21,69431.08,0.92
28011,Ambite,2020-01-01,49,65,0.25,14646.01,17009.35,0.14
28012,Anchuelo,2020-01-01,3,69,0.96,122.05,8782.98,0.99
28013,Aranjuez,2020-01-01,78,664,0.88,5423.56,143222.71,0.96
28014,Arganda del Rey,2020-01-01,177,945,0.81,19019.96,150735.17,0.87
28015,Arroyomolinos,2020-01-01,23,307,0.93,1757.15,71377.04,0.98
28016,El Atazar,2020-01-01,4,34,0.88,105.34,2252.48,0.95
28017,Batres,2020-01-01,4,87,0.95,928.91,17610.22,0.95
28018,Becerril de la Sierra,2020-01-01,19,367,0.95,1009.63,52182.46,0.98
28019,Belmonte de Tajo,2020-01-01,80,91,0.12,9910.70,11152.32,0.11
28020,Berzosa del Lozoya,2020-01-01,12,47,0.74,456.39,4754.10,0.90
28021,El Berrueco,2020-01-01,9,52,0.83,877.81,7104.68,0.88
28022,Boadilla del Monte,2020-01-01,183,976,0.81,35803.02,235917.71,0.85
28023,El Boalo,2020-01-01,123,362,0.66,17549.22,56774.88,0.69
28024,Braojos,2020-01-01,9,41,0.78,493.39,3985.83,0.88
28025,Brea de Tajo,2020-01-01,8,56,0.86,1043.44,6509.70,0.84
28026,Brunete,2020-01-01,21,229,0.91,3923.98,34975.56,0.89
28027,Buitrago del Lozoya,2020-01-01,13,119,0.89,358.30,12973.79,0.97
28028,Bustarviejo,2020-01-01,35,189,0.81,2965.68,24836.89,0.88
28029,Cabanillas de la Sierra,2020-01-01,6,55,0.89,438.77,10806.66,0.96
28030,La Cabrera,2020-01-01,36,218,0.83,2140.59,24235.34,0.91
28031,Cadalso de los Vidrios,2020-01-01,34,155,0.78,11529.74,31179.34,0.63
28032,Camarma de Esteruelas,2020-01-01,23,196,0.88,3097.53,40477.71,0.92
28033,Campo Real,2020-01-01,29,162,0.82,2936.96,22738.74,0.87
28034,Canencia,2020-01-01,10,53,0.81,215.62,6734.79,0.97
28035,Carabaña,2020-01-01,15,105,0.86,1126.17,12309.43,0.91
28036,Casarrubuelos,2020-01-01,46,153,0.70,3557.79,17507.10,0.80
28037,Cenicientos,2020-01-01,92,167,0.45,7272.14,18362.56,0.60
28038,Cercedilla,2020-01-01,82,348,0.76,5689.57,49285.27,0.88
28039,Cervera de Buitrago,2020-01-01,5,24,0.79,263.08,2222.90,0.88
28040,Ciempozuelos,2020-01-01,11,267,0.96,2385.13,49756.36,0.95
28041,Cobeña,2020-01-01,29,187,0.84,1699.54,26445.62,0.94
28042,Colmenar del Arroyo,2020-01-01,39,120,0.68,1827.47,15700.86,0.88
28043,Colmenar de Oreja,2020-01-01,96,316,0.70,28764.51,83304.10,0.65
28044,Colmenarejo,2020-01-01,18,300,0.94,1531.99,49037.34,0.97
28045,Colmenar Viejo,2020-01-01,162,902,0.82,17228.34,161789.13,0.89
28046,Collado Mediano,2020-01-01,42,252,0.83,5206.11,45827.68,0.89
28047,Collado Villalba,2020-01-01,98,969,0.90,4989.69,121222.36,0.96
28048,Corpa,2020-01-01,5,38,0.87,607.39,5738.17,0.89
28049,Coslada,2020-01-01,50,578,0.91,2972.50,85691.93,0.97
28050,Cubas de la Sagra,2020-01-01,6,130,0.95,667.42,24772.16,0.97
28051,Chapinería,2020-01-01,30,130,0.77,4498.99,23951.60,0.81
