id,ES-C,ES-GA,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
15067,ES-C,ES-GA,A Pobra do Caramiñal,2020-01-01,187,304,0.38,16685.91,37969.57,0.56
15068,ES-C,ES-GA,Ponteceso,2020-01-01,402,462,0.13,64748.06,74284.04,0.13
15069,ES-C,ES-GA,Pontedeume,2020-01-01,94,189,0.50,11287.81,22505.49,0.50
15070,ES-C,ES-GA,As Pontes de García Rodríguez,2020-01-01,164,338,0.51,15486.89,46345.04,0.67
15071,ES-C,ES-GA,Porto do Son,2020-01-01,160,222,0.28,27144.03,33462.73,0.19
15072,ES-C,ES-GA,Rianxo,2020-01-01,277,330,0.16,60028.89,67768.82,0.11
15073,ES-C,ES-GA,Ribeira,2020-01-01,226,563,0.60,28316.20,81169.18,0.65
15074,ES-C,ES-GA,Rois,2020-01-01,161,162,0.01,27501.14,27562.81,0.00
15075,ES-C,ES-GA,Sada,2020-01-01,153,366,0.58,32035.49,74677.88,0.57
15076,ES-C,ES-GA,San Sadurniño,2020-01-01,12,13,0.08,1432.83,2301.98,0.38
15077,ES-C,ES-GA,Santa Comba,2020-01-01,269,303,0.11,40954.39,47806.29,0.14
15078,ES-C,ES-GA,Santiago de Compostela,2020-01-01,702,2069,0.66,80268.24,289331.75,0.72
15079,ES-C,ES-GA,Santiso,2020-01-01,30,30,0.00,4672.27,4672.27,0.00
15080,ES-C,ES-GA,Sobrado,2020-01-01,209,209,0.00,23642.12,23642.12,0.00
15081,ES-C,ES-GA,As Somozas,2020-01-01,23,25,0.08,2751.19,3501.00,0.21
15082,ES-C,ES-GA,Teo,2020-01-01,147,212,0.31,22749.65,36410.44,0.38
15083,ES-C,ES-GA,Toques,2020-01-01,99,99,0.00,12100.27,12100.27,0.00
15084,ES-C,ES-GA,Tordoia,2020-01-01,40,40,0.00,8475.93,8475.93,0.00
15085,ES-C,ES-GA,Touro,2020-01-01,79,85,0.07,16398.31,17419.11,0.06
15086,ES-C,ES-GA,Trazo,2020-01-01,61,63,0.03,8930.15,9758.48,0.08
15087,ES-C,ES-GA,Valdoviño,2020-01-01,83,101,0.18,23966.54,33892.66,0.29
15088,ES-C,ES-GA,Val do Dubra,2020-01-01,93,110,0.15,20169.25,23166.63,0.13
15089,ES-C,ES-GA,Vedra,2020-01-01,132,134,0.01,34727.41,35678.38,0.03
15090,ES-C,ES-GA,Vilasantar,2020-01-01,122,124,0.02,11810.44,12616.43,0.06
15091,ES-C,ES-GA,Vilarmaior,2020-01-01,12,12,0.00,1452.87,1452.87,0.00
15092,ES-C,ES-GA,Vimianzo,2020-01-01,423,448,0.06,64265.41,69412.88,0.07
15093,ES-C,ES-GA,Zas,2020-01-01,202,213,0.05,21350.02,23021.56,0.07
15901,ES-C,ES-GA,Cariño,2020-01-01,97,183,0.47,15356.81,27416.85,0.44
15902,ES-C,ES-GA,Oza-Cesuras,2020-01-01,103,104,0.01,17232.30,17404.18,0.01
