id,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
04089,Taberno,2020-01-01,19,108,0.82,1093.41,9047.03,0.88
04090,Tahal,2020-01-01,5,68,0.93,134.70,6109.92,0.98
04091,Terque,2020-01-01,16,60,0.73,634.52,6257.70,0.90
04092,Tíjola,2020-01-01,18,229,0.92,1447.17,22906.97,0.94
04093,Turre,2020-01-01,42,146,0.71,4586.13,20877.49,0.78
04094,Turrillas,2020-01-01,6,41,0.85,282.04,2601.19,0.89
04095,Uleila del Campo,2020-01-01,9,94,0.90,626.22,8546.72,0.93
04096,Urrácal,2020-01-01,3,30,0.90,79.76,2461.46,0.97
04097,Velefique,2020-01-01,6,75,0.92,644.57,5646.40,0.89
04098,Vélez-Blanco,2020-01-01,78,151,0.48,8272.72,16265.44,0.49
04099,Vélez-Rubio,2020-01-01,76,417,0.82,7692.35,38084.43,0.80
04100,Vera,2020-01-01,728,1186,0.39,73877.44,172433.06,0.57
04101,Viator,2020-01-01,19,205,0.91,2281.09,29802.73,0.92
04102,Vícar,2020-01-01,75,516,0.85,4910.98,84276.25,0.94
04103,Zurgena,2020-01-01,83,314,0.74,9136.81,44032.57,0.79
04901,Las Tres Villas,2020-01-01,10,63,0.84,1256.43,5383.31,0.77
04902,El Ejido,2020-01-01,282,1997,0.86,19552.91,311460.79,0.94
04903,La Mojonera,2020-01-01,16,244,0.93,1748.17,34285.68,0.95
04904,Balanegra,2020-01-01,4,67,0.94,469.61,11591.41,0.96
11001,Alcalá de los Gazules,2020-01-01,21,127,0.83,2411.01,13683.50,0.82
11002,Alcalá del Valle,2020-01-01,76,84,0.10,12861.29,13931.52,0.08
11003,Algar,2020-01-01,7,67,0.90,220.73,5806.20,0.96
11004,Algeciras,2020-01-01,1135,1891,0.40,128819.24,258816.88,0.50
11005,Algodonales,2020-01-01,42,108,0.61,5729.77,17589.91,0.67
11006,Arcos de la Frontera,2020-01-01,463,723,0.36,74162.32,112725.39,0.34
11007,Barbate,2020-01-01,367,620,0.41,52536.65,98720.93,0.47
11008,Los Barrios,2020-01-01,361,433,0.17,63732.02,80359.84,0.21
11009,Benaocaz,2020-01-01,19,76,0.75,1527.15,6118.35,0.75
11010,Bornos,2020-01-01,27,214,0.87,2154.59,27099.10,0.92
11011,El Bosque,2020-01-01,53,97,0.45,6677.54,14316.94,0.53
11012,Cádiz,2020-01-01,200,839,0.76,17600.52,96461.13,0.82
11013,Castellar de la Frontera,2020-01-01,35,131,0.73,4771.99,18126.43,0.74
11014,Conil de la Frontera,2020-01-01,412,868,0.53,81417.09,154384.11,0.47
11015,Chiclana de la Frontera,2020-01-01,1074,2442,0.56,202062.08,483177.88,0.58
11016,Chipiona,2020-01-01,269,603,0.55,40374.80,101622.32,0.60
11017,Espera,2020-01-01,79,87,0.09,14607.10,15580.16,0.06
11018,El Gastor,2020-01-01,25,64,0.61,7080.55,11415.33,0.38
11019,Grazalema,2020-01-01,45,106,0.58,3719.92,13101.24,0.72
11020,Jerez de la Frontera,2020-01-01,666,3722,0.82,88922.79,530106.48,0.83
11021,Jimena de la Frontera,2020-01-01,75,159,0.53,16334.09,33003.15,0.51
11022,La Línea de la Concepción,2020-01-01,515,950,0.46,69513.73,133302.45,0.48
11023,Medina-Sidonia,2020-01-01,182,288,0.37,30691.98,49088.98,0.37
11024,Olvera,2020-01-01,31,219,0.86,2306.53,25909.55,0.91
11025,Paterna de Rivera,2020-01-01,24,232,0.90,1184.41,24891.80,0.95
11026,Prado del Rey,2020-01-01,34,159,0.79,2472.47,21144.15,0.88
11027,El Puerto de Santa María,2020-01-01,685,1780,0.62,128567.49,363003.73,0.65
11028,Puerto Real,2020-01-01,360,756,0.52,45788.43,135261.45,0.66
11029,Puerto Serrano,2020-01-01,9,220,0.96,518.07,29912.04,0.98
11030,Rota,2020-01-01,327,796,0.59,40633.09,113306.21,0.64
11031,San Fernando,2020-01-01,423,861,0.51,46453.18,126554.12,0.63
11032,Sanlúcar de Barrameda,2020-01-01,734,1143,0.36,132308.67,221946.21,0.40
