id,ES-MA,ES-AN,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
29063,ES-MA,ES-AN,Jimera de Líbar,2020-01-01,14,34,0.59,2149.53,4207.33,0.49
29064,ES-MA,ES-AN,Jubrique,2020-01-01,10,35,0.71,3896.98,7064.96,0.45
29065,ES-MA,ES-AN,Júzcar,2020-01-01,2,25,0.92,170.52,2695.95,0.94
29066,ES-MA,ES-AN,Macharaviaya,2020-01-01,6,33,0.82,167.55,3218.72,0.95
29067,ES-MA,ES-AN,Málaga,2020-01-01,157,7028,0.98,8371.45,820646.95,0.99
29068,ES-MA,ES-AN,Manilva,2020-01-01,335,488,0.31,65057.70,94663.44,0.31
29069,ES-MA,ES-AN,Marbella,2020-01-01,1715,3522,0.51,246664.37,596212.53,0.59
29070,ES-MA,ES-AN,Mijas,2020-01-01,419,1841,0.77,52709.65,392467.24,0.87
29071,ES-MA,ES-AN,Moclinejo,2020-01-01,5,38,0.87,593.09,4751.13,0.88
29072,ES-MA,ES-AN,Mollina,2020-01-01,55,145,0.62,8504.28,28333.02,0.70
29073,ES-MA,ES-AN,Monda,2020-01-01,60,123,0.51,16331.04,25652.25,0.36
29074,ES-MA,ES-AN,Montejaque,2020-01-01,19,61,0.69,2001.07,7321.91,0.73
29075,ES-MA,ES-AN,Nerja,2020-01-01,122,502,0.76,14154.68,67776.35,0.79
29076,ES-MA,ES-AN,Ojén,2020-01-01,97,176,0.45,31285.98,41188.94,0.24
29077,ES-MA,ES-AN,Parauta,2020-01-01,14,31,0.55,921.67,3112.64,0.70
29079,ES-MA,ES-AN,Periana,2020-01-01,41,150,0.73,7542.14,17515.18,0.57
29080,ES-MA,ES-AN,Pizarra,2020-01-01,58,195,0.70,12211.62,35544.43,0.66
29081,ES-MA,ES-AN,Pujerra,2020-01-01,15,46,0.67,962.16,2969.98,0.68
29082,ES-MA,ES-AN,Rincón de la Victoria,2020-01-01,77,840,0.91,4886.24,141493.95,0.97
29083,ES-MA,ES-AN,Riogordo,2020-01-01,15,89,0.83,1195.98,12411.07,0.90
29084,ES-MA,ES-AN,Ronda,2020-01-01,366,691,0.47,48844.91,86230.82,0.43
29085,ES-MA,ES-AN,Salares,2020-01-01,10,28,0.64,753.43,2523.79,0.70
29086,ES-MA,ES-AN,Sayalonga,2020-01-01,10,56,0.82,960.18,4577.99,0.79
29087,ES-MA,ES-AN,Sedella,2020-01-01,2,50,0.96,77.44,3487.47,0.98
29088,ES-MA,ES-AN,Sierra de Yeguas,2020-01-01,38,97,0.61,5709.68,18518.84,0.69
29089,ES-MA,ES-AN,Teba,2020-01-01,40,46,0.13,9776.56,11124.23,0.12
29090,ES-MA,ES-AN,Tolox,2020-01-01,73,109,0.33,8809.69,11393.82,0.23
29091,ES-MA,ES-AN,Torrox,2020-01-01,193,467,0.59,20738.33,62353.74,0.67
29092,ES-MA,ES-AN,Totalán,2020-01-01,0,37,1.00,0.00,3854.61,1.00
29093,ES-MA,ES-AN,Valle de Abdalajís,2020-01-01,38,51,0.25,5401.78,7188.11,0.25
29094,ES-MA,ES-AN,Vélez-Málaga,2020-01-01,447,1921,0.77,57452.35,259836.12,0.78
29095,ES-MA,ES-AN,Villanueva de Algaidas,2020-01-01,71,111,0.36,9405.13,16566.61,0.43
29096,ES-MA,ES-AN,Villanueva del Rosario,2020-01-01,71,132,0.46,8917.45,17637.47,0.49
29097,ES-MA,ES-AN,Villanueva del Trabuco,2020-01-01,80,173,0.54,7882.86,25662.76,0.69
29098,ES-MA,ES-AN,Villanueva de Tapia,2020-01-01,35,60,0.42,4176.11,8281.32,0.50
29099,ES-MA,ES-AN,Viñuela,2020-01-01,39,108,0.64,8151.78,22504.31,0.64
29100,ES-MA,ES-AN,Yunquera,2020-01-01,40,99,0.60,4643.48,14917.88,0.69
29901,ES-MA,ES-AN,Torremolinos,2020-01-01,41,783,0.95,3225.12,129732.81,0.98
29902,ES-MA,ES-AN,Villanueva de la Concepción,2020-01-01,19,85,0.78,1347.96,10917.57,0.88
29903,ES-MA,ES-AN,Montecorto,2020-01-01,30,30,0.00,5751.81,5751.81,0.00
29904,ES-MA,ES-AN,Serrato,2020-01-01,24,24,0.00,4585.92,4585.92,0.00
