id,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
03001,l'Atzúbia,2020-01-01,2,23,0.91,100.11,4176.81,0.98
03002,Agost,2020-01-01,11,104,0.89,855.86,17506.53,0.95
03003,Agres,2020-01-01,1,20,0.95,17.36,1851.65,0.99
03004,Aigües,2020-01-01,12,61,0.80,2088.92,10158.00,0.79
03005,Albatera,2020-01-01,70,241,0.71,17367.54,52704.75,0.67
03006,Alcalalí,2020-01-01,64,97,0.34,12186.93,14795.10,0.18
03007,Alcocer de Planes,2020-01-01,6,7,0.14,821.60,953.65,0.14
03008,Alcoleja,2020-01-01,2,12,0.83,96.41,1139.81,0.92
03009,Alcoi / Alcoy,2020-01-01,140,763,0.82,16396.59,121419.91,0.86
03010,Alfafara,2020-01-01,3,12,0.75,138.74,2242.11,0.94
03011,l'Alfàs del Pi,2020-01-01,209,682,0.69,33719.92,118966.48,0.72
03012,Algorfa,2020-01-01,6,230,0.97,1136.69,44826.30,0.97
03013,Algueña,2020-01-01,5,145,0.97,476.74,17120.40,0.97
03014,Alacant / Alicante,2020-01-01,459,3326,0.86,47475.16,547607.61,0.91
03015,Almoradí,2020-01-01,68,380,0.82,8867.29,70097.08,0.87
03016,Almudaina,2020-01-01,4,18,0.78,88.59,1294.81,0.93
03017,l'Alqueria d'Asnar,2020-01-01,11,32,0.66,644.09,3320.19,0.81
03018,Altea,2020-01-01,420,636,0.34,107254.95,150901.63,0.29
03019,Aspe,2020-01-01,45,427,0.89,5288.81,81485.18,0.94
03020,Balones,2020-01-01,5,25,0.80,288.13,1537.12,0.81
03021,Banyeres de Mariola,2020-01-01,85,248,0.66,13781.77,39309.02,0.65
03022,Benasau,2020-01-01,0,10,1.00,0.00,1956.27,1.00
03023,Beneixama,2020-01-01,10,55,0.82,838.76,13824.35,0.94
03024,Benejúzar,2020-01-01,7,160,0.96,662.94,28027.71,0.98
03025,Benferri,2020-01-01,10,142,0.93,1359.90,20357.18,0.93
03026,Beniarbeig,2020-01-01,23,104,0.78,1840.54,13038.62,0.86
03027,Beniardá,2020-01-01,3,7,0.57,199.23,454.64,0.56
03028,Beniarrés,2020-01-01,23,38,0.39,1778.22,3149.79,0.44
03029,Benigembla,2020-01-01,6,30,0.80,354.87,3271.15,0.89
03030,Benidoleig,2020-01-01,34,61,0.44,6177.35,11673.81,0.47
03031,Benidorm,2020-01-01,309,919,0.66,40277.23,152208.14,0.74
03032,Benifallim,2020-01-01,2,20,0.90,414.71,1499.03,0.72
03033,Benifato,2020-01-01,1,4,0.75,7.17,178.31,0.96
03034,Benijófar,2020-01-01,24,171,0.86,4209.78,31278.34,0.87
03035,Benilloba,2020-01-01,0,43,1.00,0.00,4376.48,1.00
03036,Benillup,2020-01-01,0,6,1.00,0.00,665.75,1.00
03037,Benimantell,2020-01-01,1,4,0.75,60.65,399.78,0.85
03038,Benimarfull,2020-01-01,10,33,0.70,493.60,3598.23,0.86
03039,Benimassot,2020-01-01,11,13,0.15,610.44,903.11,0.32
03040,Benimeli,2020-01-01,7,19,0.63,370.99,1432.25,0.74
03041,Benissa,2020-01-01,282,548,0.49,68992.16,128880.67,0.46
03042,el Poble Nou de Benitatxell / Benitachell,2020-01-01,219,297,0.26,51284.11,72058.56,0.29
03043,Biar,2020-01-01,18,167,0.89,2555.35,22034.17,0.88
03044,Bigastro,2020-01-01,28,215,0.87,2932.81,27878.90,0.89
03045,Bolulla,2020-01-01,1,15,0.93,33.14,1001.27,0.97
03046,Busot,2020-01-01,44,155,0.72,6127.42,42141.68,0.85
03047,Calp,2020-01-01,404,837,0.52,79256.48,172768.82,0.54
03048,Callosa d'en Sarrià,2020-01-01,43,135,0.68,15872.96,24607.04,0.35
03049,Callosa de Segura,2020-01-01,117,519,0.77,21761.58,76398.38,0.72
03050,el Campello,2020-01-01,127,648,0.80,13552.79,121135.75,0.89
03051,el Camp de Mirra / Campo de Mirra,2020-01-01,13,33,0.61,2072.86,5432.16,0.62
03052,Cañada,2020-01-01,15,62,0.76,2272.85,10862.01,0.79
03053,Castalla,2020-01-01,48,332,0.86,7186.82,59940.60,0.88
03054,Castell de Castells,2020-01-01,3,23,0.87,138.33,2128.46,0.94
03055,Catral,2020-01-01,49,348,0.86,8541.22,59502.44,0.86
03056,Cocentaina,2020-01-01,66,243,0.73,6194.61,37464.80,0.83
03057,Confrides,2020-01-01,11,22,0.50,986.34,2439.40,0.60
03058,Cox,2020-01-01,37,339,0.89,4987.57,61672.98,0.92
03059,Crevillent,2020-01-01,312,788,0.60,61543.27,136946.83,0.55
03060,Quatretondeta,2020-01-01,11,27,0.59,595.86,1574.93,0.62
03061,Daya Nueva,2020-01-01,0,93,1.00,0.00,13533.56,1.00
03062,Daya Vieja,2020-01-01,10,62,0.84,803.61,7028.72,0.89
03063,Dénia,2020-01-01,561,1299,0.57,72800.72,223495.44,0.67
03064,Dolores,2020-01-01,0,228,1.00,0.00,47373.70,1.00
03065,Elx / Elche,2020-01-01,1609,3925,0.59,313656.97,786296.33,0.60
03066,Elda,2020-01-01,159,758,0.79,14049.40,106387.32,0.87
03067,Facheca,2020-01-01,0,7,1.00,0.00,777.55,1.00
03068,Famorca,2020-01-01,1,7,0.86,69.68,501.81,0.86
03069,Finestrat,2020-01-01,217,461,0.53,32600.28,80994.75,0.60
03070,Formentera del Segura,2020-01-01,0,134,1.00,0.00,17327.18,1.00
03071,Gata de Gorgos,2020-01-01,61,107,0.43,8294.96,15277.15,0.46
03072,Gaianes,2020-01-01,0,21,1.00,0.00,2409.41,1.00
03073,Gorga,2020-01-01,4,9,0.56,531.47,1247.34,0.57
03074,Granja de Rocamora,2020-01-01,15,84,0.82,1259.36,10813.64,0.88
03075,el Castell de Guadalest,2020-01-01,5,13,0.62,1431.91,2079.91,0.31
03076,Guardamar del Segura,2020-01-01,63,753,0.92,7237.82,112070.09,0.94
03077,el Fondó de les Neus / Hondón de las Nieves,2020-01-01,16,141,0.89,1809.76,23925.47,0.92
03078,Hondón de los Frailes,2020-01-01,9,47,0.81,782.23,7015.88,0.89
03079,Ibi,2020-01-01,120,418,0.71,13761.94,63777.83,0.78
03080,Jacarilla,2020-01-01,14,109,0.87,1828.88,15050.32,0.88
03081,Xaló,2020-01-01,16,40,0.60,3154.73,6364.32,0.50
03082,Xàbia / Jávea,2020-01-01,671,1462,0.54,113985.55,296280.50,0.62
03083,Xixona / Jijona,2020-01-01,49,163,0.70,6946.71,20591.79,0.66
03084,l'Orxa / Lorcha,2020-01-01,2,5,0.60,102.42,534.53,0.81
03085,Llíber,2020-01-01,6,16,0.63,208.29,931.43,0.78
03086,Millena,2020-01-01,2,6,0.67,206.59,755.13,0.73
03088,Monforte del Cid,2020-01-01,87,332,0.74,15000.34,72396.50,0.79
03089,Monòver / Monóvar,2020-01-01,113,450,0.75,22079.54,70464.65,0.69
03090,Mutxamel,2020-01-01,142,566,0.75,16849.48,117711.18,0.86
03091,Murla,2020-01-01,0,20,1.00,0.00,3244.22,1.00
03092,Muro de Alcoy,2020-01-01,56,150,0.63,6291.11,21387.86,0.71
03093,Novelda,2020-01-01,34,324,0.90,5969.15,68600.40,0.91
03094,la Nucia,2020-01-01,197,582,0.66,36454.44,105113.30,0.65
03095,Ondara,2020-01-01,34,160,0.79,2809.40,17507.55,0.84
03096,Onil,2020-01-01,35,224,0.84,3125.94,29986.10,0.90
03097,Orba,2020-01-01,32,123,0.74,2833.27,23896.73,0.88
03098,Orxeta,2020-01-01,3,52,0.94,2925.75,9722.25,0.70
03099,Orihuela,2020-01-01,774,3790,0.80,114040.60,610777.89,0.81
03100,Parcent,2020-01-01,4,19,0.79,2123.85,3998.90,0.47
03101,Pedreguer,2020-01-01,63,229,0.72,14133.92,53747.48,0.74
03102,Pego,2020-01-01,36,217,0.83,6555.95,45050.17,0.85
03103,Penàguila,2020-01-01,5,18,0.72,692.15,2026.70,0.66
03104,Petrer,2020-01-01,191,664,0.71,11844.62,81652.80,0.85
03105,el Pinós / Pinoso,2020-01-01,60,326,0.82,8460.04,48092.20,0.82
03106,Planes,2020-01-01,40,63,0.37,3339.84,6656.64,0.50
03107,Polop,2020-01-01,38,212,0.82,5285.26,34099.40,0.85
03109,Rafal,2020-01-01,10,161,0.94,750.91,21928.69,0.97
03110,el Ràfol d'Almúnia,2020-01-01,21,45,0.53,4596.19,7936.07,0.42
03111,Redován,2020-01-01,70,266,0.74,13408.63,36708.82,0.63
03112,Relleu,2020-01-01,7,39,0.82,962.66,5445.88,0.82
03113,Rojales,2020-01-01,265,1290,0.79,23376.00,202373.99,0.88
03114,la Romana,2020-01-01,14,74,0.81,2960.75,19038.86,0.84
03115,Sagra,2020-01-01,5,23,0.78,440.52,2576.97,0.83
03116,Salinas,2020-01-01,53,115,0.54,6262.69,17329.91,0.64
03117,Sanet y Negrals,2020-01-01,14,43,0.67,936.63,5335.86,0.82
03118,San Fulgencio,2020-01-01,73,386,0.81,12907.61,76162.96,0.83
03119,Sant Joan d'Alacant,2020-01-01,43,326,0.87,4333.68,63197.89,0.93
03120,San Miguel de Salinas,2020-01-01,29,430,0.93,1307.08,54013.88,0.98
03121,Santa Pola,2020-01-01,110,1003,0.89,14868.97,144332.31,0.90
03122,Sant Vicent del Raspeig / San Vicente del Raspeig,2020-01-01,161,792,0.80,16279.70,144961.26,0.89
03123,Sax,2020-01-01,19,236,0.92,2057.02,29635.26,0.93
03124,Sella,2020-01-01,17,40,0.58,1722.32,4565.29,0.62
03125,Senija,2020-01-01,7,34,0.79,297.05,4548.03,0.93
03127,Tàrbena,2020-01-01,1,7,0.86,17.48,730.97,0.98
03128,Teulada,2020-01-01,249,779,0.68,40245.14,158555.31,0.75
03129,Tibi,2020-01-01,10,68,0.85,993.03,18486.39,0.95
03130,Tollos,2020-01-01,2,7,0.71,55.89,516.26,0.89
03131,Tormos,2020-01-01,8,23,0.65,738.29,2274.27,0.68
03132,la Torre de les Maçanes / Torremanzanas,2020-01-01,17,40,0.58,1768.67,7893.18,0.78
03133,Torrevieja,2020-01-01,508,2428,0.79,51651.72,414396.32,0.88
03134,la Vall d'Alcalà,2020-01-01,1,13,0.92,96.11,1371.01,0.93
03135,la Vall d'Ebo,2020-01-01,1,14,0.93,47.76,1362.41,0.96
03136,Vall de Gallinera,2020-01-01,20,41,0.51,1625.21,4246.98,0.62
03137,la Vall de Laguar,2020-01-01,2,49,0.96,41.84,3533.54,0.99
03138,el Verger,2020-01-01,51,215,0.76,4350.14,26383.99,0.84
03139,la Vila Joiosa / Villajoyosa,2020-01-01,258,498,0.48,45018.37,87115.38,0.48
03140,Villena,2020-01-01,104,502,0.79,20126.88,79079.32,0.75
03901,els Poblets,2020-01-01,45,318,0.86,2297.10,39136.80,0.94
03902,Pilar de la Horadada,2020-01-01,81,1173,0.93,9581.04,225554.49,0.96
03903,Los Montesinos,2020-01-01,32,195,0.84,4023.61,31344.80,0.87
03904,San Isidro,2020-01-01,8,80,0.90,1229.18,18925.48,0.94
12001,Atzeneta del Maestrat,2020-01-01,4,89,0.96,208.39,8874.38,0.98
12002,Aín,2020-01-01,1,38,0.97,15.72,2109.67,0.99
12003,Albocàsser,2020-01-01,11,52,0.79,2836.45,7566.66,0.63
12004,Alcalà de Xivert,2020-01-01,58,359,0.84,7739.38,63686.80,0.88
12005,l'Alcora,2020-01-01,53,420,0.87,6530.87,44101.12,0.85
12006,Alcudia de Veo,2020-01-01,6,80,0.93,184.69,3780.33,0.95
12007,Alfondeguilla,2020-01-01,0,42,1.00,0.00,3509.00,1.00
12008,Algimia de Almonacid,2020-01-01,3,67,0.96,130.54,3711.07,0.96
12009,Almassora,2020-01-01,107,578,0.81,10293.93,92757.95,0.89
12010,Almedíjar,2020-01-01,10,27,0.63,1562.02,3475.16,0.55
12011,Almenara,2020-01-01,8,258,0.97,421.21,43300.48,0.99
12012,Altura,2020-01-01,5,195,0.97,399.44,18930.81,0.98
12013,Arañuel,2020-01-01,2,9,0.78,187.72,701.30,0.73
12014,Ares del Maestrat,2020-01-01,20,42,0.52,631.15,4078.23,0.85
12015,Argelita,2020-01-01,1,30,0.97,46.92,2087.58,0.98
12016,Artana,2020-01-01,6,125,0.95,721.70,12381.27,0.94
12017,Ayódar,2020-01-01,9,43,0.79,531.81,3955.37,0.87
12018,Azuébar,2020-01-01,0,63,1.00,0.00,4257.87,1.00
12020,Barracas,2020-01-01,2,17,0.88,153.14,2397.86,0.94
12021,Betxí,2020-01-01,31,139,0.78,12747.02,32846.39,0.61
12022,Bejís,2020-01-01,3,43,0.93,83.96,3973.33,0.98
12024,Benafer,2020-01-01,9,33,0.73,3226.97,4901.73,0.34
12025,Benafigos,2020-01-01,5,35,0.86,145.98,1920.20,0.92
12026,Benassal,2020-01-01,11,101,0.89,2158.81,10730.89,0.80
12027,Benicarló,2020-01-01,15,434,0.97,1257.19,74875.00,0.98
12028,Benicàssim / Benicasim,2020-01-01,60,858,0.93,2684.11,112404.75,0.98
12029,Benlloc,2020-01-01,0,62,1.00,0.00,6150.10,1.00
12031,Borriol,2020-01-01,61,272,0.78,11358.73,46571.59,0.76
12032,Borriana / Burriana,2020-01-01,41,608,0.93,3705.05,91095.30,0.96
12033,Cabanes,2020-01-01,48,253,0.81,7308.70,42923.23,0.83
12034,Càlig,2020-01-01,8,69,0.88,845.26,8985.48,0.91
12036,Canet lo Roig,2020-01-01,13,51,0.75,1319.36,5813.01,0.77
12037,Castell de Cabres,2020-01-01,0,7,1.00,0.00,729.40,1.00
12038,Castellfort,2020-01-01,0,39,1.00,0.00,2873.97,1.00
12039,Castellnovo,2020-01-01,5,63,0.92,353.87,6919.64,0.95
12040,Castelló de la Plana,2020-01-01,421,2556,0.84,62129.09,345704.18,0.82
12041,Castillo de Villamalefa,2020-01-01,4,70,0.94,154.85,4598.05,0.97
12042,Catí,2020-01-01,1,50,0.98,208.28,5472.41,0.96
12043,Caudiel,2020-01-01,20,78,0.74,2603.29,8178.56,0.68
12044,Cervera del Maestre,2020-01-01,14,48,0.71,1243.12,4935.48,0.75
12045,Cinctorres,2020-01-01,13,47,0.72,1365.92,4796.23,0.72
12046,Cirat,2020-01-01,4,55,0.93,113.34,4033.48,0.97
