id,ES-B,ES-CT,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
08064,ES-B,ES-CT,Castellterçol,2020-01-01,15,159,0.91,585.38,17378.83,0.97
08065,ES-B,ES-CT,Castellví de la Marca,2020-01-01,5,70,0.93,167.72,7346.54,0.98
08066,ES-B,ES-CT,Castellví de Rosanes,2020-01-01,0,64,1.00,0.00,18587.78,1.00
08067,ES-B,ES-CT,Centelles,2020-01-01,78,260,0.70,3226.69,33267.67,0.90
08068,ES-B,ES-CT,Cervelló,2020-01-01,13,283,0.95,709.23,63348.40,0.99
08069,ES-B,ES-CT,Collbató,2020-01-01,29,248,0.88,961.13,45151.31,0.98
08070,ES-B,ES-CT,Collsuspina,2020-01-01,5,29,0.83,354.01,3884.99,0.91
08071,ES-B,ES-CT,Copons,2020-01-01,0,21,1.00,0.00,1536.35,1.00
08072,ES-B,ES-CT,Corbera de Llobregat,2020-01-01,3,478,0.99,99.19,125291.86,1.00
08073,ES-B,ES-CT,Cornellà de Llobregat,2020-01-01,28,506,0.94,2063.82,69902.21,0.97
08074,ES-B,ES-CT,Cubelles,2020-01-01,16,452,0.96,1397.80,79145.72,0.98
08075,ES-B,ES-CT,Dosrius,2020-01-01,28,183,0.85,7088.97,51320.52,0.86
08076,ES-B,ES-CT,Esparreguera,2020-01-01,33,366,0.91,2269.72,72589.87,0.97
08077,ES-B,ES-CT,Esplugues de Llobregat,2020-01-01,9,337,0.97,1440.34,49053.89,0.97
08078,ES-B,ES-CT,l'Espunyola,2020-01-01,0,0,1,0.00,0.00,1
08079,ES-B,ES-CT,l'Estany,2020-01-01,13,42,0.69,1294.32,5514.25,0.77
08080,ES-B,ES-CT,Fígols,2020-01-01,0,4,1.00,0.00,229.81,1.00
08081,ES-B,ES-CT,Fogars de Montclús,2020-01-01,1,10,0.90,37.69,2046.70,0.98
08082,ES-B,ES-CT,Fogars de la Selva,2020-01-01,0,49,1.00,0.00,20399.59,1.00
08083,ES-B,ES-CT,Folgueroles,2020-01-01,2,80,0.98,115.88,10449.12,0.99
08084,ES-B,ES-CT,Fonollosa,2020-01-01,2,98,0.98,187.12,16820.16,0.99
08085,ES-B,ES-CT,Font-rubí,2020-01-01,0,47,1.00,0.00,8329.33,1.00
08086,ES-B,ES-CT,les Franqueses del Vallès,2020-01-01,64,344,0.81,7185.09,65860.93,0.89
08087,ES-B,ES-CT,Gallifa,2020-01-01,5,22,0.77,305.34,4138.07,0.93
08088,ES-B,ES-CT,la Garriga,2020-01-01,91,356,0.74,4498.85,62300.23,0.93
08089,ES-B,ES-CT,Gavà,2020-01-01,18,450,0.96,650.01,74721.57,0.99
08090,ES-B,ES-CT,Gaià,2020-01-01,0,5,1.00,0.00,562.01,1.00
08091,ES-B,ES-CT,Gelida,2020-01-01,0,162,1.00,0.00,31867.71,1.00
08092,ES-B,ES-CT,Gironella,2020-01-01,10,143,0.93,559.58,18700.04,0.97
08093,ES-B,ES-CT,Gisclareny,2020-01-01,0,1,1.00,0.00,82.86,1.00
08094,ES-B,ES-CT,la Granada,2020-01-01,1,77,0.99,29.50,10991.34,1.00
08095,ES-B,ES-CT,Granera,2020-01-01,0,11,1.00,0.00,1464.66,1.00
08096,ES-B,ES-CT,Granollers,2020-01-01,72,671,0.89,5887.42,101808.67,0.94
08097,ES-B,ES-CT,Gualba,2020-01-01,1,51,0.98,54.56,9603.99,0.99
08098,ES-B,ES-CT,Sant Salvador de Guardiola,2020-01-01,5,128,0.96,131.59,43963.62,1.00
08099,ES-B,ES-CT,Guardiola de Berguedà,2020-01-01,0,26,1.00,0.00,3088.61,1.00
08100,ES-B,ES-CT,Gurb,2020-01-01,26,136,0.81,3055.77,26680.48,0.89
08101,ES-B,ES-CT,l'Hospitalet de Llobregat,2020-01-01,4,1048,1.00,393.78,147061.30,1.00
08103,ES-B,ES-CT,Jorba,2020-01-01,1,53,0.98,24.30,7814.02,1.00
08104,ES-B,ES-CT,la Llacuna,2020-01-01,0,107,1.00,0.00,12579.98,1.00
08105,ES-B,ES-CT,la Llagosta,2020-01-01,28,106,0.74,2315.64,17498.64,0.87
08106,ES-B,ES-CT,Llinars del Vallès,2020-01-01,41,297,0.86,3909.52,63631.84,0.94
08107,ES-B,ES-CT,Lliçà d'Amunt,2020-01-01,24,337,0.93,1915.39,95498.17,0.98
08108,ES-B,ES-CT,Lliçà de Vall,2020-01-01,68,229,0.70,8167.53,62407.87,0.87
08109,ES-B,ES-CT,Lluçà,2020-01-01,1,12,0.92,42.80,1351.82,0.97
08110,ES-B,ES-CT,Malgrat de Mar,2020-01-01,25,274,0.91,1583.78,44047.76,0.96
08111,ES-B,ES-CT,Malla,2020-01-01,0,1,1.00,0.00,313.94,1.00
08112,ES-B,ES-CT,Manlleu,2020-01-01,43,399,0.89,1762.87,53734.10,0.97
08113,ES-B,ES-CT,Manresa,2020-01-01,81,1216,0.93,3404.16,121835.17,0.97
08114,ES-B,ES-CT,Martorell,2020-01-01,26,336,0.92,2804.68,48019.34,0.94
08115,ES-B,ES-CT,Martorelles,2020-01-01,41,184,0.78,1784.75,24977.74,0.93
08116,ES-B,ES-CT,les Masies de Roda,2020-01-01,10,30,0.67,1359.44,3760.34,0.64
08117,ES-B,ES-CT,les Masies de Voltregà,2020-01-01,4,128,0.97,262.13,18390.79,0.99
08118,ES-B,ES-CT,el Masnou,2020-01-01,5,374,0.99,175.24,47596.13,1.00
08119,ES-B,ES-CT,Masquefa,2020-01-01,8,272,0.97,402.57,52813.86,0.99
08120,ES-B,ES-CT,Matadepera,2020-01-01,15,394,0.96,464.45,89185.44,0.99
08121,ES-B,ES-CT,Mataró,2020-01-01,121,1100,0.89,9735.62,174118.14,0.94
08122,ES-B,ES-CT,Mediona,2020-01-01,0,126,1.00,0.00,36462.14,1.00
08123,ES-B,ES-CT,Molins de Rei,2020-01-01,12,396,0.97,403.83,46906.38,0.99
08124,ES-B,ES-CT,Mollet del Vallès,2020-01-01,54,489,0.89,3712.36,71969.79,0.95
08125,ES-B,ES-CT,Montcada i Reixac,2020-01-01,23,560,0.96,925.21,69947.97,0.99
08126,ES-B,ES-CT,Montgat,2020-01-01,11,178,0.94,865.65,23944.12,0.96
08127,ES-B,ES-CT,Monistrol de Montserrat,2020-01-01,19,113,0.83,649.12,13191.40,0.95
08128,ES-B,ES-CT,Monistrol de Calders,2020-01-01,27,84,0.68,1410.68,16248.40,0.91
08129,ES-B,ES-CT,Muntanyola,2020-01-01,0,25,1.00,0.00,10984.73,1.00
08130,ES-B,ES-CT,Montclar,2020-01-01,0,0,1,0.00,0.00,1
08131,ES-B,ES-CT,Montesquiu,2020-01-01,0,28,1.00,0.00,4361.64,1.00
08132,ES-B,ES-CT,Montmajor,2020-01-01,1,18,0.94,82.08,2450.69,0.97
08133,ES-B,ES-CT,Montmaneu,2020-01-01,0,19,1.00,0.00,2623.13,1.00
08134,ES-B,ES-CT,Figaró-Montmany,2020-01-01,2,33,0.94,548.58,5703.32,0.90
08135,ES-B,ES-CT,Montmeló,2020-01-01,26,129,0.80,2903.80,25593.82,0.89
08136,ES-B,ES-CT,Montornès del Vallès,2020-01-01,30,326,0.91,1962.81,50682.83,0.96
08137,ES-B,ES-CT,Montseny,2020-01-01,0,9,1.00,0.00,1372.48,1.00
08138,ES-B,ES-CT,Moià,2020-01-01,41,212,0.81,4007.67,36989.54,0.89
08139,ES-B,ES-CT,Mura,2020-01-01,7,55,0.87,453.31,4430.26,0.90
08140,ES-B,ES-CT,Navarcles,2020-01-01,36,172,0.79,2442.35,26668.86,0.91
08141,ES-B,ES-CT,Navàs,2020-01-01,0,116,1.00,0.00,22058.03,1.00
08142,ES-B,ES-CT,la Nou de Berguedà,2020-01-01,1,15,0.93,66.12,1460.34,0.95
08143,ES-B,ES-CT,Òdena,2020-01-01,0,126,1.00,0.00,21420.11,1.00
08144,ES-B,ES-CT,Olvan,2020-01-01,0,53,1.00,0.00,4915.51,1.00
08145,ES-B,ES-CT,Olèrdola,2020-01-01,2,164,0.99,116.82,33687.24,1.00
08146,ES-B,ES-CT,Olesa de Bonesvalls,2020-01-01,1,112,0.99,103.56,26165.58,1.00
08147,ES-B,ES-CT,Olesa de Montserrat,2020-01-01,15,254,0.94,796.51,49174.30,0.98
08148,ES-B,ES-CT,Olivella,2020-01-01,0,180,1.00,0.00,70615.72,1.00
08149,ES-B,ES-CT,Olost,2020-01-01,38,75,0.49,4145.18,10212.74,0.59
08150,ES-B,ES-CT,Orís,2020-01-01,3,12,0.75,130.04,1217.15,0.89
08151,ES-B,ES-CT,Oristà,2020-01-01,21,39,0.46,1996.10,5606.74,0.64
08152,ES-B,ES-CT,Orpí,2020-01-01,4,19,0.79,155.98,1505.36,0.90
