id,ES-B,ES-CT,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
08274,ES-B,ES-CT,Súria,2020-01-01,14,141,0.90,534.08,18264.12,0.97
08275,ES-B,ES-CT,Tavèrnoles,2020-01-01,8,26,0.69,2108.54,5693.37,0.63
08276,ES-B,ES-CT,Tagamanent,2020-01-01,7,33,0.79,614.52,6678.08,0.91
08277,ES-B,ES-CT,Talamanca,2020-01-01,7,40,0.83,422.20,5134.67,0.92
08278,ES-B,ES-CT,Taradell,2020-01-01,25,221,0.89,3272.20,38219.92,0.91
08279,ES-B,ES-CT,Terrassa,2020-01-01,109,2096,0.95,6294.60,357805.50,0.98
08280,ES-B,ES-CT,Tavertet,2020-01-01,0,22,1.00,0.00,2207.92,1.00
08281,ES-B,ES-CT,Teià,2020-01-01,27,150,0.82,2018.95,25546.28,0.92
08282,ES-B,ES-CT,Tiana,2020-01-01,5,144,0.97,167.00,22966.11,0.99
08283,ES-B,ES-CT,Tona,2020-01-01,63,266,0.76,3083.98,37920.41,0.92
08284,ES-B,ES-CT,Tordera,2020-01-01,8,393,0.98,453.00,97900.68,1.00
08285,ES-B,ES-CT,Torelló,2020-01-01,24,280,0.91,2114.71,47925.94,0.96
08286,ES-B,ES-CT,la Torre de Claramunt,2020-01-01,0,159,1.00,0.00,42170.55,1.00
08287,ES-B,ES-CT,Torrelavit,2020-01-01,0,46,1.00,0.00,6166.84,1.00
08288,ES-B,ES-CT,Torrelles de Foix,2020-01-01,0,121,1.00,0.00,24828.57,1.00
08289,ES-B,ES-CT,Torrelles de Llobregat,2020-01-01,5,188,0.97,71.24,40988.71,1.00
08290,ES-B,ES-CT,Ullastrell,2020-01-01,2,61,0.97,55.64,11578.77,1.00
08291,ES-B,ES-CT,Vacarisses,2020-01-01,7,443,0.98,1527.77,88295.12,0.98
08292,ES-B,ES-CT,Vallbona d'Anoia,2020-01-01,1,64,0.98,51.83,9292.13,0.99
08293,ES-B,ES-CT,Vallcebre,2020-01-01,0,17,1.00,0.00,1969.35,1.00
08294,ES-B,ES-CT,Vallgorguina,2020-01-01,22,112,0.80,4447.75,32104.49,0.86
08295,ES-B,ES-CT,Vallirana,2020-01-01,20,345,0.94,1104.65,106838.20,0.99
08296,ES-B,ES-CT,Vallromanes,2020-01-01,35,120,0.71,3531.00,25055.87,0.86
08297,ES-B,ES-CT,Veciana,2020-01-01,0,11,1.00,0.00,1419.79,1.00
08298,ES-B,ES-CT,Vic,2020-01-01,62,868,0.93,2526.70,114895.62,0.98
08299,ES-B,ES-CT,Vilada,2020-01-01,1,42,0.98,78.86,5376.05,0.99
08300,ES-B,ES-CT,Viladecavalls,2020-01-01,53,307,0.83,2543.59,50570.09,0.95
08301,ES-B,ES-CT,Viladecans,2020-01-01,86,625,0.86,3056.32,95008.55,0.97
08302,ES-B,ES-CT,Vilanova del Camí,2020-01-01,1,250,1.00,101.33,36366.05,1.00
08303,ES-B,ES-CT,Vilanova de Sau,2020-01-01,0,16,1.00,0.00,2317.24,1.00
08304,ES-B,ES-CT,Vilobí del Penedès,2020-01-01,2,79,0.97,65.06,12520.20,0.99
08305,ES-B,ES-CT,Vilafranca del Penedès,2020-01-01,20,562,0.96,1029.26,76174.13,0.99
08306,ES-B,ES-CT,Vilalba Sasserra,2020-01-01,3,18,0.83,403.35,2942.68,0.86
08307,ES-B,ES-CT,Vilanova i la Geltrú,2020-01-01,10,1447,0.99,937.10,159439.00,0.99
08308,ES-B,ES-CT,Viver i Serrateix,2020-01-01,0,0,1,0.00,0.00,1
08700,ES-B,ES-CT,Igualada,2020-01-01,15,557,0.97,807.78,95483.72,0.99
08901,ES-B,ES-CT,Rupit i Pruit,2020-01-01,11,30,0.63,578.48,2148.50,0.73
08902,ES-B,ES-CT,Vilanova del Vallès,2020-01-01,27,168,0.84,2728.19,43872.27,0.94
08903,ES-B,ES-CT,Sant Julià de Cerdanyola,2020-01-01,0,32,1.00,0.00,3085.06,1.00
08904,ES-B,ES-CT,Badia del Vallès,2020-01-01,8,31,0.74,497.66,3675.00,0.86
08905,ES-B,ES-CT,la Palma de Cervelló,2020-01-01,0,69,1.00,0.00,7571.97,1.00
