id,ES-Z,ES-AR,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
50160,ES-Z,ES-AR,Mallén,2020-01-01,100,101,0.01,17656.42,17742.84,0.00
50161,ES-Z,ES-AR,Manchones,2020-01-01,0,8,1.00,0.00,1041.13,1.00
50162,ES-Z,ES-AR,Mara,2020-01-01,17,17,0.00,2836.59,2836.59,0.00
50163,ES-Z,ES-AR,María de Huerva,2020-01-01,25,124,0.80,2601.02,17983.82,0.86
50164,ES-Z,ES-AR,Mediana de Aragón,2020-01-01,21,21,0.00,4842.38,4842.38,0.00
50165,ES-Z,ES-AR,Mequinenza,2020-01-01,57,120,0.53,7706.17,17289.33,0.55
50166,ES-Z,ES-AR,Mesones de Isuela,2020-01-01,9,13,0.31,1705.34,2368.10,0.28
50167,ES-Z,ES-AR,Mezalocha,2020-01-01,9,21,0.57,927.30,2863.14,0.68
50168,ES-Z,ES-AR,Mianos,2020-01-01,5,5,0.00,489.45,489.45,0.00
50169,ES-Z,ES-AR,Miedes de Aragón,2020-01-01,37,37,0.00,5468.37,5468.37,0.00
50170,ES-Z,ES-AR,Monegrillo,2020-01-01,10,46,0.78,811.20,5361.24,0.85
50171,ES-Z,ES-AR,Moneva,2020-01-01,8,8,0.00,1461.45,1461.45,0.00
50172,ES-Z,ES-AR,Monreal de Ariza,2020-01-01,12,14,0.14,2478.29,3064.28,0.19
50173,ES-Z,ES-AR,Monterde,2020-01-01,27,29,0.07,3226.15,3518.62,0.08
50174,ES-Z,ES-AR,Montón,2020-01-01,13,13,0.00,1356.29,1356.29,0.00
50175,ES-Z,ES-AR,Morata de Jalón,2020-01-01,27,27,0.00,5614.25,5614.25,0.00
50176,ES-Z,ES-AR,Morata de Jiloca,2020-01-01,2,16,0.88,498.37,2187.27,0.77
50177,ES-Z,ES-AR,Morés,2020-01-01,17,17,0.00,2376.60,2376.60,0.00
50178,ES-Z,ES-AR,Moros,2020-01-01,18,18,0.00,4785.76,4785.76,0.00
50179,ES-Z,ES-AR,Moyuela,2020-01-01,21,25,0.16,4065.74,4347.57,0.06
50180,ES-Z,ES-AR,Mozota,2020-01-01,9,16,0.44,1691.80,2912.89,0.42
50181,ES-Z,ES-AR,Muel,2020-01-01,45,124,0.64,14749.27,20505.43,0.28
50182,ES-Z,ES-AR,La Muela,2020-01-01,145,340,0.57,18297.29,52175.09,0.65
50183,ES-Z,ES-AR,Munébrega,2020-01-01,26,26,0.00,4071.57,4071.57,0.00
50184,ES-Z,ES-AR,Murero,2020-01-01,2,4,0.50,200.77,427.68,0.53
50185,ES-Z,ES-AR,Murillo de Gállego,2020-01-01,28,51,0.45,2036.43,4535.88,0.55
50186,ES-Z,ES-AR,Navardún,2020-01-01,10,27,0.63,895.02,1817.17,0.51
50187,ES-Z,ES-AR,Nigüella,2020-01-01,8,8,0.00,1548.02,1548.02,0.00
50188,ES-Z,ES-AR,Nombrevilla,2020-01-01,6,6,0.00,1225.42,1225.42,0.00
50189,ES-Z,ES-AR,Nonaspe,2020-01-01,8,83,0.90,276.11,7840.56,0.96
50190,ES-Z,ES-AR,Novallas,2020-01-01,30,30,0.00,6431.49,6431.49,0.00
50191,ES-Z,ES-AR,Novillas,2020-01-01,15,15,0.00,3888.36,3888.36,0.00
50192,ES-Z,ES-AR,Nuévalos,2020-01-01,14,14,0.00,1339.30,1339.30,0.00
