id,ES-Z,ES-AR,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
50255,ES-Z,ES-AR,Tobed,2020-01-01,6,6,0.00,1147.36,1147.36,0.00
50256,ES-Z,ES-AR,Torralba de los Frailes,2020-01-01,19,19,0.00,2606.57,2606.57,0.00
50257,ES-Z,ES-AR,Torralba de Ribota,2020-01-01,1,27,0.96,200.77,2515.51,0.92
50258,ES-Z,ES-AR,Torralbilla,2020-01-01,9,9,0.00,1346.34,1346.34,0.00
50259,ES-Z,ES-AR,Torrehermosa,2020-01-01,16,16,0.00,2152.53,2152.53,0.00
50260,ES-Z,ES-AR,Torrelapaja,2020-01-01,4,4,0.00,558.04,558.04,0.00
50261,ES-Z,ES-AR,Torrellas,2020-01-01,17,17,0.00,2769.49,2769.49,0.00
50262,ES-Z,ES-AR,Torres de Berrellén,2020-01-01,16,55,0.71,2470.85,7953.34,0.69
50263,ES-Z,ES-AR,Torrijo de la Cañada,2020-01-01,12,12,0.00,1843.83,1843.83,0.00
50264,ES-Z,ES-AR,Tosos,2020-01-01,2,26,0.92,35.95,2085.13,0.98
50265,ES-Z,ES-AR,Trasmoz,2020-01-01,17,18,0.06,2350.67,2553.35,0.08
50266,ES-Z,ES-AR,Trasobares,2020-01-01,24,32,0.25,2481.87,3432.46,0.28
50267,ES-Z,ES-AR,Uncastillo,2020-01-01,33,46,0.28,4003.27,6223.90,0.36
50268,ES-Z,ES-AR,Undués de Lerda,2020-01-01,16,18,0.11,1002.25,1319.24,0.24
50269,ES-Z,ES-AR,Urrea de Jalón,2020-01-01,3,3,0.00,1067.12,1067.12,0.00
50270,ES-Z,ES-AR,Urriés,2020-01-01,19,20,0.05,1743.11,1820.79,0.04
50271,ES-Z,ES-AR,Used,2020-01-01,35,35,0.00,4066.82,4066.82,0.00
50272,ES-Z,ES-AR,Utebo,2020-01-01,92,299,0.69,8569.01,38470.26,0.78
50273,ES-Z,ES-AR,Valdehorna,2020-01-01,5,5,0.00,824.79,824.79,0.00
50274,ES-Z,ES-AR,Val de San Martín,2020-01-01,2,10,0.80,569.76,1301.18,0.56
50275,ES-Z,ES-AR,Valmadrid,2020-01-01,10,15,0.33,938.53,1798.77,0.48
50276,ES-Z,ES-AR,Valpalmas,2020-01-01,2,14,0.86,41.59,1471.81,0.97
50277,ES-Z,ES-AR,Valtorres,2020-01-01,1,30,0.97,38.94,2377.51,0.98
50278,ES-Z,ES-AR,Velilla de Ebro,2020-01-01,8,10,0.20,1433.30,1849.84,0.23
50279,ES-Z,ES-AR,Velilla de Jiloca,2020-01-01,9,10,0.10,988.33,1039.00,0.05
50280,ES-Z,ES-AR,Vera de Moncayo,2020-01-01,22,27,0.19,2249.03,2711.21,0.17
50281,ES-Z,ES-AR,Vierlas,2020-01-01,8,8,0.00,1017.06,1017.06,0.00
50282,ES-Z,ES-AR,La Vilueña,2020-01-01,14,14,0.00,2491.44,2491.44,0.00
50283,ES-Z,ES-AR,Villadoz,2020-01-01,0,14,1.00,0.00,1555.95,1.00
50284,ES-Z,ES-AR,Villafeliche,2020-01-01,10,10,0.00,1982.77,1982.77,0.00
50285,ES-Z,ES-AR,Villafranca de Ebro,2020-01-01,23,23,0.00,5454.79,5454.79,0.00
50286,ES-Z,ES-AR,Villalba de Perejil,2020-01-01,12,12,0.00,1401.98,1401.98,0.00
50287,ES-Z,ES-AR,Villalengua,2020-01-01,21,21,0.00,3966.21,3966.21,0.00
50288,ES-Z,ES-AR,Villanueva de Gállego,2020-01-01,102,226,0.55,17873.32,47318.57,0.62
50289,ES-Z,ES-AR,Villanueva de Jiloca,2020-01-01,5,17,0.71,275.88,1396.20,0.80
50290,ES-Z,ES-AR,Villanueva de Huerva,2020-01-01,26,26,0.00,5105.94,5105.94,0.00
50291,ES-Z,ES-AR,Villar de los Navarros,2020-01-01,11,11,0.00,1985.40,1985.40,0.00
50292,ES-Z,ES-AR,Villarreal de Huerva,2020-01-01,12,12,0.00,2855.79,2855.79,0.00
50293,ES-Z,ES-AR,Villarroya de la Sierra,2020-01-01,17,17,0.00,3062.17,3062.17,0.00
50294,ES-Z,ES-AR,Villarroya del Campo,2020-01-01,14,14,0.00,1836.02,1836.02,0.00
50295,ES-Z,ES-AR,Vistabella,2020-01-01,9,9,0.00,1592.15,1592.15,0.00
50296,ES-Z,ES-AR,La Zaida,2020-01-01,29,29,0.00,5524.27,5524.27,0.00
50297,ES-Z,ES-AR,Zaragoza,2020-01-01,1571,7616,0.79,200961.97,1051252.64,0.81
50298,ES-Z,ES-AR,Zuera,2020-01-01,77,249,0.69,12111.58,53517.63,0.77
50901,ES-Z,ES-AR,Biel,2020-01-01,22,54,0.59,2073.87,4879.64,0.57
50902,ES-Z,ES-AR,Marracos,2020-01-01,5,5,0.00,1059.41,1059.41,0.00
50903,ES-Z,ES-AR,Villamayor de Gállego,2020-01-01,22,100,0.78,3479.28,17205.12,0.80
