id,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
49175,Revellinos,2020-01-01,7,22,0.68,635.79,2855.75,0.78
49176,Riofrío de Aliste,2020-01-01,49,63,0.22,10776.91,14451.17,0.25
49177,Rionegro del Puente,2020-01-01,25,90,0.72,3359.91,9047.75,0.63
49178,Roales,2020-01-01,13,39,0.67,2023.93,7246.47,0.72
49179,Robleda-Cervantes,2020-01-01,26,53,0.51,4109.55,7146.97,0.42
49180,Roelos de Sayago,2020-01-01,1,26,0.96,107.46,3859.62,0.97
49181,Rosinos de la Requejada,2020-01-01,65,71,0.08,12009.40,12435.63,0.03
49183,Salce,2020-01-01,1,42,0.98,75.02,3775.21,0.98
49184,Samir de los Caños,2020-01-01,7,36,0.81,1221.40,3848.73,0.68
49185,San Agustín del Pozo,2020-01-01,12,23,0.48,1799.62,3825.97,0.53
49186,San Cebrián de Castro,2020-01-01,0,57,1.00,0.00,6216.43,1.00
49187,San Cristóbal de Entreviñas,2020-01-01,14,66,0.79,4787.18,16650.27,0.71
49188,San Esteban del Molar,2020-01-01,23,28,0.18,2555.94,3674.22,0.30
49189,San Justo,2020-01-01,60,81,0.26,8328.02,11319.63,0.26
49190,San Martín de Valderaduey,2020-01-01,12,13,0.08,1720.56,1860.22,0.08
49191,San Miguel de la Ribera,2020-01-01,1,69,0.99,299.89,7625.78,0.96
49192,San Miguel del Valle,2020-01-01,17,18,0.06,3789.30,3887.88,0.03
49193,San Pedro de Ceque,2020-01-01,2,63,0.97,206.67,7591.57,0.97
49194,San Pedro de la Nave-Almendra,2020-01-01,51,64,0.20,7723.92,8964.75,0.14
49197,Santa Clara de Avedillo,2020-01-01,29,31,0.06,3185.11,3550.43,0.10
49199,Santa Colomba de las Monjas,2020-01-01,2,24,0.92,231.64,4809.05,0.95
49200,Santa Cristina de la Polvorosa,2020-01-01,21,83,0.75,599.09,10544.92,0.94
49201,Santa Croya de Tera,2020-01-01,0,23,1.00,0.00,3882.14,1.00
49202,Santa Eufemia del Barco,2020-01-01,27,27,0.00,2831.35,2831.35,0.00
49203,Santa María de la Vega,2020-01-01,4,37,0.89,539.54,5245.95,0.90
49204,Santa María de Valverde,2020-01-01,11,13,0.15,1883.74,2242.86,0.16
49205,Santibáñez de Tera,2020-01-01,0,54,1.00,0.00,8592.43,1.00
49206,Santibáñez de Vidriales,2020-01-01,105,152,0.31,14399.28,20658.58,0.30
49207,Santovenia,2020-01-01,51,56,0.09,7726.60,8725.35,0.11
49208,San Vicente de la Cabeza,2020-01-01,44,44,0.00,9120.21,9120.21,0.00
49209,San Vitero,2020-01-01,34,35,0.03,5047.66,5196.51,0.03
49210,Sanzoles,2020-01-01,1,77,0.99,164.64,8019.84,0.98
49214,Tábara,2020-01-01,8,85,0.91,1273.62,12688.08,0.90
49216,Tapioles,2020-01-01,21,21,0.00,3260.86,3260.86,0.00
49219,Toro,2020-01-01,36,295,0.88,3484.85,36526.63,0.90
49220,La Torre del Valle,2020-01-01,18,18,0.00,3038.98,3038.98,0.00
49221,Torregamones,2020-01-01,8,35,0.77,1264.25,6743.33,0.81
49222,Torres del Carrizal,2020-01-01,0,30,1.00,0.00,3467.89,1.00
49223,Trabazos,2020-01-01,36,94,0.62,4546.34,11511.12,0.61
49224,Trefacio,2020-01-01,44,57,0.23,5701.83,8388.92,0.32
49225,Uña de Quintana,2020-01-01,28,28,0.00,4886.04,4886.04,0.00
49226,Vadillo de la Guareña,2020-01-01,0,81,1.00,0.00,5681.93,1.00
49227,Valcabado,2020-01-01,0,35,1.00,0.00,3969.53,1.00
49228,Valdefinjas,2020-01-01,14,14,0.00,2355.56,2355.56,0.00
49229,Valdescorriel,2020-01-01,27,27,0.00,4445.28,4445.28,0.00
49230,Vallesa de la Guareña,2020-01-01,13,22,0.41,1795.95,3218.05,0.44
49231,Vega de Tera,2020-01-01,49,66,0.26,8013.89,10540.83,0.24
49232,Vega de Villalobos,2020-01-01,13,13,0.00,1747.50,1747.50,0.00
49233,Vegalatrave,2020-01-01,0,16,1.00,0.00,1861.75,1.00
49234,Venialbo,2020-01-01,1,72,0.99,53.46,8208.16,0.99
49235,Vezdemarbán,2020-01-01,0,65,1.00,0.00,6717.82,1.00
49236,Vidayanes,2020-01-01,0,27,1.00,0.00,2730.13,1.00
49237,Videmala,2020-01-01,0,53,1.00,0.00,4404.29,1.00
49238,Villabrázaro,2020-01-01,41,53,0.23,10396.50,11998.03,0.13
49239,Villabuena del Puente,2020-01-01,3,88,0.97,342.25,12121.18,0.97
49240,Villadepera,2020-01-01,6,59,0.90,1213.97,7407.99,0.84
49241,Villaescusa,2020-01-01,40,40,0.00,3639.69,3639.69,0.00
49242,Villafáfila,2020-01-01,15,82,0.82,1751.17,9203.72,0.81
49243,Villaferrueña,2020-01-01,12,12,0.00,2213.40,2213.40,0.00
49244,Villageriz,2020-01-01,12,12,0.00,1630.85,1630.85,0.00
49245,Villalazán,2020-01-01,1,31,0.97,45.36,3204.37,0.99
49246,Villalba de la Lampreana,2020-01-01,0,42,1.00,0.00,5306.42,1.00
49247,Villalcampo,2020-01-01,3,92,0.97,271.74,7965.07,0.97
49248,Villalobos,2020-01-01,0,52,1.00,0.00,3802.91,1.00
49249,Villalonso,2020-01-01,12,28,0.57,890.14,2290.43,0.61
49250,Villalpando,2020-01-01,0,111,1.00,0.00,11373.22,1.00
49251,Villalube,2020-01-01,0,50,1.00,0.00,5030.14,1.00
49252,Villamayor de Campos,2020-01-01,44,49,0.10,5955.02,6430.26,0.07
49255,Villamor de los Escuderos,2020-01-01,45,55,0.18,5769.83,7822.16,0.26
49256,Villanázar,2020-01-01,52,52,0.00,8944.72,8944.72,0.00
49257,Villanueva de Azoague,2020-01-01,24,39,0.38,4357.03,6574.66,0.34
49258,Villanueva de Campeán,2020-01-01,0,28,1.00,0.00,3368.91,1.00
49259,Villanueva de las Peras,2020-01-01,0,34,1.00,0.00,4458.26,1.00
49260,Villanueva del Campo,2020-01-01,0,100,1.00,0.00,12359.15,1.00
49261,Villaralbo,2020-01-01,0,114,1.00,0.00,16353.13,1.00
49262,Villardeciervos,2020-01-01,33,120,0.73,2532.62,11870.80,0.79
49263,Villar de Fallaves,2020-01-01,15,15,0.00,1724.54,1724.54,0.00
49264,Villar del Buey,2020-01-01,47,214,0.78,4268.04,21488.09,0.80
49265,Villardiegua de la Ribera,2020-01-01,0,79,1.00,0.00,6960.15,1.00
49266,Villárdiga,2020-01-01,8,8,0.00,1448.96,1448.96,0.00
49267,Villardondiego,2020-01-01,17,17,0.00,2383.42,2383.42,0.00
49268,Villarrín de Campos,2020-01-01,70,72,0.03,10086.62,10518.39,0.04
49269,Villaseco del Pan,2020-01-01,0,80,1.00,0.00,6907.99,1.00
49270,Villavendimio,2020-01-01,23,23,0.00,3150.70,3150.70,0.00
49271,Villaveza del Agua,2020-01-01,19,19,0.00,3289.04,3289.04,0.00
49272,Villaveza de Valverde,2020-01-01,13,13,0.00,2779.65,2779.65,0.00
49273,Viñas,2020-01-01,11,11,0.00,2503.14,2503.14,0.00
49275,Zamora,2020-01-01,133,1119,0.88,16596.94,133607.48,0.88
