id,ES-TF,ES-CN,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
38049,ES-TF,ES-CN,Valle Gran Rey,2020-01-01,23,122,0.81,2663.06,18432.84,0.86
38017,ES-TF,ES-CN,Granadilla de Abona,2020-01-01,353,1058,0.67,44181.98,158450.34,0.72
38030,ES-TF,ES-CN,Puntallana,2020-01-01,56,83,0.33,7986.06,12962.54,0.38
38014,ES-TF,ES-CN,Fuencaliente de la Palma,2020-01-01,86,143,0.40,8472.41,17654.37,0.52
38046,ES-TF,ES-CN,Tegueste,2020-01-01,63,278,0.77,4803.85,43188.33,0.89
38051,ES-TF,ES-CN,La Victoria de Acentejo,2020-01-01,18,101,0.82,1656.34,25075.66,0.93
38053,ES-TF,ES-CN,Villa de Mazo,2020-01-01,126,157,0.20,25295.91,32311.20,0.22
38031,ES-TF,ES-CN,Los Realejos,2020-01-01,201,673,0.70,28483.06,99365.36,0.71
38001,ES-TF,ES-CN,Adeje,2020-01-01,475,1145,0.59,44880.91,154408.83,0.71
38045,ES-TF,ES-CN,Tazacorte,2020-01-01,43,115,0.63,3185.88,11778.97,0.73
38036,ES-TF,ES-CN,San Sebastián de la Gomera,2020-01-01,133,249,0.47,19858.70,35150.57,0.44
38035,ES-TF,ES-CN,San Miguel de Abona,2020-01-01,237,487,0.51,36886.60,91962.63,0.60
38028,ES-TF,ES-CN,Puerto de la Cruz,2020-01-01,111,664,0.83,7683.56,73072.74,0.89
38034,ES-TF,ES-CN,San Juan de la Rambla,2020-01-01,47,146,0.68,7227.56,21917.66,0.67
38003,ES-TF,ES-CN,Alajeró,2020-01-01,103,127,0.19,12582.49,16907.50,0.26
38050,ES-TF,ES-CN,Vallehermoso,2020-01-01,62,75,0.17,14500.89,18938.32,0.23
38009,ES-TF,ES-CN,Breña Baja,2020-01-01,55,156,0.65,8073.49,30721.89,0.74
38011,ES-TF,ES-CN,Candelaria,2020-01-01,156,522,0.70,18402.01,72386.71,0.75
38008,ES-TF,ES-CN,Breña Alta,2020-01-01,129,265,0.51,18220.21,44988.22,0.60
38023,ES-TF,ES-CN,San Cristóbal de La Laguna,2020-01-01,633,2950,0.79,58457.92,402705.84,0.85
38006,ES-TF,ES-CN,Arona,2020-01-01,510,1692,0.70,55298.59,223341.60,0.75
38004,ES-TF,ES-CN,Arafo,2020-01-01,55,210,0.74,5496.61,28352.36,0.81
38022,ES-TF,ES-CN,Icod de los Vinos,2020-01-01,408,704,0.42,56239.29,104941.85,0.46
38025,ES-TF,ES-CN,La Matanza de Acentejo,2020-01-01,65,144,0.55,7000.94,27543.94,0.75
38027,ES-TF,ES-CN,El Paso,2020-01-01,86,206,0.58,13168.51,48045.23,0.73
38041,ES-TF,ES-CN,El Sauzal,2020-01-01,54,199,0.73,7056.41,38860.80,0.82
38002,ES-TF,ES-CN,Agulo,2020-01-01,12,30,0.60,6157.29,8095.48,0.24
38048,ES-TF,ES-CN,Valverde,2020-01-01,83,287,0.71,10269.77,42984.33,0.76
38033,ES-TF,ES-CN,San Andrés y Sauces,2020-01-01,29,82,0.65,7042.24,18144.32,0.61
38016,ES-TF,ES-CN,Garafía,2020-01-01,36,58,0.38,12677.23,14584.15,0.13
38021,ES-TF,ES-CN,Hermigua,2020-01-01,23,27,0.15,6423.53,6995.32,0.08
38024,ES-TF,ES-CN,Los Llanos de Aridane,2020-01-01,145,426,0.66,17860.61,67850.59,0.74
38043,ES-TF,ES-CN,Tacoronte,2020-01-01,152,436,0.65,17435.47,91752.56,0.81
38032,ES-TF,ES-CN,El Rosario,2020-01-01,52,329,0.84,5534.20,58821.64,0.91
38052,ES-TF,ES-CN,Vilaflor,2020-01-01,34,73,0.53,3307.33,8875.91,0.63
38039,ES-TF,ES-CN,Santa Úrsula,2020-01-01,61,460,0.87,3950.75,57679.94,0.93
38007,ES-TF,ES-CN,Barlovento,2020-01-01,35,54,0.35,8724.94,12737.50,0.32
38010,ES-TF,ES-CN,Buenavista del Norte,2020-01-01,98,220,0.55,8164.08,25212.66,0.68
38029,ES-TF,ES-CN,Puntagorda,2020-01-01,22,80,0.73,5793.71,24735.11,0.77
38038,ES-TF,ES-CN,Santa Cruz de Tenerife,2020-01-01,495,3055,0.84,32458.15,379493.59,0.91
38018,ES-TF,ES-CN,La Guancha,2020-01-01,66,193,0.66,6307.23,24528.86,0.74
38026,ES-TF,ES-CN,La Orotava,2020-01-01,485,1012,0.52,59163.94,152352.86,0.61
38901,ES-TF,ES-CN,El Pinar de El Hierro,2020-01-01,22,97,0.77,7489.66,18458.09,0.59
38015,ES-TF,ES-CN,Garachico,2020-01-01,58,204,0.72,7130.15,24226.44,0.71
38037,ES-TF,ES-CN,Santa Cruz de la Palma,2020-01-01,77,286,0.73,5800.81,26850.85,0.78
38042,ES-TF,ES-CN,Los Silos,2020-01-01,19,192,0.90,885.79,21175.05,0.96
38040,ES-TF,ES-CN,Santiago del Teide,2020-01-01,52,257,0.80,3476.75,31844.61,0.89
38005,ES-TF,ES-CN,Arico,2020-01-01,133,435,0.69,15211.43,59480.20,0.74
38044,ES-TF,ES-CN,El Tanque,2020-01-01,51,126,0.60,4859.28,17500.76,0.72
38012,ES-TF,ES-CN,Fasnia,2020-01-01,30,93,0.68,3764.36,14168.11,0.73
38019,ES-TF,ES-CN,Guía de Isora,2020-01-01,89,473,0.81,10453.88,63539.35,0.84
38013,ES-TF,ES-CN,Frontera,2020-01-01,25,148,0.83,1740.28,20637.13,0.92
38020,ES-TF,ES-CN,Güímar,2020-01-01,147,448,0.67,14042.25,62033.72,0.77
38047,ES-TF,ES-CN,Tijarafe,2020-01-01,54,88,0.39,14282.71,26312.06,0.46
