id,ES-BU,ES-CL,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
09073,ES-BU,ES-CL,Cardeñadijo,2020-01-01,11,101,0.89,610.17,10935.92,0.94
09074,ES-BU,ES-CL,Cardeñajimeno,2020-01-01,37,138,0.73,2419.47,15552.69,0.84
09075,ES-BU,ES-CL,Cardeñuela Riopico,2020-01-01,4,26,0.85,94.61,1598.94,0.94
09076,ES-BU,ES-CL,Carrias,2020-01-01,4,12,0.67,314.68,1202.10,0.74
09077,ES-BU,ES-CL,Cascajares de Bureba,2020-01-01,0,15,1.00,0.00,1711.04,1.00
09078,ES-BU,ES-CL,Cascajares de la Sierra,2020-01-01,17,41,0.59,990.04,2013.24,0.51
09079,ES-BU,ES-CL,Castellanos de Castro,2020-01-01,16,16,0.00,1586.61,1586.61,0.00
09082,ES-BU,ES-CL,Castildelgado,2020-01-01,0,26,1.00,0.00,1818.57,1.00
09083,ES-BU,ES-CL,Castil de Peones,2020-01-01,9,30,0.70,208.95,1454.83,0.86
09084,ES-BU,ES-CL,Castrillo de la Reina,2020-01-01,25,80,0.69,1264.69,5305.19,0.76
09085,ES-BU,ES-CL,Castrillo de la Vega,2020-01-01,49,66,0.26,4133.14,7432.54,0.44
09086,ES-BU,ES-CL,Castrillo del Val,2020-01-01,52,162,0.68,3072.07,13843.99,0.78
09088,ES-BU,ES-CL,Castrillo de Riopisuerga,2020-01-01,11,15,0.27,1641.41,1996.01,0.18
09090,ES-BU,ES-CL,Castrillo Mota de Judíos,2020-01-01,16,36,0.56,1273.07,2672.54,0.52
09091,ES-BU,ES-CL,Castrojeriz,2020-01-01,83,184,0.55,7489.17,20720.70,0.64
09093,ES-BU,ES-CL,Cayuela,2020-01-01,6,52,0.88,260.52,3819.60,0.93
09094,ES-BU,ES-CL,Cebrecos,2020-01-01,13,21,0.38,765.56,1239.90,0.38
09095,ES-BU,ES-CL,Celada del Camino,2020-01-01,13,35,0.63,1115.52,3392.60,0.67
09098,ES-BU,ES-CL,Cerezo de Río Tirón,2020-01-01,4,91,0.96,196.81,6250.85,0.97
09100,ES-BU,ES-CL,Cerratón de Juarros,2020-01-01,0,10,1.00,0.00,1312.80,1.00
