id,ES-BU,ES-CL,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
09346,ES-BU,ES-CL,Santa Cruz del Valle Urbión,2020-01-01,20,28,0.29,1142.21,2194.40,0.48
09347,ES-BU,ES-CL,Santa Gadea del Cid,2020-01-01,3,43,0.93,183.36,3628.71,0.95
09348,ES-BU,ES-CL,Santa Inés,2020-01-01,2,38,0.95,97.57,2753.77,0.96
09350,ES-BU,ES-CL,Santa María del Campo,2020-01-01,48,186,0.74,2126.11,11240.88,0.81
09351,ES-BU,ES-CL,Santa María del Invierno,2020-01-01,4,60,0.93,61.72,2972.31,0.98
09352,ES-BU,ES-CL,Santa María del Mercadillo,2020-01-01,11,27,0.59,1467.19,2724.79,0.46
09353,ES-BU,ES-CL,Santa María Ribarredonda,2020-01-01,3,78,0.96,70.66,4267.31,0.98
09354,ES-BU,ES-CL,Santa Olalla de Bureba,2020-01-01,15,34,0.56,582.66,1847.40,0.68
09355,ES-BU,ES-CL,Santibáñez de Esgueva,2020-01-01,22,22,0.00,2551.80,2551.80,0.00
09356,ES-BU,ES-CL,Santibáñez del Val,2020-01-01,8,22,0.64,535.80,1173.62,0.54
09358,ES-BU,ES-CL,Santo Domingo de Silos,2020-01-01,39,113,0.65,2520.13,8083.02,0.69
09360,ES-BU,ES-CL,San Vicente del Valle,2020-01-01,14,24,0.42,620.60,1500.96,0.59
09361,ES-BU,ES-CL,Sargentes de la Lora,2020-01-01,26,43,0.40,2578.94,4780.50,0.46
09362,ES-BU,ES-CL,Sarracín,2020-01-01,0,30,1.00,0.00,3012.49,1.00
09363,ES-BU,ES-CL,Sasamón,2020-01-01,121,291,0.58,9357.90,21820.46,0.57
09365,ES-BU,ES-CL,La Sequera de Haza,2020-01-01,10,21,0.52,793.03,1886.54,0.58
09366,ES-BU,ES-CL,Solarana,2020-01-01,15,50,0.70,809.26,3443.46,0.76
09368,ES-BU,ES-CL,Sordillos,2020-01-01,6,15,0.60,564.00,1404.00,0.60
09369,ES-BU,ES-CL,Sotillo de la Ribera,2020-01-01,33,97,0.66,2183.24,7879.53,0.72
09372,ES-BU,ES-CL,Sotragero,2020-01-01,2,50,0.96,35.31,3375.98,0.99
09373,ES-BU,ES-CL,Sotresgudo,2020-01-01,122,210,0.42,10162.90,17153.20,0.41
09374,ES-BU,ES-CL,Susinos del Páramo,2020-01-01,15,15,0.00,1841.48,1841.48,0.00
09375,ES-BU,ES-CL,Tamarón,2020-01-01,26,39,0.33,968.19,1560.34,0.38
09377,ES-BU,ES-CL,Tardajos,2020-01-01,20,69,0.71,744.88,6756.65,0.89
09378,ES-BU,ES-CL,Tejada,2020-01-01,8,29,0.72,456.21,1376.83,0.67
09380,ES-BU,ES-CL,Terradillos de Esgueva,2020-01-01,21,21,0.00,2059.42,2059.42,0.00
09381,ES-BU,ES-CL,Tinieblas de la Sierra,2020-01-01,22,22,0.00,1695.34,1695.34,0.00
09382,ES-BU,ES-CL,Tobar,2020-01-01,17,17,0.00,1057.87,1057.87,0.00
09384,ES-BU,ES-CL,Tordómar,2020-01-01,32,95,0.66,1930.83,6909.12,0.72
09386,ES-BU,ES-CL,Torrecilla del Monte,2020-01-01,4,45,0.91,278.38,2523.31,0.89
09387,ES-BU,ES-CL,Torregalindo,2020-01-01,19,34,0.44,1093.84,3798.47,0.71
09388,ES-BU,ES-CL,Torrelara,2020-01-01,24,25,0.04,1449.10,1504.83,0.04
09389,ES-BU,ES-CL,Torrepadre,2020-01-01,40,40,0.00,3551.12,3551.12,0.00
09390,ES-BU,ES-CL,Torresandino,2020-01-01,49,49,0.00,7877.44,7877.44,0.00
09391,ES-BU,ES-CL,Tórtoles de Esgueva,2020-01-01,34,54,0.37,3144.51,6901.87,0.54
09392,ES-BU,ES-CL,Tosantos,2020-01-01,1,25,0.96,181.56,2110.16,0.91
09394,ES-BU,ES-CL,Trespaderne,2020-01-01,50,139,0.64,4627.53,15815.25,0.71
09395,ES-BU,ES-CL,Tubilla del Agua,2020-01-01,50,73,0.32,4183.36,6537.04,0.36
09396,ES-BU,ES-CL,Tubilla del Lago,2020-01-01,29,30,0.03,3382.20,3439.53,0.02
09398,ES-BU,ES-CL,Úrbel del Castillo,2020-01-01,1,35,0.97,31.40,3299.49,0.99
09400,ES-BU,ES-CL,Vadocondes,2020-01-01,17,56,0.70,726.50,4088.35,0.82
09403,ES-BU,ES-CL,Valdeande,2020-01-01,27,27,0.00,2665.18,2665.18,0.00
09405,ES-BU,ES-CL,Valdezate,2020-01-01,1,45,0.98,25.62,3259.38,0.99
09406,ES-BU,ES-CL,Valdorros,2020-01-01,17,92,0.82,1772.55,9490.92,0.81
09407,ES-BU,ES-CL,Valmala,2020-01-01,21,29,0.28,1141.67,1741.61,0.34
09408,ES-BU,ES-CL,Vallarta de Bureba,2020-01-01,0,25,1.00,0.00,1922.95,1.00
09409,ES-BU,ES-CL,Valle de Manzanedo,2020-01-01,54,57,0.05,5262.88,5522.25,0.05
09410,ES-BU,ES-CL,Valle de Mena,2020-01-01,223,510,0.56,29917.99,71046.47,0.58
09411,ES-BU,ES-CL,Valle de Oca,2020-01-01,63,79,0.20,3372.75,4634.53,0.27
09412,ES-BU,ES-CL,Valle de Tobalina,2020-01-01,51,313,0.84,3098.57,30493.30,0.90
09413,ES-BU,ES-CL,Valle de Valdebezana,2020-01-01,24,221,0.89,1925.89,23634.24,0.92
09414,ES-BU,ES-CL,Valle de Valdelaguna,2020-01-01,65,65,0.00,4218.97,4218.97,0.00
09415,ES-BU,ES-CL,Valle de Valdelucio,2020-01-01,89,125,0.29,7225.64,9515.31,0.24
09416,ES-BU,ES-CL,Valle de Zamanzas,2020-01-01,12,40,0.70,1344.49,3821.33,0.65
09417,ES-BU,ES-CL,Vallejera,2020-01-01,20,32,0.38,803.65,1572.96,0.49
09418,ES-BU,ES-CL,Valles de Palenzuela,2020-01-01,20,21,0.05,1972.26,2052.08,0.04
09419,ES-BU,ES-CL,Valluércanes,2020-01-01,21,21,0.00,2715.29,2715.29,0.00
09421,ES-BU,ES-CL,La Vid y Barrios,2020-01-01,29,79,0.63,2779.71,6115.22,0.55
09422,ES-BU,ES-CL,La Vid de Bureba,2020-01-01,4,18,0.78,236.90,1795.43,0.87
09423,ES-BU,ES-CL,Vileña,2020-01-01,1,7,0.86,85.29,734.06,0.88
09424,ES-BU,ES-CL,Viloria de Rioja,2020-01-01,0,12,1.00,0.00,1222.32,1.00
09425,ES-BU,ES-CL,Vilviestre del Pinar,2020-01-01,64,144,0.56,2248.48,8498.24,0.74
09427,ES-BU,ES-CL,Villadiego,2020-01-01,310,436,0.29,30335.87,41789.15,0.27
09428,ES-BU,ES-CL,Villaescusa de Roa,2020-01-01,19,19,0.00,2133.52,2133.52,0.00
09429,ES-BU,ES-CL,Villaescusa la Sombría,2020-01-01,19,30,0.37,1758.51,2636.33,0.33
09430,ES-BU,ES-CL,Villaespasa,2020-01-01,31,39,0.21,1538.18,2041.02,0.25
09431,ES-BU,ES-CL,Villafranca Montes de Oca,2020-01-01,48,67,0.28,2627.91,4224.51,0.38
09432,ES-BU,ES-CL,Villafruela,2020-01-01,16,36,0.56,613.02,3887.47,0.84
09433,ES-BU,ES-CL,Villagalijo,2020-01-01,18,18,0.00,1527.55,1527.55,0.00
09434,ES-BU,ES-CL,Villagonzalo Pedernales,2020-01-01,65,304,0.79,4960.05,28208.44,0.82
09437,ES-BU,ES-CL,Villahoz,2020-01-01,33,95,0.65,2463.28,7690.86,0.68
09438,ES-BU,ES-CL,Villalba de Duero,2020-01-01,67,83,0.19,3452.42,7197.85,0.52
09439,ES-BU,ES-CL,Villalbilla de Burgos,2020-01-01,65,175,0.63,2230.71,15718.53,0.86
09440,ES-BU,ES-CL,Villalbilla de Gumiel,2020-01-01,20,20,0.00,2568.60,2568.60,0.00
09441,ES-BU,ES-CL,Villaldemiro,2020-01-01,23,32,0.28,1744.96,2333.14,0.25
09442,ES-BU,ES-CL,Villalmanzo,2020-01-01,15,119,0.87,1303.90,9482.93,0.86
09443,ES-BU,ES-CL,Villamayor de los Montes,2020-01-01,23,69,0.67,1046.92,5047.32,0.79
09444,ES-BU,ES-CL,Villamayor de Treviño,2020-01-01,16,31,0.48,849.20,2050.62,0.59
09445,ES-BU,ES-CL,Villambistia,2020-01-01,0,23,1.00,0.00,1751.28,1.00
09446,ES-BU,ES-CL,Villamedianilla,2020-01-01,10,19,0.47,932.38,1744.42,0.47
09447,ES-BU,ES-CL,Villamiel de la Sierra,2020-01-01,30,35,0.14,874.64,1084.80,0.19
09448,ES-BU,ES-CL,Villangómez,2020-01-01,7,119,0.94,118.85,6337.20,0.98
09449,ES-BU,ES-CL,Villanueva de Argaño,2020-01-01,10,24,0.58,799.24,2333.52,0.66
09450,ES-BU,ES-CL,Villanueva de Carazo,2020-01-01,20,27,0.26,768.51,1191.95,0.36
09451,ES-BU,ES-CL,Villanueva de Gumiel,2020-01-01,1,31,0.97,109.43,3668.14,0.97
09454,ES-BU,ES-CL,Villanueva de Teba,2020-01-01,1,18,0.94,94.47,1949.12,0.95
09455,ES-BU,ES-CL,Villaquirán de la Puebla,2020-01-01,13,22,0.41,573.62,1394.47,0.59
09456,ES-BU,ES-CL,Villaquirán de los Infantes,2020-01-01,45,57,0.21,2735.49,3515.90,0.22
09458,ES-BU,ES-CL,Villariezo,2020-01-01,27,99,0.73,1884.61,12209.19,0.85
09460,ES-BU,ES-CL,Villasandino,2020-01-01,29,80,0.64,1437.04,6578.27,0.78
09463,ES-BU,ES-CL,Villasur de Herreros,2020-01-01,52,99,0.47,2154.63,4363.09,0.51
09464,ES-BU,ES-CL,Villatuelda,2020-01-01,12,24,0.50,893.24,2525.56,0.65
09466,ES-BU,ES-CL,Villaverde del Monte,2020-01-01,50,65,0.23,3786.43,5481.16,0.31
09467,ES-BU,ES-CL,Villaverde-Mogina,2020-01-01,33,48,0.31,2223.18,3259.13,0.32
09471,ES-BU,ES-CL,Villayerno Morquillas,2020-01-01,1,48,0.98,14.21,3403.24,1.00
09472,ES-BU,ES-CL,Villazopeque,2020-01-01,15,26,0.42,799.76,1751.37,0.54
09473,ES-BU,ES-CL,Villegas,2020-01-01,17,53,0.68,591.56,2928.20,0.80
09476,ES-BU,ES-CL,Villoruebo,2020-01-01,33,41,0.20,1603.65,2286.02,0.30
09478,ES-BU,ES-CL,Vizcaínos,2020-01-01,16,16,0.00,944.33,944.33,0.00
09480,ES-BU,ES-CL,Zael,2020-01-01,28,28,0.00,1836.10,1836.10,0.00
09482,ES-BU,ES-CL,Zarzosa de Río Pisuerga,2020-01-01,0,27,1.00,0.00,1712.63,1.00
09483,ES-BU,ES-CL,Zazuar,2020-01-01,13,67,0.81,393.80,5091.25,0.92
09485,ES-BU,ES-CL,Zuñeda,2020-01-01,0,20,1.00,0.00,1688.19,1.00
09901,ES-BU,ES-CL,Quintanilla del Agua y Tordueles,2020-01-01,26,80,0.68,2461.00,7691.56,0.68
09902,ES-BU,ES-CL,Valle de Santibáñez,2020-01-01,97,212,0.54,6508.10,14058.95,0.54
09903,ES-BU,ES-CL,Villarcayo de Merindad de Castilla la Vieja,2020-01-01,212,505,0.58,23429.43,66519.40,0.65
09904,ES-BU,ES-CL,Valle de las Navas,2020-01-01,62,200,0.69,4242.84,14523.21,0.71
09905,ES-BU,ES-CL,Valle de Sedano,2020-01-01,38,289,0.87,3395.79,16688.91,0.80
09906,ES-BU,ES-CL,Merindad de Río Ubierna,2020-01-01,86,429,0.80,6287.25,29109.69,0.78
09907,ES-BU,ES-CL,Alfoz de Quintanadueñas,2020-01-01,33,172,0.81,1784.13,13035.50,0.86
09908,ES-BU,ES-CL,Valle de Losa,2020-01-01,69,311,0.78,10795.67,44634.88,0.76
