id,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
06081,Medina de las Torres,2020-01-01,2,49,0.96,259.47,7379.77,0.96
06082,Mengabril,2020-01-01,3,16,0.81,194.58,2829.67,0.93
06083,Mérida,2020-01-01,430,1525,0.72,56005.54,240947.97,0.77
06084,Mirandilla,2020-01-01,17,56,0.70,2067.85,7854.27,0.74
06085,Monesterio,2020-01-01,14,168,0.92,925.38,28657.86,0.97
06086,Montemolín,2020-01-01,15,52,0.71,2484.59,7465.85,0.67
06087,Monterrubio de la Serena,2020-01-01,29,104,0.72,4396.21,20218.59,0.78
06088,Montijo,2020-01-01,96,381,0.75,10064.23,63309.82,0.84
06089,La Morera,2020-01-01,9,39,0.77,1468.65,5392.69,0.73
06090,La Nava de Santiago,2020-01-01,3,43,0.93,166.58,7954.81,0.98
06091,Navalvillar de Pela,2020-01-01,44,225,0.80,5037.05,36722.27,0.86
06092,Nogales,2020-01-01,10,39,0.74,1316.30,5849.68,0.77
06093,Oliva de la Frontera,2020-01-01,24,168,0.86,2220.57,24867.45,0.91
06094,Oliva de Mérida,2020-01-01,25,73,0.66,2682.05,11017.12,0.76
06095,Olivenza / Olivença,2020-01-01,189,373,0.49,28412.40,53786.76,0.47
06096,Orellana de la Sierra,2020-01-01,13,42,0.69,890.79,4872.08,0.82
06097,Orellana la Vieja,2020-01-01,70,154,0.55,5799.45,28094.85,0.79
06098,Palomas,2020-01-01,12,49,0.76,561.09,5361.76,0.90
06099,La Parra,2020-01-01,11,36,0.69,1545.00,5959.18,0.74
06100,Peñalsordo,2020-01-01,38,76,0.50,5685.45,12934.43,0.56
06101,Peraleda del Zaucejo,2020-01-01,10,32,0.69,1148.63,4373.67,0.74
06102,Puebla de Alcocer,2020-01-01,20,127,0.84,2245.30,16805.40,0.87
06103,Puebla de la Calzada,2020-01-01,65,196,0.67,7774.25,30850.70,0.75
06104,Puebla de la Reina,2020-01-01,18,66,0.73,1024.38,7385.84,0.86
06105,Puebla del Maestre,2020-01-01,7,40,0.83,1004.24,5589.29,0.82
06106,Puebla del Prior,2020-01-01,7,39,0.82,682.06,5703.92,0.88
06107,Puebla de Obando,2020-01-01,31,107,0.71,2715.32,15408.43,0.82
06108,Puebla de Sancho Pérez,2020-01-01,21,99,0.79,1673.61,14375.80,0.88
06109,Quintana de la Serena,2020-01-01,43,165,0.74,3393.83,24486.06,0.86
06110,Reina,2020-01-01,7,7,0.00,1565.13,1565.13,0.00
06111,Rena,2020-01-01,13,49,0.73,678.52,5180.38,0.87
06112,Retamal de Llerena,2020-01-01,7,44,0.84,106.32,5184.32,0.98
06113,Ribera del Fresno,2020-01-01,22,137,0.84,2148.08,20624.56,0.90
06114,Risco,2020-01-01,1,24,0.96,19.53,1933.36,0.99
06115,La Roca de la Sierra,2020-01-01,50,71,0.30,8046.78,12271.49,0.34
06116,Salvaleón,2020-01-01,20,104,0.81,754.66,12815.76,0.94
06117,Salvatierra de los Barros,2020-01-01,6,61,0.90,137.09,8029.65,0.98
06118,Sancti-Spíritus,2020-01-01,2,27,0.93,139.81,2378.71,0.94
06119,San Pedro de Mérida,2020-01-01,13,38,0.66,2205.83,5080.19,0.57
06120,Santa Amalia,2020-01-01,19,99,0.81,1145.47,20770.95,0.94
06121,Santa Marta,2020-01-01,29,102,0.72,2797.08,16205.00,0.83
06122,Los Santos de Maimona,2020-01-01,49,295,0.83,6630.95,43430.17,0.85
06123,San Vicente de Alcántara,2020-01-01,90,147,0.39,14084.41,23011.82,0.39
06124,Segura de León,2020-01-01,14,118,0.88,1156.06,15252.95,0.92
06125,Siruela,2020-01-01,16,149,0.89,797.63,19328.17,0.96
06126,Solana de los Barros,2020-01-01,40,125,0.68,6141.05,19690.94,0.69
06127,Talarrubias,2020-01-01,38,170,0.78,3487.60,32567.44,0.89
06128,Talavera la Real,2020-01-01,33,155,0.79,4972.93,24798.87,0.80
06129,Táliga,2020-01-01,6,41,0.85,223.62,4652.83,0.95
06130,Tamurejo,2020-01-01,13,22,0.41,1549.35,2814.72,0.45
06131,Torre de Miguel Sesmero,2020-01-01,7,60,0.88,883.72,8262.07,0.89
06132,Torremayor,2020-01-01,8,36,0.78,786.36,5809.62,0.86
06133,Torremejía,2020-01-01,8,66,0.88,1352.87,15036.17,0.91
06134,Trasierra,2020-01-01,10,27,0.63,1010.40,3392.45,0.70
06135,Trujillanos,2020-01-01,6,68,0.91,315.60,10119.14,0.97
06136,Usagre,2020-01-01,12,75,0.84,859.22,12038.12,0.93
06137,Valdecaballeros,2020-01-01,74,156,0.53,4943.67,17775.92,0.72
06138,Valdetorres,2020-01-01,7,62,0.89,526.89,7535.71,0.93
06139,Valencia de las Torres,2020-01-01,17,50,0.66,1784.29,5822.58,0.69
06140,Valencia del Mombuey,2020-01-01,5,30,0.83,513.12,4310.66,0.88
06141,Valencia del Ventoso,2020-01-01,8,86,0.91,789.85,12465.71,0.94
06142,Valverde de Burguillos,2020-01-01,6,21,0.71,228.92,2204.53,0.90
06143,Valverde de Leganés,2020-01-01,37,184,0.80,2780.04,23326.53,0.88
06144,Valverde de Llerena,2020-01-01,18,38,0.53,2992.54,6248.13,0.52
06145,Valverde de Mérida,2020-01-01,8,53,0.85,2270.66,8439.41,0.73
06146,Valle de la Serena,2020-01-01,8,70,0.89,448.28,10958.65,0.96
06147,Valle de Matamoros,2020-01-01,16,44,0.64,1407.84,4908.65,0.71
06148,Valle de Santa Ana,2020-01-01,6,57,0.89,403.87,6722.29,0.94
06149,Villafranca de los Barros,2020-01-01,23,274,0.92,2828.29,53740.86,0.95
06150,Villagarcía de la Torre,2020-01-01,27,57,0.53,4889.71,11082.15,0.56
06151,Villagonzalo,2020-01-01,23,80,0.71,4052.44,13436.25,0.70
06152,Villalba de los Barros,2020-01-01,10,66,0.85,602.76,9658.26,0.94
06153,Villanueva de la Serena,2020-01-01,234,650,0.64,35389.25,106872.24,0.67
06154,Villanueva del Fresno,2020-01-01,9,65,0.86,1336.43,13839.27,0.90
06155,Villar del Rey,2020-01-01,41,72,0.43,4707.86,10023.33,0.53
06156,Villar de Rena,2020-01-01,51,100,0.49,10087.68,17149.47,0.41
06157,Villarta de los Montes,2020-01-01,8,44,0.82,491.35,4737.51,0.90
06158,Zafra,2020-01-01,272,469,0.42,33443.42,67968.40,0.51
06159,Zahínos,2020-01-01,20,89,0.78,3139.72,21144.39,0.85
06160,Zalamea de la Serena,2020-01-01,14,153,0.91,1822.08,23068.14,0.92
06161,Zarza-Capilla,2020-01-01,8,64,0.88,496.36,8156.21,0.94
06162,La Zarza,2020-01-01,24,158,0.85,2516.88,22089.90,0.89
06901,Valdelacalzada,2020-01-01,49,97,0.49,9084.65,16816.52,0.46
06902,Pueblonuevo del Guadiana,2020-01-01,20,58,0.66,4423.33,12736.32,0.65
06903,Guadiana del Caudillo,2020-01-01,33,147,0.78,3207.16,21753.31,0.85
10001,Abadía,2020-01-01,3,45,0.93,309.28,3864.28,0.92
10002,Abertura,2020-01-01,8,95,0.92,745.48,6722.58,0.89
10003,Acebo,2020-01-01,6,86,0.93,306.54,6488.40,0.95
10004,Acehúche,2020-01-01,11,78,0.86,1171.21,9627.74,0.88
10005,Aceituna,2020-01-01,7,60,0.88,648.31,4768.67,0.86
10006,Ahigal,2020-01-01,74,76,0.03,11026.78,11257.86,0.02
10007,Albalá,2020-01-01,6,104,0.94,852.88,12623.57,0.93
10008,Alcántara,2020-01-01,44,126,0.65,4326.48,15316.44,0.72
10009,Alcollarín,2020-01-01,7,76,0.91,653.43,6900.07,0.91
10010,Alcuéscar,2020-01-01,57,133,0.57,5644.82,17925.63,0.69
10011,Aldeacentenera,2020-01-01,48,96,0.50,6127.74,12023.35,0.49
10012,Aldea del Cano,2020-01-01,22,44,0.50,2439.23,6378.23,0.62
10013,La Aldea del Obispo,2020-01-01,6,48,0.88,205.72,5281.43,0.96
10014,Aldeanueva de la Vera,2020-01-01,45,134,0.66,3625.56,11916.88,0.70
10015,Aldeanueva del Camino,2020-01-01,38,42,0.10,5004.45,5796.32,0.14
10016,Aldehuela de Jerte,2020-01-01,0,28,1.00,0.00,2408.75,1.00
10017,Alía,2020-01-01,11,198,0.94,943.73,19461.06,0.95
10018,Aliseda,2020-01-01,10,112,0.91,1216.68,14598.45,0.92
10019,Almaraz,2020-01-01,60,86,0.30,7709.08,10830.10,0.29
10020,Almoharín,2020-01-01,87,87,0.00,15237.38,15237.38,0.00
10021,Arroyo de la Luz,2020-01-01,84,179,0.53,13028.44,30125.52,0.57
10022,Arroyomolinos de la Vera,2020-01-01,4,75,0.95,233.49,3832.69,0.94
10023,Arroyomolinos,2020-01-01,30,36,0.17,5909.83,6814.93,0.13
10024,Baños de Montemayor,2020-01-01,2,117,0.98,69.28,12076.30,0.99
10025,Barrado,2020-01-01,12,56,0.79,1307.29,4923.50,0.73
10026,Belvís de Monroy,2020-01-01,22,102,0.78,3428.64,9937.08,0.65
10027,Benquerencia,2020-01-01,26,42,0.38,2317.36,3380.63,0.31
10028,Berrocalejo,2020-01-01,18,49,0.63,1738.05,4505.91,0.61
10029,Berzocana,2020-01-01,4,79,0.95,306.44,5375.61,0.94
10030,Bohonal de Ibor,2020-01-01,28,77,0.64,1945.92,7422.32,0.74
10031,Botija,2020-01-01,7,98,0.93,544.63,7837.74,0.93
10032,Brozas,2020-01-01,95,105,0.10,19192.31,20803.76,0.08
10033,Cabañas del Castillo,2020-01-01,21,137,0.85,1294.35,8895.18,0.85
10034,Cabezabellosa,2020-01-01,2,83,0.98,539.45,5375.66,0.90
10035,Cabezuela del Valle,2020-01-01,19,165,0.88,3311.07,13700.84,0.76
10036,Cabrero,2020-01-01,8,92,0.91,457.51,4617.71,0.90
10037,Cáceres,2020-01-01,462,2239,0.79,36817.68,265352.93,0.86
10038,Cachorrilla,2020-01-01,2,40,0.95,174.68,2593.99,0.93
10039,Cadalso,2020-01-01,7,61,0.89,270.13,4541.80,0.94
10040,Calzadilla,2020-01-01,6,80,0.93,1799.87,9751.31,0.82
10041,Caminomorisco,2020-01-01,8,185,0.96,686.00,12650.12,0.95
10042,Campillo de Deleitosa,2020-01-01,4,34,0.88,270.59,2638.58,0.90
10043,Campo Lugar,2020-01-01,12,83,0.86,1398.72,13783.75,0.90
10044,Cañamero,2020-01-01,21,136,0.85,1931.27,15031.33,0.87
10045,Cañaveral,2020-01-01,36,84,0.57,5302.70,13188.77,0.60
10046,Carbajo,2020-01-01,7,38,0.82,624.40,3696.00,0.83
10047,Carcaboso,2020-01-01,6,101,0.94,660.90,9509.93,0.93
10048,Carrascalejo,2020-01-01,8,73,0.89,519.91,6492.65,0.92
10049,Casar de Cáceres,2020-01-01,42,182,0.77,3454.49,20613.20,0.83
10050,Casar de Palomero,2020-01-01,33,155,0.79,2533.94,10771.02,0.76
10051,Casares de las Hurdes,2020-01-01,29,87,0.67,1814.22,6860.69,0.74
10052,Casas de Don Antonio,2020-01-01,8,22,0.64,1152.30,2506.85,0.54
10053,Casas de Don Gómez,2020-01-01,35,35,0.00,5620.27,5620.27,0.00
10054,Casas del Castañar,2020-01-01,51,61,0.16,5614.83,6735.42,0.17
10055,Casas del Monte,2020-01-01,16,47,0.66,1198.69,4119.51,0.71
10056,Casas de Millán,2020-01-01,34,42,0.19,4891.52,6419.08,0.24
10057,Casas de Miravete,2020-01-01,32,44,0.27,2514.23,3895.93,0.35
10058,Casatejada,2020-01-01,90,154,0.42,8606.24,14715.33,0.42
10059,Casillas de Coria,2020-01-01,26,26,0.00,5286.97,5286.97,0.00
10060,Castañar de Ibor,2020-01-01,31,141,0.78,2611.36,12285.05,0.79
10061,Ceclavín,2020-01-01,28,101,0.72,1843.58,11810.05,0.84
10062,Cedillo,2020-01-01,13,45,0.71,1946.65,6661.15,0.71
10063,Cerezo,2020-01-01,36,36,0.00,3226.03,3226.03,0.00
10064,Cilleros,2020-01-01,61,80,0.24,7067.28,10619.99,0.33
10065,Collado de la Vera,2020-01-01,27,32,0.16,3457.86,4305.39,0.20
10066,Conquista de la Sierra,2020-01-01,12,12,0.00,2188.16,2188.16,0.00
10067,Coria,2020-01-01,131,549,0.76,15210.81,59936.33,0.75
10068,Cuacos de Yuste,2020-01-01,26,64,0.59,3150.14,6330.42,0.50
10069,La Cumbre,2020-01-01,46,48,0.04,6870.57,7198.94,0.05
