id,ES-AV,ES-CL,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
05074,ES-AV,ES-CL,Fontiveros,2020-01-01,25,68,0.63,1937.37,9563.25,0.80
05075,ES-AV,ES-CL,Fresnedilla,2020-01-01,14,14,0.00,2129.51,2129.51,0.00
05076,ES-AV,ES-CL,El Fresno,2020-01-01,11,53,0.79,1595.14,6113.75,0.74
05077,ES-AV,ES-CL,Fuente el Sauz,2020-01-01,3,26,0.88,375.12,3712.87,0.90
05078,ES-AV,ES-CL,Fuentes de Año,2020-01-01,0,25,1.00,0.00,3721.30,1.00
05079,ES-AV,ES-CL,Gallegos de Altamiros,2020-01-01,5,52,0.90,317.57,5297.46,0.94
05080,ES-AV,ES-CL,Gallegos de Sobrinos,2020-01-01,22,22,0.00,4093.96,4093.96,0.00
05081,ES-AV,ES-CL,Garganta del Villar,2020-01-01,20,20,0.00,2645.78,2645.78,0.00
05082,ES-AV,ES-CL,Gavilanes,2020-01-01,60,62,0.03,6010.88,6332.27,0.05
05083,ES-AV,ES-CL,Gemuño,2020-01-01,0,44,1.00,0.00,4131.90,1.00
05084,ES-AV,ES-CL,Gilbuena,2020-01-01,18,19,0.05,2036.30,2163.24,0.06
05085,ES-AV,ES-CL,Gil García,2020-01-01,16,16,0.00,1990.74,1990.74,0.00
05086,ES-AV,ES-CL,Gimialcón,2020-01-01,1,24,0.96,69.85,2704.04,0.97
05087,ES-AV,ES-CL,Gotarrendura,2020-01-01,0,49,1.00,0.00,4271.55,1.00
05088,ES-AV,ES-CL,Grandes y San Martín,2020-01-01,1,29,0.97,49.37,3199.56,0.98
05089,ES-AV,ES-CL,Guisando,2020-01-01,15,47,0.68,1925.23,4377.13,0.56
05090,ES-AV,ES-CL,Gutierre-Muñoz,2020-01-01,0,22,1.00,0.00,2057.68,1.00
05092,ES-AV,ES-CL,Hernansancho,2020-01-01,14,38,0.63,1272.44,3971.01,0.68
05093,ES-AV,ES-CL,Herradón de Pinares,2020-01-01,102,194,0.47,11218.25,26495.37,0.58
05094,ES-AV,ES-CL,Herreros de Suso,2020-01-01,1,46,0.98,92.15,5800.15,0.98
05095,ES-AV,ES-CL,Higuera de las Dueñas,2020-01-01,23,23,0.00,4847.23,4847.23,0.00
05096,ES-AV,ES-CL,La Hija de Dios,2020-01-01,15,48,0.69,479.71,4914.96,0.90
05097,ES-AV,ES-CL,La Horcajada,2020-01-01,75,76,0.01,10179.45,10261.59,0.01
05099,ES-AV,ES-CL,Horcajo de las Torres,2020-01-01,24,66,0.64,1370.58,6832.85,0.80
05100,ES-AV,ES-CL,El Hornillo,2020-01-01,9,9,0.00,1973.75,1973.75,0.00
05101,ES-AV,ES-CL,Hoyocasero,2020-01-01,33,43,0.23,3913.26,6656.27,0.41
05102,ES-AV,ES-CL,El Hoyo de Pinares,2020-01-01,21,271,0.92,755.15,24642.03,0.97
05103,ES-AV,ES-CL,Hoyorredondo,2020-01-01,19,19,0.00,2452.33,2452.33,0.00
05104,ES-AV,ES-CL,Hoyos del Collado,2020-01-01,4,4,0.00,1063.60,1063.60,0.00
05105,ES-AV,ES-CL,Hoyos del Espino,2020-01-01,23,57,0.60,6214.53,10867.86,0.43
05106,ES-AV,ES-CL,Hoyos de Miguel Muñoz,2020-01-01,4,4,0.00,330.32,330.32,0.00
05107,ES-AV,ES-CL,Hurtumpascual,2020-01-01,20,34,0.41,1814.13,3619.89,0.50
05108,ES-AV,ES-CL,Junciana,2020-01-01,21,21,0.00,1792.53,1792.53,0.00
05109,ES-AV,ES-CL,Langa,2020-01-01,4,47,0.91,398.64,5954.85,0.93
05110,ES-AV,ES-CL,Lanzahíta,2020-01-01,57,66,0.14,9817.69,11908.24,0.18
05112,ES-AV,ES-CL,El Losar del Barco,2020-01-01,23,23,0.00,2554.58,2554.58,0.00
05113,ES-AV,ES-CL,Los Llanos de Tormes,2020-01-01,14,20,0.30,1452.54,1928.60,0.25
05114,ES-AV,ES-CL,Madrigal de las Altas Torres,2020-01-01,2,98,0.98,49.63,16083.79,1.00
05115,ES-AV,ES-CL,Maello,2020-01-01,12,230,0.95,1023.58,51139.82,0.98
05116,ES-AV,ES-CL,Malpartida de Corneja,2020-01-01,31,31,0.00,3641.55,3641.55,0.00
05117,ES-AV,ES-CL,Mamblas,2020-01-01,0,30,1.00,0.00,4338.82,1.00
05118,ES-AV,ES-CL,Mancera de Arriba,2020-01-01,0,29,1.00,0.00,3681.23,1.00
05119,ES-AV,ES-CL,Manjabálago,2020-01-01,7,23,0.70,1025.12,2440.38,0.58
