15059,ES-C,ES-GA,Ordes,2020-12-01,95,196,0.52,15955.56,37422.76,0.57
15060,ES-C,ES-GA,Oroso,2020-12-01,76,144,0.47,12038.76,21108.24,0.43
15061,ES-C,ES-GA,Ortigueira,2020-12-01,320,454,0.30,37106.13,60491.49,0.39
15062,ES-C,ES-GA,Outes,2020-12-01,69,121,0.43,14349.38,25587.59,0.44
15064,ES-C,ES-GA,Paderne,2020-12-01,78,115,0.32,16598.41,22671.61,0.27
15065,ES-C,ES-GA,Padrón,2020-12-01,200,251,0.20,33067.09,37597.20,0.12
15066,ES-C,ES-GA,O Pino,2020-12-01,118,145,0.19,20187.88,26112.16,0.23
15067,ES-C,ES-GA,A Pobra do Caramiñal,2020-12-01,191,308,0.38,17064.51,38315.86,0.55
15068,ES-C,ES-GA,Ponteceso,2020-12-01,406,468,0.13,64902.63,74562.91,0.13
15069,ES-C,ES-GA,Pontedeume,2020-12-01,94,189,0.50,11452.26,22644.42,0.49
15070,ES-C,ES-GA,As Pontes de García Rodríguez,2020-12-01,162,337,0.52,15491.90,45623.59,0.66
15071,ES-C,ES-GA,Porto do Son,2020-12-01,162,251,0.35,27505.14,37560.87,0.27
15072,ES-C,ES-GA,Rianxo,2020-12-01,284,337,0.16,60889.75,68617.51,0.11
15073,ES-C,ES-GA,Ribeira,2020-12-01,224,569,0.61,26719.45,80923.26,0.67
15074,ES-C,ES-GA,Rois,2020-12-01,161,162,0.01,27503.90,27565.57,0.00
15075,ES-C,ES-GA,Sada,2020-12-01,153,367,0.58,32035.49,74692.84,0.57
15076,ES-C,ES-GA,San Sadurniño,2020-12-01,15,16,0.06,2923.00,3792.15,0.23
15077,ES-C,ES-GA,Santa Comba,2020-12-01,283,318,0.11,41497.87,48556.87,0.15
15078,ES-C,ES-GA,Santiago de Compostela,2020-12-01,360,2140,0.83,36573.99,290257.86,0.87
15079,ES-C,ES-GA,Santiso,2020-12-01,29,29,0.00,4617.95,4617.95,0.00
15080,ES-C,ES-GA,Sobrado,2020-12-01,210,210,0.00,23732.62,23732.62,0.00
15081,ES-C,ES-GA,As Somozas,2020-12-01,23,25,0.08,2750.58,3500.39,0.21
15082,ES-C,ES-GA,Teo,2020-12-01,150,217,0.31,23375.52,37076.14,0.37
15083,ES-C,ES-GA,Toques,2020-12-01,100,100,0.00,12199.72,12199.72,0.00
15084,ES-C,ES-GA,Tordoia,2020-12-01,42,42,0.00,8785.63,8785.63,0.00
15085,ES-C,ES-GA,Touro,2020-12-01,80,86,0.07,16519.90,17540.70,0.06
15086,ES-C,ES-GA,Trazo,2020-12-01,61,63,0.03,8930.15,9758.48,0.08
15087,ES-C,ES-GA,Valdoviño,2020-12-01,89,113,0.21,28616.65,38853.83,0.26
15088,ES-C,ES-GA,Val do Dubra,2020-12-01,92,111,0.17,20523.16,23757.84,0.14
15089,ES-C,ES-GA,Vedra,2020-12-01,135,140,0.04,35466.60,37899.35,0.06
15090,ES-C,ES-GA,Vilasantar,2020-12-01,120,122,0.02,11769.43,12575.42,0.06
15091,ES-C,ES-GA,Vilarmaior,2020-12-01,12,12,0.00,1452.87,1452.87,0.00
15092,ES-C,ES-GA,Vimianzo,2020-12-01,434,459,0.05,64378.78,69526.26,0.07
15093,ES-C,ES-GA,Zas,2020-12-01,205,216,0.05,21574.69,23246.23,0.07
15901,ES-C,ES-GA,Cariño,2020-12-01,88,184,0.52,10798.85,27532.09,0.61
15902,ES-C,ES-GA,Oza-Cesuras,2020-12-01,92,107,0.14,13689.19,16705.40,0.18
